datetime,"mean_Modeled snowpack sublimation rate, 24-hour total","sum_Modeled snowpack sublimation rate, 24-hour total","std_Modeled snowpack sublimation rate, 24-hour total","mean_Snow accumulation, 24-hour total","sum_Snow accumulation, 24-hour total","std_Snow accumulation, 24-hour total","mean_Modeled snow water equivalent, total of snow layers","sum_Modeled snow water equivalent, total of snow layers","std_Modeled snow water equivalent, total of snow layers","mean_Modeled snow layer thickness, total of snow layers","sum_Modeled snow layer thickness, total of snow layers","std_Modeled snow layer thickness, total of snow layers","mean_Modeled blowing snow sublimation rate, 24-hour total","sum_Modeled blowing snow sublimation rate, 24-hour total","std_Modeled blowing snow sublimation rate, 24-hour total","mean_Non-snow accumulation, 24-hour total","sum_Non-snow accumulation, 24-hour total","std_Non-snow accumulation, 24-hour total","mean_Modeled melt rate, bottom of snow layers","sum_Modeled melt rate, bottom of snow layers","std_Modeled melt rate, bottom of snow layers","mean_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","sum_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","std_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","mean_Modeled blowing snow sublimation, 24-hour total","sum_Modeled blowing snow sublimation, 24-hour total","std_Modeled blowing snow sublimation, 24-hour total","mean_Modeled snowpack sublimation, 24-hour total","sum_Modeled snowpack sublimation, 24-hour total","std_Modeled snowpack sublimation, 24-hour total","mean_Modeled melt, bottom of snow layers, 24-hour total","sum_Modeled melt, bottom of snow layers, 24-hour total","std_Modeled melt, bottom of snow layers, 24-hour total"
2003-10-01,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.6276262852033974,7020,1.2332041368973787,,0.0,,,,,,,,,,,,,
2003-10-02,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,4.631023692445239,51798,6.218364619479038,,0.0,,,,,,,,,,,,,
2003-10-03,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,3.23772910147519,36214,3.012073430297108,,0.0,,,,,,,,,,,,,
2003-10-04,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-05,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-06,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.02011622708985248,225,0.14039787924866232,,0.0,,,,,,,,,,,,,
2003-10-07,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.3342869915064819,3739,0.567885988636065,,0.0,,,,,,,,,,,,,
2003-10-08,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,3.6801072865444793,41162,5.434680797909678,,0.0,,,,,,,,,,,,,
2003-10-09,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,12.362807331247206,138278,3.7637155270557714,,0.0,,,,,,,,,,,,,
2003-10-10,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-11,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.03790791238265534,424,0.19097356508544389,,0.0,,,,,,,,,,,,,
2003-10-12,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-13,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.24801072865444793,2774,0.5777902689369132,,0.0,,,,,,,,,,,,,
2003-10-14,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-15,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-16,-1.2707162921348314,-3619.0,2.234047516761964,2.2877067501117567,25588,4.512775880668222,0.17311333513659724,1920.0,0.37834522375005797,1.1968262555224958,13274,2.8839128334478956,0.0,0.0,0.0,7.386589181940098,82619,4.638880489177705,21.46699438202247,61138.0,30.000356373538203,,,,,,,,,,,,
2003-10-17,-6.184538653366584,-14880.0,14.921491204513638,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.15243629861421545,1705,0.3609325960949015,71.57273482959269,172204.0,32.35994036460831,,,,,,,,,,,,
2003-10-18,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-19,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-20,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0116227089852481,130,0.10718032291933224,,0.0,,,,,,,,,,,,,
2003-10-21,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-22,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-23,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-24,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.03522574877067501,394,0.18434992648281773,,0.0,,,,,,,,,,,,,
