datetime,"mean_Modeled snowpack sublimation rate, 24-hour total","sum_Modeled snowpack sublimation rate, 24-hour total","std_Modeled snowpack sublimation rate, 24-hour total","mean_Snow accumulation, 24-hour total","sum_Snow accumulation, 24-hour total","std_Snow accumulation, 24-hour total","mean_Modeled snow water equivalent, total of snow layers","sum_Modeled snow water equivalent, total of snow layers","std_Modeled snow water equivalent, total of snow layers","mean_Modeled snow layer thickness, total of snow layers","sum_Modeled snow layer thickness, total of snow layers","std_Modeled snow layer thickness, total of snow layers","mean_Modeled blowing snow sublimation rate, 24-hour total","sum_Modeled blowing snow sublimation rate, 24-hour total","std_Modeled blowing snow sublimation rate, 24-hour total","mean_Non-snow accumulation, 24-hour total","sum_Non-snow accumulation, 24-hour total","std_Non-snow accumulation, 24-hour total","mean_Modeled melt rate, bottom of snow layers","sum_Modeled melt rate, bottom of snow layers","std_Modeled melt rate, bottom of snow layers","mean_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","sum_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","std_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","mean_Modeled blowing snow sublimation, 24-hour total","sum_Modeled blowing snow sublimation, 24-hour total","std_Modeled blowing snow sublimation, 24-hour total","mean_Modeled snowpack sublimation, 24-hour total","sum_Modeled snowpack sublimation, 24-hour total","std_Modeled snowpack sublimation, 24-hour total","mean_Modeled melt, bottom of snow layers, 24-hour total","sum_Modeled melt, bottom of snow layers, 24-hour total","std_Modeled melt, bottom of snow layers, 24-hour total"
2003-10-01,-27.689580093312596,-89022.0,21.237604204042565,0.29194947209653094,9291,0.8838478796546427,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.2323717948717947,71043,3.2524723288451374,35.08539944903581,114624.0,33.17868244744183,,,,,,,,,,,,
2003-10-02,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,7.247046254399195,230630,9.47674796325974,,0.0,,,,,,,,,,,,,
2003-10-03,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,1.460910005027652,46492,2.9797444015025887,,0.0,,,,,,,,,,,,,
2003-10-04,-2.803030303030303,-185.0,1.662598340401544,0.006158873805932629,196,0.08061027221056195,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.284565108094519e-05,2,0.007927275793429002,0.42424242424242425,28.0,1.0009178524190148,,,,,,,,,,,,
2003-10-05,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-06,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-07,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,1.1551659125188536,36762,2.934885945903088,,0.0,,,,,,,,,,,,,
2003-10-08,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,2.9757415786827552,94700,6.959371953308752,,0.0,,,,,,,,,,,,,
2003-10-09,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,1.8535067873303168,58986,2.197676974109962,,0.0,,,,,,,,,,,,,
2003-10-10,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,6.284565108094519e-05,2,0.007927275793429002,,0.0,,,,,,,,,,,,,
2003-10-11,-15.129828326180258,-42303.0,9.348557077265685,0.3049899446958271,9706,0.9096945809820577,9.491568323472648e-05,3.0,0.00974200565837459,0.028506343531496187,901,0.26959926884771196,-0.001072961373390558,-3.0,0.042274315009733054,1.6233660130718954,51662,2.8649183577990387,1.4195278969957081,3969.0,4.381604713225015,,,,,,,,,,,,
2003-10-12,-15.695550351288055,-6702.0,11.793939374176487,0.0004399195575666164,14,0.020969645403522846,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0936768149882905,467.0,1.4077844198721694,,,,,,,,,,,,
