datetime,"mean_Modeled snowpack sublimation rate, 24-hour total","sum_Modeled snowpack sublimation rate, 24-hour total","std_Modeled snowpack sublimation rate, 24-hour total","mean_Snow accumulation, 24-hour total","sum_Snow accumulation, 24-hour total","std_Snow accumulation, 24-hour total","mean_Modeled snow water equivalent, total of snow layers","sum_Modeled snow water equivalent, total of snow layers","std_Modeled snow water equivalent, total of snow layers","mean_Modeled snow layer thickness, total of snow layers","sum_Modeled snow layer thickness, total of snow layers","std_Modeled snow layer thickness, total of snow layers","mean_Modeled blowing snow sublimation rate, 24-hour total","sum_Modeled blowing snow sublimation rate, 24-hour total","std_Modeled blowing snow sublimation rate, 24-hour total","mean_Non-snow accumulation, 24-hour total","sum_Non-snow accumulation, 24-hour total","std_Non-snow accumulation, 24-hour total","mean_Modeled melt rate, bottom of snow layers","sum_Modeled melt rate, bottom of snow layers","std_Modeled melt rate, bottom of snow layers","mean_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","sum_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","std_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","mean_Modeled blowing snow sublimation, 24-hour total","sum_Modeled blowing snow sublimation, 24-hour total","std_Modeled blowing snow sublimation, 24-hour total","mean_Modeled snowpack sublimation, 24-hour total","sum_Modeled snowpack sublimation, 24-hour total","std_Modeled snowpack sublimation, 24-hour total","mean_Modeled melt, bottom of snow layers, 24-hour total","sum_Modeled melt, bottom of snow layers, 24-hour total","std_Modeled melt, bottom of snow layers, 24-hour total"
2003-10-01,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-02,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-03,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-04,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-05,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-06,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-07,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,3.465311004784689,26073,2.1668797028210207,,0.0,,,,,,,,,,,,,
2003-10-08,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,2.792530568846358,21011,2.626824072398535,,0.0,,,,,,,,,,,,,
2003-10-09,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,3.565257841573631,26825,4.337057631562355,,0.0,,,,,,,,,,,,,
2003-10-10,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.8685539606592239,6535,2.3580655493250973,,0.0,,,,,,,,,,,,,
2003-10-11,-4.597674418604651,-1977.0,4.240830785879327,0.8211057947900053,6178,0.7564368823741093,0.0025896142837672073,19.0,0.05082231971908126,0.04920267139157694,361,0.3024676656878361,0.0,0.0,0.0,3.972753854332802,29891,2.7750936815788467,11.106976744186046,4776.0,15.319016838767295,,,,,,,,,,,,
2003-10-12,-11.065727699530516,-2357.0,9.014094287944616,0.0,0,0.0,0.0,0.0,0.0,0.0002725909772386534,2,0.016508078973574772,0.0,0.0,0.0,0.0,0,0.0,5.446009389671362,1160.0,9.492430665723813,,,,,,,,,,,,
