datetime,"mean_Modeled snowpack sublimation rate, 24-hour total","sum_Modeled snowpack sublimation rate, 24-hour total","std_Modeled snowpack sublimation rate, 24-hour total","mean_Snow accumulation, 24-hour total","sum_Snow accumulation, 24-hour total","std_Snow accumulation, 24-hour total","mean_Modeled snow water equivalent, total of snow layers","sum_Modeled snow water equivalent, total of snow layers","std_Modeled snow water equivalent, total of snow layers","mean_Modeled snow layer thickness, total of snow layers","sum_Modeled snow layer thickness, total of snow layers","std_Modeled snow layer thickness, total of snow layers","mean_Modeled blowing snow sublimation rate, 24-hour total","sum_Modeled blowing snow sublimation rate, 24-hour total","std_Modeled blowing snow sublimation rate, 24-hour total","mean_Non-snow accumulation, 24-hour total","sum_Non-snow accumulation, 24-hour total","std_Non-snow accumulation, 24-hour total","mean_Modeled melt rate, bottom of snow layers","sum_Modeled melt rate, bottom of snow layers","std_Modeled melt rate, bottom of snow layers","mean_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","sum_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","std_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","mean_Modeled blowing snow sublimation, 24-hour total","sum_Modeled blowing snow sublimation, 24-hour total","std_Modeled blowing snow sublimation, 24-hour total","mean_Modeled snowpack sublimation, 24-hour total","sum_Modeled snowpack sublimation, 24-hour total","std_Modeled snowpack sublimation, 24-hour total","mean_Modeled melt, bottom of snow layers, 24-hour total","sum_Modeled melt, bottom of snow layers, 24-hour total","std_Modeled melt, bottom of snow layers, 24-hour total"
2003-10-01,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.01704390223399113,811,0.2130189563099812,,0.0,,,,,,,,,,,,,
2003-10-02,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,16.397200680915454,780228,13.559484975166573,,0.0,,,,,,,,,,,,,
2003-10-03,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,15.335392892419561,729704,10.916114650443951,,0.0,,,,,,,,,,,,,
2003-10-04,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,4.665931109850156,222019,4.254625194876305,,0.0,,,,,,,,,,,,,
2003-10-05,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,7.909862766113949,376375,9.544032086108357,,0.0,,,,,,,,,,,,,
2003-10-06,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,6.957610911459975,331064,6.730686089972902,,0.0,,,,,,,,,,,,,
2003-10-07,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,8.716432339280836,414754,9.745797943208009,,0.0,,,,,,,,,,,,,
2003-10-08,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,12.685896223441144,603633,11.461369695263398,,0.0,,,,,,,,,,,,,
2003-10-09,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.1921064245633945,9141,1.3660551604555915,,0.0,,,,,,,,,,,,,
2003-10-10,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-11,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.033394279469558454,1589,0.17966385715626693,,0.0,,,,,,,,,,,,,
2003-10-12,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-13,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.26463232667129016,12592,1.1739574199449088,,0.0,,,,,,,,,,,,,
2003-10-14,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-15,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-16,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-17,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.005211945442700124,248,0.07200542387488904,,0.0,,,,,,,,,,,,,
2003-10-18,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0002521909085177479,12,0.01587851719347272,,0.0,,,,,,,,,,,,,
2003-10-19,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.035579934010045604,1693,0.1852403905898668,,0.0,,,,,,,,,,,,,
2003-10-20,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.05487253851165332,2611,0.32538043774914427,,0.0,,,,,,,,,,,,,
2003-10-21,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.6853918416241095,32613,1.6684267603576017,,0.0,,,,,,,,,,,,,
2003-10-22,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.32009331063615154,15231,0.7650398002214853,,0.0,,,,,,,,,,,,,
2003-10-23,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.03919467036546666,1865,0.22532726293844685,,0.0,,,,,,,,,,,,,
2003-10-24,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-25,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-26,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-27,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-28,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-29,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-30,,0.0,,0.0,0,0.0,,,,0.0,0,0.0,,0.0,,0.09005317024987916,4285,0.3967249806134199,,0.0,,,,,,,,,,,,,
2003-10-31,-4.723752329674881,-22811.0,3.00484476643365,0.7425761301305088,35334,2.122054894418936,0.05615892363820409,2663.0,0.23022836257507992,0.551234737130686,26139,1.9133702150262213,0.0,0.0,0.0,0.0,0,0.0,0.002692068751294264,13.0,0.07744763975319645,,,,,,,,,,,,
2003-11-01,-40.245,-185127.0,19.93294675416427,0.0013240022697181767,63,0.03636274587689931,0.008034754001560555,381.0,0.08927595829614468,0.11174845526054956,5299,0.6769897528687134,0.0,0.0,0.0,0.0,0,0.0,0.0817391304347826,376.0,0.5951371940764221,,,,,,,,,,,,
2003-11-02,-23.89224629418472,-41907.0,16.998769734637285,0.0,0,0.0,0.000590480609038571,28.0,0.024292631427840838,0.011767434994411522,558,0.19240485611523003,0.0,0.0,0.0,0.0,0,0.0,0.010262257696693273,18.0,0.17187556051358302,,,,,,,,,,,,
2003-11-03,-2.1161387631975868,-5612.0,6.529843003158892,0.2073009268015888,9864,0.553833054471423,8.435437271979586e-05,4.0,0.009184076276882662,0.07478015141609903,3546,0.36688539956570365,0.0,0.0,0.0,0.0,0,0.0,0.01847662141779789,49.0,0.2691354276432553,,,,,,,,,,,,
2003-11-04,-6.357514880952381,-68356.0,8.147437612987083,1.104869386125297,52573,1.8589407392805057,0.012400092789809991,588.0,0.12715663105038838,0.3551319091503406,16840,1.2568929177203862,0.0,0.0,0.0,0.024588613580480423,1170,0.2649093840155618,1.6783854166666667,18046.0,5.0805258223156295,,,,,,,,,,,,
2003-11-05,-16.351173409790803,-153979.0,12.32046030466861,0.5463926192127441,25999,1.0013266770021663,0.00792931103566081,376.0,0.08869293693502633,0.1235158902549611,5857,0.7312697338060514,0.0,0.0,0.0,0.0,0,0.0,0.06498884995221409,612.0,0.4338138043993801,,,,,,,,,,,,
2003-11-06,-3.1107174490699734,-7024.0,8.575572467901415,0.06094613622512242,2900,0.26751552230062575,0.006558552478964128,311.0,0.08071888173373565,0.09340137919399397,4429,0.6402059577928549,0.0,0.0,0.0,0.0,0,0.0,1.3560673162090346,3062.0,4.768499098066246,,,,,,,,,,,,
2003-11-07,-13.470039946737684,-20232.0,11.65014163568667,0.0,0,0.0,0.0033952635019717835,161.0,0.05816988643382383,0.031675066956283346,1502,0.401982267706825,0.0,0.0,0.0,0.0,0,0.0,4.9454061251664445,7428.0,10.691208831238166,,,,,,,,,,,,
2003-11-08,-15.580865603644646,-6840.0,9.734151802988448,0.0,0,0.0,0.0020245049452751007,96.0,0.0449489301875101,0.01653345705307999,784,0.29515720376704757,0.0,0.0,0.0,0.0,0,0.0,0.7608200455580866,334.0,3.6184436758145573,,,,,,,,,,,,
2003-11-09,-5.927536231884058,-1227.0,5.0970831118088755,0.00033625454469033057,16,0.01833416149082105,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.118592774730471,53226,1.5825888199584628,42.40096618357488,8777.0,34.739313499954655,,,,,,,,,,,,
2003-11-10,-5.8747781102601815,-115833.0,7.608703461835613,2.6403757644536916,125637,3.2892172711836096,0.0021088593179948967,100.0,0.04983981046925122,0.04015268141462283,1904,0.29309627065523025,0.0,0.0,0.0,15.399281255910724,732744,16.489572371760577,181.66982806715018,3581984.0,134.7578885320512,,,,,,,,,,,,
2003-11-11,-4.024141780630757,-28837.0,12.711876252583782,0.4740348443771935,22556,1.0714121753836408,0.004365338788249436,207.0,0.0662454511032504,0.04262004681667686,2021,0.3483099584953986,0.0,0.0,0.0,0.4697475989323918,22352,0.9840179020242342,20.54933110367893,147462.0,16.12870880143944,,,,,,,,,,,,
2003-11-12,8.252265005662514,29147.0,19.89148243793549,0.20978080406868,9982,0.8460503470776348,0.00027415171133933654,13.0,0.016555257538875868,0.0022564794702545393,107,0.06975939596189555,0.0,0.0,0.0,0.8007061345438496,38100,1.7473810118101303,64.67978482446206,228449.0,26.460695636051096,,,,,,,,,,,,
2003-11-13,-16.99019607843137,-1733.0,14.166028888554377,0.0,0,0.0,4.217718635989793e-05,2.0,0.006494259576337296,0.00027415171133933654,13,0.027166626624175908,0.0,0.0,0.0,0.0,0,0.0,0.06862745098039216,7.0,0.3211439089050824,,,,,,,,,,,,
2003-11-14,-3.778894472361809,-36096.0,7.0020263961356575,2.9271798751655003,139284,6.575396092235064,0.25432843375018455,12060.0,0.6660604310388569,2.2812585672409793,108175,5.7682121803829185,0.0,0.0,0.0,1.1324632746989471,53886,2.0097386207935655,4.452575376884422,42531.0,9.859484485621334,,,,,,,,,,,,
2003-11-15,-13.536095636025998,-116627.0,17.375484783979953,0.0,0,0.0,0.13249963094961936,6283.0,0.476586607517629,0.6744342984879479,31981,2.8922454889674674,0.0,0.0,0.0,0.07185339301851501,3419,0.3172572961240848,56.3642061281337,485634.0,47.554434334076774,,,,,,,,,,,,
2003-11-16,-9.924171622769753,-233615.0,13.18918876787245,3.332135426517874,158553,3.8546204932729684,0.15266032602965057,7239.0,0.515801717599506,0.8898542778211266,42196,3.2347105636075084,0.0,0.0,0.0,10.32221591744951,491162,8.484055029481043,87.5590059473237,2061139.0,59.76372802793435,,,,,,,,,,,,
2003-11-17,-10.249462432609306,-328895.0,12.25032370093713,10.720572473362335,510117,11.168530636287327,1.1118328096332695,52722.0,1.4231322040700145,8.705392353276112,412801,12.504891243350311,0.0,0.0,0.0,10.740705714225669,511075,7.995489275250681,72.46442706223317,2325311.0,93.64126270345339,,,,,,,,,,,,
2003-11-18,1.3366238075487349,32226.0,25.17785755460831,2.5769077191433913,122617,7.5242559467295145,0.5944452645564015,28188.0,1.7901564433258619,4.167591050001055,197623,13.375367848633767,0.0,0.0,0.0,1.229850997204884,58520,2.199825177198935,154.30008714251764,3895460.0,140.5343542311126,,,,,,,,,,,,
2003-11-19,-23.06774645693817,-148118.0,20.783851124702046,0.0,0,0.0,0.12081655032792762,5729.0,0.731374619232025,0.488411818047618,23160,3.848362560170983,0.0,0.0,0.0,0.0,0,0.0,316.6833565136764,2049258.0,224.383945226061,,,,,,,,,,,,
2003-11-20,-23.637666325486183,-46188.0,26.248511852913694,0.0,0,0.0,0.0928530757713153,4403.0,1.518287739998788,0.2680360193171514,12710,5.0814560263511,0.0,0.0,0.0,0.20770022907340857,9883,0.6507832781701623,625.6073124406457,1317529.0,935.205121511187,,,,,,,,,,,,
2003-11-21,-11.155760493659727,-329028.0,14.731210367897095,6.342370174221886,301789,6.180164041431594,0.5823404120711108,27614.0,1.3672305216968588,4.880427676669689,231425,6.858676228782636,0.0,0.0,0.0,0.4470924489838808,21274,0.9759583487697849,8.926326827453236,263889.0,52.760000138173396,,,,,,,,,,,,
2003-11-22,-12.340146786473696,-359814.0,14.722657735782118,0.6125507008805666,29147,1.1384699545113044,0.5581307071005294,26466.0,1.369012879900731,4.329530357029882,205302,6.49292986796683,0.0,0.0,0.0,0.0,0,0.0,0.3556706334236428,10371.0,2.2043820863805252,,,,,,,,,,,,
2003-11-23,-25.912886136397553,-694569.0,10.359742498222458,0.6168169304163251,29350,0.9220099850132498,0.46293679748623967,21952.0,1.345983160493058,3.4056390898163182,161492,6.07842996398243,-0.00041038650947619756,-11.0,0.04924269260785999,0.0,0,0.0,0.0006715415609610506,18.0,0.10401360361176024,,,,,,,,,,,,
2003-11-24,-27.183658064820495,-576212.0,10.842697550034123,0.0,0,0.0,0.33319977224319364,15800.0,1.2978352671834816,2.3110989265906072,109590,5.444711396522298,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-11-25,-46.67195653727929,-1305788.0,22.459597657867562,1.7347161801483724,82543,3.0600210966789345,0.16472300132858136,7811.0,1.2094089457378752,1.0738311647230012,50920,4.6530402750985616,-0.10487516517143056,-3016.0,1.947889313163106,0.023138515856503374,1101,0.21214637395075833,0.7194172056471243,20689.0,4.716878060837311,,,,,,,,,,,,
2003-11-26,-21.935639263997473,-555542.0,16.675130629802545,4.697497005232961,223521,5.655542235219039,1.3763892110757292,65267.0,7.005046195887268,10.591724836036189,502249,44.423102611739395,0.0,0.0,0.0,0.04732782716516403,2252,0.25106869630408885,0.00670770202020202,170.0,0.32981450505353643,,,,,,,,,,,,
2003-11-27,-33.976661704177246,-775959.0,15.972928649176419,3.805329634533342,181069,6.810419382703956,1.5782703135873806,74840.0,7.3151820680510005,11.352516923596028,538325,43.132834502754825,0.0,0.0,0.0,0.0,0,0.0,0.285839390489535,6528.0,2.1208562825777926,,,,,,,,,,,,
2003-11-28,-33.02530453716236,-561199.0,15.929745422014923,0.0,0,0.0,1.457833357936692,69129.0,7.2538113072496255,9.502857504375884,450616,39.57071418903632,-0.0012944222169922334,-22.0,0.1687471873690145,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-11-29,-48.933932150545616,-659189.0,23.860408013431794,0.0,0,0.0,1.2212615196440246,57911.0,7.091629033439171,7.00016870874544,331941,36.230229597052585,-0.0016793175253576947,-25.0,0.20489050252901284,0.43399953765000104,20651,1.124497758726663,14.475246859676227,215493.0,31.217635760240462,,,,,,,,,,,,
2003-11-30,-8.123930235077456,-74992.0,19.50778845489512,0.0,0,0.0,0.8120795461734748,38508.0,6.613586243003967,2.311647230013286,109616,20.27103330023341,0.0,0.0,0.0,88.04341886808314,4189370,29.73442414383062,497.2103780738815,4589749.0,459.01077610913626,,,,,,,,,,,,
2003-12-01,17.164335664335663,19636.0,29.094118804909396,0.0018283840867536726,87,0.04272049974409216,0.7525464476264788,35685.0,6.3799775832760135,2.1649760644467406,102661,19.469897749379225,0.0,0.0,0.0,7.97274236597104,379367,4.966989885447041,307.0095486111111,353675.0,210.19931615728603,,,,,,,,,,,,
2003-12-02,-23.241881298992162,-20755.0,32.71530035832993,0.013933547695605574,663,0.1172152035540606,0.7233872157474341,34324.0,6.212783069147138,2.0886425425193367,99104,18.874402362519188,0.0,0.0,0.0,1.1889330222978796,56573,2.6767333010410685,91.3179190751445,94788.0,137.64541124115553,,,,,,,,,,,,
2003-12-03,-19.210275927687917,-20190.0,19.18700918896661,0.007166424983712671,341,0.08435085854136572,0.8656452190773252,41074.0,7.8047449866040095,2.569579970073131,121924,24.27100487902929,0.0,0.0,0.0,0.3093962129331904,14722,0.9070111402888419,22.08848715509039,23215.0,51.41288967036813,,,,,,,,,,,,
2003-12-04,-21.238878143133462,-21961.0,14.012359738241582,0.0,0,0.0,0.8581635018651604,40719.0,7.757789686175355,2.530970094206411,120092,23.833084280677603,0.0,0.0,0.0,1.7683206187083622,84142,3.002321242584831,10.363636363636363,10716.0,30.134535100651078,,,,,,,,,,,,
2003-12-05,-45.35057471264368,-39455.0,21.99414955419359,0.0,0,0.0,0.8444435077662332,40068.0,7.673706318856678,2.476490547746001,117507,23.3538156292478,0.0,0.0,0.0,0.0,0,0.0,3.1677982541222116,3266.0,10.033018761688464,,,,,,,,,,,,
2003-12-06,-6.040235525024534,-6155.0,33.84904650513287,0.0,0,0.0,0.7371072098463614,34975.0,7.2504805186544905,2.031676115408122,96401,20.87391175636339,0.0,0.0,0.0,9.237059454006683,439527,8.20426748895615,488.91185112634673,499179.0,487.91585398973876,,,,,,,,,,,,
2003-12-07,-9.932092004381161,-9068.0,22.627557124149533,0.0,0,0.0,0.5043309658791545,23930.0,6.339920777115815,1.3949925182827878,66191,18.20543029024556,0.0,0.0,0.0,15.941554756951012,758547,11.964905058830691,1412.5290251916758,1289639.0,787.5805934043543,,,,,,,,,,,,
2003-12-08,-15.408927817644576,-146015.0,22.580493428738265,5.6487400962528636,268784,13.577503149154873,0.9666800143311767,45868.0,6.787666856868549,4.824717064637822,228928,23.193870746374156,0.0,0.0,0.0,9.895340772965135,470850,10.277284224166522,117.2775669407548,1112495.0,120.49412908093625,,,,,,,,,,,,
2003-12-09,-9.82092947676308,-120876.0,10.094126914255503,2.348822058298132,111764,3.7946917981816406,1.2134080802545892,57575.0,7.488814436708969,6.652468966680014,315653,26.66449718423161,0.0,0.0,0.0,2.101590904314566e-05,1,0.00458426301325663,0.036805329866753334,453.0,1.1333112873194828,,,,,,,,,,,,
2003-12-10,-17.903058534013006,-203701.0,20.249949976095397,0.0,0,0.0,1.1565048789226327,54875.0,7.414900805981952,6.002992686884866,284836,25.79234528381411,-0.0019332604858367656,-23.0,0.21085837350728912,0.0,0,0.0,0.001176767252248466,14.0,0.06481786332050525,,,,,,,,,,,,
2003-12-11,2.235434412265758,104976.0,17.57015933585309,23.39650715591703,1113276,12.064644284439144,3.522750742902906,167151.0,7.234780227797573,27.01801934708845,1281978,24.833701185412124,-2.1294265454313153e-05,-1.0,0.004614521861316935,0.5809848054977618,27645,1.7237356013207796,0.4341687783479909,20389.0,5.983706810143592,,,,,,,,,,,,
2003-12-12,10.872657335185384,508786.0,14.52992473453039,3.1872097177563417,151657,3.3716614160903307,3.9974920440894435,189677.0,7.271010860148089,28.747223334527597,1364027,25.14431284723021,0.0,0.0,0.0,0.3502511401130656,16666,0.792923042153605,0.3634362645581793,17007.0,4.420628965891583,,,,,,,,,,,,
2003-12-13,5.024695270084711,237854.0,21.350267376463485,35.57367126915075,1692702,19.433448000570753,7.957343674260786,377568.0,7.712646339737106,58.508735695167445,2776181,37.17474203719693,0.0,0.0,0.0,5.902360086585546,280852,6.713470352368148,22.109235709155435,1046607.0,70.81589808904981,,,,,,,,,,,,
2003-12-14,28.525076198392906,1338311.0,36.29895306776395,17.701174789315512,842275,27.23387296649778,2.9243398174882507,138757.0,9.934361047920321,12.233724630656074,580478,41.447124225878675,0.0,0.0,0.0,28.928419813799046,1376501,25.482378643544067,970.4727633093219,45536523.0,608.368040380494,,,,,,,,,,,,
2003-12-15,-35.67328410217065,-1115896.0,25.472998648802488,16.386923901393356,779739,16.984118365535135,3.8845497270753864,184318.0,10.512424356334044,23.408143480368395,1110693,46.45205277814775,-0.0015372317530590912,-50.0,0.2462235920036663,1.0140176113317783,48250,1.6889167985315363,55.655393980385526,1810303.0,148.75745165735543,,,,,,,,,,,,
