datetime,"mean_Modeled snowpack sublimation rate, 24-hour total","sum_Modeled snowpack sublimation rate, 24-hour total","std_Modeled snowpack sublimation rate, 24-hour total","mean_Snow accumulation, 24-hour total","sum_Snow accumulation, 24-hour total","std_Snow accumulation, 24-hour total","mean_Modeled snow water equivalent, total of snow layers","sum_Modeled snow water equivalent, total of snow layers","std_Modeled snow water equivalent, total of snow layers","mean_Modeled snow layer thickness, total of snow layers","sum_Modeled snow layer thickness, total of snow layers","std_Modeled snow layer thickness, total of snow layers","mean_Modeled blowing snow sublimation rate, 24-hour total","sum_Modeled blowing snow sublimation rate, 24-hour total","std_Modeled blowing snow sublimation rate, 24-hour total","mean_Non-snow accumulation, 24-hour total","sum_Non-snow accumulation, 24-hour total","std_Non-snow accumulation, 24-hour total","mean_Modeled melt rate, bottom of snow layers","sum_Modeled melt rate, bottom of snow layers","std_Modeled melt rate, bottom of snow layers","mean_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","sum_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","std_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","mean_Modeled blowing snow sublimation, 24-hour total","sum_Modeled blowing snow sublimation, 24-hour total","std_Modeled blowing snow sublimation, 24-hour total","mean_Modeled snowpack sublimation, 24-hour total","sum_Modeled snowpack sublimation, 24-hour total","std_Modeled snowpack sublimation, 24-hour total","mean_Modeled melt, bottom of snow layers, 24-hour total","sum_Modeled melt, bottom of snow layers, 24-hour total","std_Modeled melt, bottom of snow layers, 24-hour total"
2003-10-01,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,2.2958715596330275,2002,1.1260393453855344,,0.0,,,,,,,,,,,,,
2003-10-02,-7.413597733711049,-2617.0,4.711992634939374,0.8646788990825688,754,0.698977062278476,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.930045871559633,2555,1.7103076598886475,18.390934844192635,6492.0,10.759810200773117,,,,,,,,,,,,
2003-10-03,,0.0,,0.21674311926605505,189,0.4120261393611766,0.0,0.0,0.0,0.0,0,0.0,,0.0,,24.886467889908257,21701,5.646075230268339,,0.0,,,,,,,,,,,,,
2003-10-04,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,10.913990825688073,9517,3.353853957298724,,0.0,,,,,,,,,,,,,
2003-10-05,-12.845864661654135,-3417.0,10.13901132103864,1.1754587155963303,1025,1.1799912612964405,0.0,0.0,0.0,0.007990867579908675,7,0.11177309005700407,0.0,0.0,0.0,0.0,0,0.0,3.56390977443609,948.0,5.730610831590079,,,,,,,,,,,,
2003-10-06,-13.4,-67.0,13.062924634246345,0.20642201834862386,180,0.40473691293172687,0.001141552511415525,1.0,0.03376757867065991,0.001141552511415525,1,0.03376757867065991,0.0,0.0,0.0,9.32683486238532,8133,0.6512620635979511,0.0,0.0,0.0,,,,,,,,,,,,
2003-10-07,-11.30503144654088,-3595.0,11.197963082644495,1.5722477064220184,1371,1.2713535707836277,0.001141552511415525,1.0,0.03376757867065991,0.00228310502283105,2,0.06753515734131982,0.0,0.0,0.0,0.10321100917431193,90,0.3042342793958827,7.455974842767295,2371.0,8.226526286441045,,,,,,,,,,,,
2003-10-08,-6.896118721461187,-6041.0,4.360672469669294,2.8474770642201834,2483,0.5530508063714206,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.591743119266055,4004,2.648060686974941,51.99543378995434,45548.0,31.626241591942563,,,,,,,,,,,,
2003-10-09,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,1.996559633027523,1741,0.8148490593742918,,0.0,,,,,,,,,,,,,
2003-10-10,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
