datetime,"mean_Modeled snowpack sublimation rate, 24-hour total","sum_Modeled snowpack sublimation rate, 24-hour total","std_Modeled snowpack sublimation rate, 24-hour total","mean_Snow accumulation, 24-hour total","sum_Snow accumulation, 24-hour total","std_Snow accumulation, 24-hour total","mean_Modeled snow water equivalent, total of snow layers","sum_Modeled snow water equivalent, total of snow layers","std_Modeled snow water equivalent, total of snow layers","mean_Modeled snow layer thickness, total of snow layers","sum_Modeled snow layer thickness, total of snow layers","std_Modeled snow layer thickness, total of snow layers","mean_Modeled blowing snow sublimation rate, 24-hour total","sum_Modeled blowing snow sublimation rate, 24-hour total","std_Modeled blowing snow sublimation rate, 24-hour total","mean_Non-snow accumulation, 24-hour total","sum_Non-snow accumulation, 24-hour total","std_Non-snow accumulation, 24-hour total","mean_Modeled melt rate, bottom of snow layers","sum_Modeled melt rate, bottom of snow layers","std_Modeled melt rate, bottom of snow layers","mean_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","sum_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","std_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","mean_Modeled blowing snow sublimation, 24-hour total","sum_Modeled blowing snow sublimation, 24-hour total","std_Modeled blowing snow sublimation, 24-hour total","mean_Modeled snowpack sublimation, 24-hour total","sum_Modeled snowpack sublimation, 24-hour total","std_Modeled snowpack sublimation, 24-hour total","mean_Modeled melt, bottom of snow layers, 24-hour total","sum_Modeled melt, bottom of snow layers, 24-hour total","std_Modeled melt, bottom of snow layers, 24-hour total"
2003-10-01,-40.20879120879121,-3659.0,10.48758185970906,0.02168227452965494,514,0.177020260807943,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.177212520037122,312379,7.15658862477477,64.61538461538461,5880.0,19.238108489627155,,,,,,,,,,,,
2003-10-02,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,35.53087825866869,842295,20.475714098516857,,0.0,,,,,,,,,,,,,
2003-10-03,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,22.27600607441154,528075,8.697657662183236,,0.0,,,,,,,,,,,,,
2003-10-04,,0.0,,0.010503669956972918,249,0.10194774580346494,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.518645068758964,12295,1.9303691185251404,,0.0,,,,,,,,,,,,,
2003-10-05,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-06,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-07,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.7916561208132962,18767,1.4682728254245077,,0.0,,,,,,,,,,,,,
2003-10-08,,0.0,,0.007171180291909222,170,0.08437863749273364,0.0,0.0,0.0,0.0,0,0.0,,0.0,,32.60018560701932,772820,9.87608742411245,,0.0,,,,,,,,,,,,,
2003-10-09,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,3.692693832784949,87539,3.606067625927693,,0.0,,,,,,,,,,,,,
2003-10-10,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.24259681093394078,5751,0.45174772114185513,,0.0,,,,,,,,,,,,,
2003-10-11,-19.196542893725994,-269865.0,9.813388817542474,2.8637897578672065,67889,3.0524201749868722,0.09132635552505147,2129.0,0.29029768029251884,1.0362903225806452,24158,2.3000635826002305,0.0,0.0,0.0,4.152450856323294,98438,3.1298095031075497,2.5863565229762413,36359.0,6.481265686011227,,,,,,,,,,,,
2003-10-12,-25.901001867889285,-152531.0,20.677895399204143,0.0056947608200455585,135,0.07524845858386756,0.016214824982841457,378.0,0.12630084890299542,0.13079100892244339,3049,0.7975979029555247,0.0,0.0,0.0,0.0,0,0.0,6.287169042769857,37044.0,11.757175662634966,,,,,,,,,,,,
2003-10-13,-19.577915632754344,-78899.0,18.927975242271387,0.6751877161899941,16006,1.8592476655891692,0.00012868908716540838,3.0,0.011343391304378636,0.0012868908716540837,30,0.07052887315806848,0.0,0.0,0.0,1.4006158778368345,33203,2.517636692714312,34.826000988630746,140906.0,23.307204459294645,,,,,,,,,,,,
2003-10-14,-8.40983606557377,-24111.0,5.37947638481014,0.38732810259006156,9182,0.7305956976907734,0.0,0.0,0.0,0.0003860672614962251,9,0.03274538153360466,0.0,0.0,0.0,0.1667510334936303,3953,0.8174216976966889,0.6403906522497385,1836.0,2.3914335812615515,,,,,,,,,,,,
2003-10-15,-20.5,-82.0,12.459935794377111,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-10-16,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-17,-32.5686756092953,-172386.0,21.02682553562958,1.6221209820298659,38454,3.467673566835222,0.004118050789293068,96.0,0.06403977238396363,0.019303363074811255,450,0.29965902942271705,0.0,0.0,0.0,0.23053235467814057,5465,0.6556010481992057,22.811074918566774,126054.0,26.33769244083528,,,,,,,,,,,,
2003-10-18,-3.9923954372623576,-1050.0,2.110975114700343,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,36.657794676806084,9641.0,21.860706760750336,,,,,,,,,,,,
2003-10-19,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.04517843583902809,1071,0.2195435136641144,,0.0,,,,,,,,,,,,,
2003-10-20,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.029064371888973255,689,0.1679870059727023,,0.0,,,,,,,,,,,,,
2003-10-21,-3.0365853658536586,-249.0,0.6137672942517863,0.06276891926094659,1488,0.24254686564818637,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.08419809330971062,1996,0.28650727247938146,0.0975609756097561,8.0,0.43081760323550483,,,,,,,,,,,,
2003-10-22,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-23,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-24,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-25,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-26,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-27,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-28,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-29,-19.102891728312038,-28406.0,14.70995658870798,0.7074580275035856,16771,3.3600939309842857,0.021019217570350034,490.0,0.21935558966317162,0.05992621825669183,1397,0.8306624656408966,0.0,0.0,0.0,10.831055429005316,256761,11.372589673164766,176.95763281775388,263136.0,145.57671025328588,,,,,,,,,,,,
2003-10-30,-17.368851870467438,-241896.0,9.393659675603335,15.193368767400658,360174,18.45689202273443,,,,10.908115991763898,254290,15.46253135135463,0.0,0.0,0.0,7.061081582721674,167390,6.563918261390674,35.06017089107489,488283.0,58.896570611398,,,,,,,,,,,,
2003-10-31,-24.726589669829547,-575907.0,18.4929435836931,46.498945414662955,1102304,15.60826996671611,5.699039121482499,132856.0,1.7828019356556908,52.17141386410432,1216220,15.408333441875955,-0.0003860672614962251,-9.0,0.04193568659264861,0.0,0,0.0,0.08223232669869596,1917.0,1.1546762789193845,,,,,,,,,,,,
2003-11-01,-23.208433424845573,-541035.0,11.659524073888093,2.410992997553362,57155,2.616288038232339,5.7139670555936855,133204.0,1.7879708959571325,47.615948867536034,1110023,14.476507177036943,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-11-02,-22.74489533287577,-530229.0,11.637085220344405,1.920062431451953,45517,2.340062595631207,5.681451612903226,132446.0,1.833078715468256,44.148078242965,1029180,13.872573761146947,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-11-03,-18.685156585156584,-435551.0,10.357745821661902,0.0,0,0.0,5.489790665751544,127978.0,1.8825952341061272,40.50759265614276,944313,13.50809490664872,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-11-04,-23.756606039807824,-553814.0,13.338141299544224,4.396397536488653,104221,3.5239239259510593,5.6886153054221005,132613.0,1.8335256114184248,41.1945778997941,960328,12.51351601912445,0.0,0.0,0.0,0.0,0,0.0,0.010509608785175017,245.0,0.23011377272497036,,,,,,,,,,,,
2003-11-05,-31.350564111363735,-730813.0,17.94631050993386,14.908293259090525,353416,9.10257414421936,6.862259780370625,159973.0,2.5060728929952494,51.32897220315717,1196581,18.471181471764368,0.0,0.0,0.0,0.0,0,0.0,4.2896362388469456e-05,1.0,0.006549390986234006,,,,,,,,,,,,
2003-11-06,-31.520646242426846,-733580.0,17.075644535256654,0.005146376444781912,122,0.0715534153920727,6.549974262182567,152693.0,2.5864578228427444,46.835063486616335,1091819,18.25447926328582,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-11-07,-21.131005309276127,-489542.0,14.669368568249585,0.0,0,0.0,6.3414121482498285,147831.0,2.604323828621811,43.76750171585449,1020308,17.708847743574687,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-11-08,-24.368045340486287,-563243.0,20.428057440027402,0.0,0,0.0,6.094286204529856,142070.0,2.646584210633733,40.851664378860676,952334,17.429398538103825,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-11-09,-34.001141251865505,-774614.0,18.108249461179387,0.0,0,0.0,5.745452985586822,133938.0,2.711960958718353,37.36633493479753,871084,17.362941937662708,0.0,0.0,0.0,0.0,0,0.0,0.16055025902224543,3688.0,2.8242984032774516,,,,,,,,,,,,
2003-11-10,-29.69758576874206,-677788.0,20.928270258997614,6.657428499114149,157821,3.64464393024498,6.14237302676733,143191.0,2.885144540944414,39.65408373369938,924416,20.193698402796485,0.0,0.0,0.0,1.4503079389184172,34381,2.2685622921877333,9.193420428577587,213223.0,25.211369910534586,,,,,,,,,,,,
2003-11-11,-33.32253600311378,-770517.0,18.93201420595805,18.946047414156755,449135,10.047251888310495,7.675317433081674,178927.0,3.7849122821614083,52.86676389842141,1232430,27.717802996989967,0.0,0.0,0.0,0.12435670294440226,2948,0.537679882245496,3.370581674673988,78575.0,19.076523760633133,,,,,,,,,,,,
2003-11-12,-57.76544329456951,-1082871.0,22.722237981985092,77.72525942799291,1842555,19.909920756101407,14.713237817433082,342995.0,5.225294826424488,116.00887954701442,2704399,40.60572976886835,-0.005707909531779752,-133.0,0.5055904306197662,0.018940352653336708,449,0.1414773895471845,1.4234728894989706,33184.0,14.213016698435013,,,,,,,,,,,,
