datetime,"mean_Modeled snowpack sublimation rate, 24-hour total","sum_Modeled snowpack sublimation rate, 24-hour total","std_Modeled snowpack sublimation rate, 24-hour total","mean_Snow accumulation, 24-hour total","sum_Snow accumulation, 24-hour total","std_Snow accumulation, 24-hour total","mean_Modeled snow water equivalent, total of snow layers","sum_Modeled snow water equivalent, total of snow layers","std_Modeled snow water equivalent, total of snow layers","mean_Modeled snow layer thickness, total of snow layers","sum_Modeled snow layer thickness, total of snow layers","std_Modeled snow layer thickness, total of snow layers","mean_Modeled blowing snow sublimation rate, 24-hour total","sum_Modeled blowing snow sublimation rate, 24-hour total","std_Modeled blowing snow sublimation rate, 24-hour total","mean_Non-snow accumulation, 24-hour total","sum_Non-snow accumulation, 24-hour total","std_Non-snow accumulation, 24-hour total","mean_Modeled melt rate, bottom of snow layers","sum_Modeled melt rate, bottom of snow layers","std_Modeled melt rate, bottom of snow layers","mean_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","sum_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","std_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","mean_Modeled blowing snow sublimation, 24-hour total","sum_Modeled blowing snow sublimation, 24-hour total","std_Modeled blowing snow sublimation, 24-hour total","mean_Modeled snowpack sublimation, 24-hour total","sum_Modeled snowpack sublimation, 24-hour total","std_Modeled snowpack sublimation, 24-hour total","mean_Modeled melt, bottom of snow layers, 24-hour total","sum_Modeled melt, bottom of snow layers, 24-hour total","std_Modeled melt, bottom of snow layers, 24-hour total"
2003-10-01,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.46795523906408953,460,0.49897207667018834,,0.0,,,,,,,,,,,,,
2003-10-02,-6.685294117647059,-2273.0,3.581540282594592,0.7507629704984741,738,0.7258747329582627,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.884028484231943,1852,0.9947876605207543,4.2558823529411764,1447.0,6.240460539965384,,,,,,,,,,,,
2003-10-03,,0.0,,0.20549338758901323,202,0.404061697326293,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.943031536113937,927,1.0049773211849176,,0.0,,,,,,,,,,,,,
2003-10-04,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.5391658189216684,530,0.9387347364206149,,0.0,,,,,,,,,,,,,
2003-10-05,-8.431761786600497,-6796.0,8.232639972448636,2.408952187182096,2368,1.0283871265964664,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6063072227873856,596,1.0129582068419516,9.116625310173697,7348.0,7.764128019090642,,,,,,,,,,,,
2003-10-06,-1.6290322580645162,-404.0,0.9199205955870451,0.6683621566632757,657,1.0413066284617418,0.014507772020725389,14.0,0.11957130329523068,0.6238341968911917,602,1.156397753913178,0.0,0.0,0.0,6.842319430315361,6726,1.7965037571459042,17.22983870967742,4273.0,5.695888158089947,,,,,,,,,,,,
2003-10-07,-13.896815286624204,-10909.0,12.35817076925462,3.178026449643947,3124,1.6492685796205573,0.0,0.0,0.0,0.007253886010362694,7,0.11583990559570671,0.0,0.0,0.0,2.7070193285859614,2661,1.8299035120216065,35.529936305732484,27891.0,26.463664465425385,,,,,,,,,,,,
2003-10-08,-9.877952755905511,-2509.0,8.810609329307113,1.150559511698881,1131,1.7654181122777277,0.004145077720207254,4.0,0.06424870466321242,0.007253886010362694,7,0.11583990559570671,0.0,0.0,0.0,9.364191251271617,9205,3.576744647112195,53.75196850393701,13653.0,40.106225782522756,,,,,,,,,,,,
2003-10-09,-56.75,-227.0,19.17517926904466,0.0,0,0.0,0.0,0.0,0.0,0.0010362694300518134,1,0.032174455329036324,0.0,0.0,0.0,0.14343845371312308,141,0.35051941987500684,11.6,58.0,8.01498596380555,,,,,,,,,,,,
2003-10-10,-12.0,-12.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,16.0,16.0,0.0,,,,,,,,,,,,
