datetime,"mean_Modeled snowpack sublimation rate, 24-hour total","sum_Modeled snowpack sublimation rate, 24-hour total","std_Modeled snowpack sublimation rate, 24-hour total","mean_Snow accumulation, 24-hour total","sum_Snow accumulation, 24-hour total","std_Snow accumulation, 24-hour total","mean_Modeled snow water equivalent, total of snow layers","sum_Modeled snow water equivalent, total of snow layers","std_Modeled snow water equivalent, total of snow layers","mean_Modeled snow layer thickness, total of snow layers","sum_Modeled snow layer thickness, total of snow layers","std_Modeled snow layer thickness, total of snow layers","mean_Modeled blowing snow sublimation rate, 24-hour total","sum_Modeled blowing snow sublimation rate, 24-hour total","std_Modeled blowing snow sublimation rate, 24-hour total","mean_Non-snow accumulation, 24-hour total","sum_Non-snow accumulation, 24-hour total","std_Non-snow accumulation, 24-hour total","mean_Modeled melt rate, bottom of snow layers","sum_Modeled melt rate, bottom of snow layers","std_Modeled melt rate, bottom of snow layers","mean_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","sum_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","std_Modeled average temperature, SWE-weighted average of snow layers, 24-hour average","mean_Modeled blowing snow sublimation, 24-hour total","sum_Modeled blowing snow sublimation, 24-hour total","std_Modeled blowing snow sublimation, 24-hour total","mean_Modeled snowpack sublimation, 24-hour total","sum_Modeled snowpack sublimation, 24-hour total","std_Modeled snowpack sublimation, 24-hour total","mean_Modeled melt, bottom of snow layers, 24-hour total","sum_Modeled melt, bottom of snow layers, 24-hour total","std_Modeled melt, bottom of snow layers, 24-hour total"
2003-10-01,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.17951591214701929,2403,0.5358521730899789,,0.0,,,,,,,,,,,,,
2003-10-02,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,5.643433437920216,75543,4.046782193639115,,0.0,,,,,,,,,,,,,
2003-10-03,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,21.004855819512922,281171,11.958456540486262,,0.0,,,,,,,,,,,,,
2003-10-04,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,6.40654415060511,85758,3.5793035523613717,,0.0,,,,,,,,,,,,,
2003-10-05,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,2.0933811444793067,28022,1.8962967986547206,,0.0,,,,,,,,,,,,,
2003-10-06,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.26669654863290004,3570,0.6317164630033829,,0.0,,,,,,,,,,,,,
2003-10-07,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.00859106529209622,115,0.09228899657729062,,0.0,,,,,,,,,,,,,
2003-10-08,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.4261168384879725,5704,1.709419451973926,,0.0,,,,,,,,,,,,,
2003-10-09,,0.0,,0.06095921111609144,816,0.23925548206090336,0.0,0.0,0.0,0.0,0,0.0,,0.0,,8.738383385626774,116972,4.963137826491433,,0.0,,,,,,,,,,,,,
2003-10-10,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-11,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,1.0345883759151353,13849,1.7064354155455186,,0.0,,,,,,,,,,,,,
2003-10-12,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-13,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-14,-13.596273291925465,-17512.0,11.373120693565363,0.40841177349469593,5467,1.1125989173940627,0.0,0.0,0.0,0.002991325157044571,40,0.07019072932324023,0.0,0.0,0.0,0.43336321529956673,5801,0.7295731662650783,9.407608695652174,12117.0,10.694479820425563,,,,,,,,,,,,
2003-10-15,-7.481481481481482,-202.0,4.103931000524311,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5185185185185185,14.0,1.474985759388139,,,,,,,,,,,,
2003-10-16,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.10645450470640969,1425,0.3084184545939537,,0.0,,,,,,,,,,,,,
2003-10-17,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.03033019572687883,406,0.17149424175186773,,0.0,,,,,,,,,,,,,
2003-10-18,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-19,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.008142835798595548,109,0.08986951665471814,,0.0,,,,,,,,,,,,,
2003-10-20,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.00874047512326311,117,0.09308103575854067,,0.0,,,,,,,,,,,,,
2003-10-21,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.05401165396683102,723,0.24506934747661074,,0.0,,,,,,,,,,,,,
2003-10-22,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.06895263708352009,923,0.2953087958772133,,0.0,,,,,,,,,,,,,
2003-10-23,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-24,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.11048857014791573,1479,0.4184226323161388,,0.0,,,,,,,,,,,,,
2003-10-25,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-26,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-27,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-28,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0,0.0,,0.0,,,,,,,,,,,,,
2003-10-29,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.17122366651725685,2292,0.4589495014469607,,0.0,,,,,,,,,,,,,
2003-10-30,,0.0,,0.0,0,0.0,,,,0.0,0,0.0,,0.0,,5.987076049604064,80143,4.122568955313896,,0.0,,,,,,,,,,,,,
2003-10-31,-2.67996317888923,-8734.0,4.800889812033914,0.7448080083669505,9970,1.1730025017070589,0.00037391564463057136,5.0,0.019333283004220252,0.4068202213580616,5440,0.885068159696594,0.0,0.0,0.0,1.321380546839982,17688,1.3637486263291383,0.3633016262657257,1184.0,1.8276330796908258,,,,,,,,,,,,
2003-11-01,2.2041420118343193,9685.0,9.775354328952668,0.7384580905423577,9885,1.0370883288932287,0.00014956625785222854,2.0,0.012228813834004528,0.5928058629973078,7927,1.419697863080895,0.0,0.0,0.0,0.0,0,0.0,8.967000455166136,39401.0,10.521367978058848,,,,,,,,,,,,
2003-11-02,-10.316829417149831,-135233.0,17.01927950420126,9.36881816823547,125411,7.472056338808735,0.6874065210888424,9192.0,0.8105533011866431,6.243419084654502,83487,6.5143636074178985,0.0,0.0,0.0,0.31181831764530105,4174,0.9205097986539511,9.588908383553283,125701.0,15.078621800468165,,,,,,,,,,,,
2003-11-03,0.9462403684350368,10684.0,16.517847471319882,6.050500522934409,80992,8.54910784852517,1.286643733173796,17205.0,1.6083905075366909,10.202363146874065,136426,13.378178164885114,0.0,0.0,0.0,1.8820409382937398,25193,1.747439326137886,21.227703480648305,239682.0,26.384959964588585,,,,,,,,,,,,
2003-11-04,-5.217716594343858,-69740.0,18.832841722143865,27.14223815927088,363326,18.782824604286766,4.282081962309303,57260.0,3.296042129747675,28.480406820221358,380840,28.294319065300847,0.0,0.0,0.0,14.637158225011206,195933,11.901234191463493,80.2789914708963,1073009.0,86.82917223169754,,,,,,,,,,,,
2003-11-05,-28.87362720024071,-383846.0,25.83545753576222,18.27229941730166,244593,8.382347127178704,5.804890816631768,77623.0,4.171592104527169,42.496784325456176,568267,32.85661347714959,0.0,0.0,0.0,0.0,0,0.0,0.5470072664619072,7302.0,3.731289657286996,,,,,,,,,,,,
2003-11-06,-5.632665270714926,-75320.0,9.419827374067712,14.965635738831615,200330,5.4078275000062535,7.242895602752019,96852.0,4.332890053548878,53.77542626383488,719085,32.21506472497135,0.0,0.0,0.0,0.0,0,0.0,0.5623691295243793,7520.0,2.899593359449352,,,,,,,,,,,,
2003-11-07,-10.593448795180723,-140681.0,13.394157909994192,0.4314955924099806,5776,0.6481640599462475,7.186135207897099,96093.0,4.395372820772819,50.59721806760395,676586,30.812451467849467,0.0,0.0,0.0,0.0,0,0.0,0.006206999700867484,83.0,0.24466867274853757,,,,,,,,,,,,
2003-11-08,-11.3315295001879,-150766.0,16.73628292007546,0.05027640818765875,673,0.24918273367034918,7.065883936583907,94485.0,4.413974458962075,47.75157044570745,638534,29.500453406652476,0.0,0.0,0.0,0.0,0,0.0,0.029889879391714735,399.0,0.7469103307523842,,,,,,,,,,,,
2003-11-09,-7.940622195632665,-106182.0,17.812726173495378,12.764679515912148,170868,9.888670366598244,8.352901585402334,111695.0,5.23880554745552,52.525201914448104,702367,38.5350849872449,0.0,0.0,0.0,6.970640968175706,93309,7.284948952575614,59.087346694585705,790116.0,122.14695350887882,,,,,,,,,,,,
2003-11-10,-11.46591354828587,-146156.0,29.541232059231543,0.1474675033617212,1974,0.38546146757168376,6.1696081364044275,82500.0,6.218208577560492,32.33824409213282,432427,40.09727470757607,0.0,0.0,0.0,0.011803376662184372,158,0.1080002637105807,203.97504754659568,2681252.0,203.04220664904267,,,,,,,,,,,,
2003-11-11,0.12105549510337323,1335.0,22.673906552447345,40.89922306887793,547477,33.215887207782714,19.50590786718516,260833.0,30.115828014759032,118.22247980855519,1580871,178.7720585893922,-0.0035364526659412403,-39.0,0.3713612088980888,14.520693261616614,194374,16.772755366168234,175.91902430177728,1940035.0,273.2240393008255,,,,,,,,,,,,
2003-11-12,-28.092622327389503,-332420.0,20.335233407378016,7.700881518003885,103084,6.953240387753863,19.247831289261143,257382.0,30.904628665000676,106.72517200119653,1427129,168.37321909051573,-0.0035374378842752464,-42.0,0.3854346607049958,0.6514268638876438,8720,1.4323626506940283,84.80501979280722,1006890.0,141.29005667880242,,,,,,,,,,,,
2003-11-13,-33.80837516836048,-276113.0,20.845772610330894,0.0,0,0.0,21.91571941370027,293057.0,38.01350581009227,113.05773257553096,1511808,188.5738721351739,0.0,0.0,0.0,0.0,0,0.0,7.404419626945468,62323.0,19.37742340741326,,,,,,,,,,,,
2003-11-14,-32.331670200823254,-259203.0,22.810375282388254,2.492828328103989,33369,3.461338102698239,21.141564463057133,282705.0,38.38493593580234,99.04943164822016,1324489,178.28705513788654,0.0,0.0,0.0,7.0234573434932015,94016,7.920203002319374,150.45598759541986,1261423.0,220.54300823820188,,,,,,,,,,,,
2003-11-15,-18.45960502692998,-154230.0,14.249772922048015,6.616838487972508,88573,6.856753809768157,21.631169608136403,289252.0,38.83494272669847,99.4126533054143,1329346,174.5723163673672,-0.00023937761819269897,-2.0,0.02187916668297278,2.4630210667861947,32970,3.5568654815009717,14.497905445840814,121130.0,47.55997531901524,,,,,,,,,,,,
2003-11-16,-15.664842324732865,-120212.0,10.741737886385462,0.5515463917525774,7383,0.8087252499666167,21.579270116661682,288558.0,38.83023808317298,96.47397547113371,1290050,168.68091775573353,0.0,0.0,0.0,0.0,0,0.0,0.43510555121188427,3339.0,4.1282884486566465,,,,,,,,,,,,
2003-11-17,-27.188762299326775,-210006.0,23.066075983688474,3.1057074555505753,41573,5.505192419810781,21.675441220460662,289844.0,39.10160091421452,96.03843852826802,1284226,166.88581285433398,-0.0008926294312675338,-7.0,0.07904181951075756,0.005304049006424623,71,0.07263550144772231,4.498469778117827,35277.0,15.45004736185186,,,,,,,,,,,,
2003-11-18,-55.09496154449851,-702020.0,28.476158902599764,59.52450321231137,796795,30.000346707178256,27.05391863595573,361765.0,41.0960295743289,141.85095722405026,1896831,183.72423906054902,-0.0036103798420458817,-48.0,0.4162753867040406,2.5988346033168983,34788,3.735860257240952,19.26995110943964,256194.0,38.72315617339579,,,,,,,,,,,,
2003-11-19,-35.50020493483073,-433067.0,24.164670188298867,0.0,0,0.0,26.71193538737661,357192.0,41.18587291006538,133.3505085252767,1783163,177.82418840176518,-0.0013715207745058492,-17.0,0.15268913549222987,0.0,0,0.0,0.05405405405405406,670.0,0.5519252879693985,,,,,,,,,,,,
2003-11-20,-34.09864603481625,-317322.0,27.342632287283482,0.0,0,0.0,29.659288064612625,396604.0,50.60109498195565,138.1471731977266,1847304,209.945882512239,0.0,0.0,0.0,0.0,0,0.0,51.78644405681535,623457.0,90.83892577920456,,,,,,,,,,,,
2003-11-21,-41.77266553480475,-246041.0,23.89165768958664,0.0,0,0.0,28.161456775351482,376575.0,50.671035857524316,122.14881842656297,1633374,204.47228902618804,-0.018682399213372666,-171.0,1.2699540441713935,0.0,0,0.0,113.5532612258276,1039353.0,183.61642940697,,,,,,,,,,,,
2003-11-22,-21.28302331057217,-180778.0,26.690006392807454,1.9943971313312416,26697,1.7481197297767337,27.559901286269817,368531.0,50.782894850951955,114.44092132814836,1530304,199.30977598417093,0.0,0.0,0.0,0.9342596742865681,12506,1.0472958823919232,58.01538148110421,569537.0,148.597477147723,,,,,,,,,,,,
