archive_name,datetime,product,product_code,data_units
SNODAS_20040327.tar,2004-03-27,"Modeled snow layer thickness, total of snow layers",114942322 ,Meters / 1000.000000
SNODAS_20040327.tar,2004-03-27,"Modeled melt rate, bottom of snow layers, 24-hour total",114947017 ,Meters / 100000.000000
SNODAS_20040327.tar,2004-03-27,"Modeled blowing snow sublimation rate, 24-hour total",114944526 ,Meters / 100000.000000
SNODAS_20040327.tar,2004-03-27,"Modeled snowpack sublimation rate, 24-hour total",114947090 ,Meters / 100000.000000
SNODAS_20040327.tar,2004-03-27,"Non-snow accumulation, 24-hour total",114944968 ,Kilograms per square meter / 10.000000
SNODAS_20040327.tar,2004-03-27,"Modeled snow water equivalent, total of snow layers",114942550 ,Meters / 1000.000000
SNODAS_20040327.tar,2004-03-27,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",114944991 ,Kelvins
SNODAS_20040327.tar,2004-03-27,"Snow accumulation, 24-hour total",114944724 ,Kilograms per square meter / 10.000000
SNODAS_20031124.tar,2003-11-24,"Modeled melt rate, bottom of snow layers, 24-hour total",100443826 ,Meters / 100000.000000
SNODAS_20031124.tar,2003-11-24,"Modeled snow water equivalent, total of snow layers",100447637 ,Meters / 1000.000000
SNODAS_20031124.tar,2003-11-24,"Non-snow accumulation, 24-hour total",100445385 ,Kilograms per square meter / 10.000000
SNODAS_20031124.tar,2003-11-24,"Modeled blowing snow sublimation rate, 24-hour total",100444553 ,Meters / 100000.000000
SNODAS_20031124.tar,2003-11-24,"Modeled snowpack sublimation rate, 24-hour total",100444398 ,Meters / 100000.000000
SNODAS_20031124.tar,2003-11-24,"Modeled snow layer thickness, total of snow layers",100446234 ,Meters / 1000.000000
SNODAS_20031124.tar,2003-11-24,"Snow accumulation, 24-hour total",100445167 ,Kilograms per square meter / 10.000000
SNODAS_20040505.tar,2004-05-05,"Modeled melt rate, bottom of snow layers, 24-hour total",119431315 ,Meters / 100000.000000
SNODAS_20040505.tar,2004-05-05,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",119431671 ,Kelvins
SNODAS_20040505.tar,2004-05-05,"Modeled snow water equivalent, total of snow layers",119423522 ,Meters / 1000.000000
SNODAS_20040505.tar,2004-05-05,"Non-snow accumulation, 24-hour total",119431637 ,Kilograms per square meter / 10.000000
