site_id,stationTriplet,in_basin
missouri_r_at_toston,916:MT:SNTL,True
missouri_r_at_toston,318:MT:SNTL,True
missouri_r_at_toston,328:MT:SNTL,True
missouri_r_at_toston,347:MT:SNTL,True
missouri_r_at_toston,355:MT:SNTL,True
missouri_r_at_toston,381:MT:SNTL,True
missouri_r_at_toston,385:MT:SNTL,True
missouri_r_at_toston,403:MT:SNTL,True
missouri_r_at_toston,436:MT:SNTL,True
missouri_r_at_toston,448:MT:SNTL,True
missouri_r_at_toston,1287:MT:SNTL,True
missouri_r_at_toston,568:MT:SNTL,True
missouri_r_at_toston,576:MT:SNTL,True
missouri_r_at_toston,578:MT:SNTL,True
missouri_r_at_toston,590:MT:SNTL,True
missouri_r_at_toston,603:MT:SNTL,True
missouri_r_at_toston,609:MT:SNTL,True
missouri_r_at_toston,656:MT:SNTL,True
missouri_r_at_toston,722:MT:SNTL,True
missouri_r_at_toston,753:MT:SNTL,True
missouri_r_at_toston,754:MT:SNTL,True
missouri_r_at_toston,1286:MT:SNTL,True
missouri_r_at_toston,813:MT:SNTL,True
missouri_r_at_toston,924:MT:SNTL,True
missouri_r_at_toston,858:MT:SNTL,True
boise_r_nr_boise,306:ID:SNTL,True
boise_r_nr_boise,1306:ID:SNTL,True
boise_r_nr_boise,496:ID:SNTL,True
boise_r_nr_boise,637:ID:SNTL,True
boise_r_nr_boise,704:ID:SNTL,True
boise_r_nr_boise,830:ID:SNTL,True
libby_reservoir_inflow,311:MT:SNTL,True
libby_reservoir_inflow,500:MT:SNTL,True
libby_reservoir_inflow,787:MT:SNTL,True
snake_r_nr_heise,314:WY:SNTL,True
snake_r_nr_heise,419:WY:SNTL,True
snake_r_nr_heise,460:WY:SNTL,True
snake_r_nr_heise,497:WY:SNTL,True
snake_r_nr_heise,506:WY:SNTL,True
snake_r_nr_heise,944:WY:SNTL,True
snake_r_nr_heise,577:WY:SNTL,True
snake_r_nr_heise,689:WY:SNTL,True
snake_r_nr_heise,730:WY:SNTL,True
snake_r_nr_heise,764:WY:SNTL,True
snake_r_nr_heise,837:WY:SNTL,True
snake_r_nr_heise,868:WY:SNTL,True
yampa_r_nr_maybell,1061:CO:SNTL,True
yampa_r_nr_maybell,426:CO:SNTL,True
yampa_r_nr_maybell,457:CO:SNTL,True
yampa_r_nr_maybell,467:CO:SNTL,True
yampa_r_nr_maybell,1252:CO:SNTL,True
yampa_r_nr_maybell,940:CO:SNTL,True
yampa_r_nr_maybell,709:CO:SNTL,True
yampa_r_nr_maybell,825:CO:SNTL,True
skagit_ross_reservoir,990:WA:SNTL,True
skagit_ross_reservoir,1080:WA:SNTL,True
skagit_ross_reservoir,991:WA:SNTL,True
owyhee_r_bl_owyhee_dam,336:NV:SNTL,True
owyhee_r_bl_owyhee_dam,1204:NV:SNTL,True
owyhee_r_bl_owyhee_dam,476:NV:SNTL,True
owyhee_r_bl_owyhee_dam,548:NV:SNTL,True
owyhee_r_bl_owyhee_dam,549:NV:SNTL,True
owyhee_r_bl_owyhee_dam,573:NV:SNTL,True
owyhee_r_bl_owyhee_dam,654:ID:SNTL,True
owyhee_r_bl_owyhee_dam,774:ID:SNTL,True
owyhee_r_bl_owyhee_dam,811:NV:SNTL,True
fontenelle_reservoir_inflow,353:WY:SNTL,True
fontenelle_reservoir_inflow,468:WY:SNTL,True
fontenelle_reservoir_inflow,555:WY:SNTL,True
fontenelle_reservoir_inflow,597:WY:SNTL,True
fontenelle_reservoir_inflow,661:WY:SNTL,True
fontenelle_reservoir_inflow,1133:WY:SNTL,True
fontenelle_reservoir_inflow,765:WY:SNTL,True
fontenelle_reservoir_inflow,779:WY:SNTL,True
fontenelle_reservoir_inflow,831:WY:SNTL,True
pueblo_reservoir_inflow,369:CO:SNTL,True
pueblo_reservoir_inflow,1100:CO:SNTL,True
pueblo_reservoir_inflow,773:CO:SNTL,True
boysen_reservoir_inflow,379:WY:SNTL,True
boysen_reservoir_inflow,1130:WY:SNTL,True
boysen_reservoir_inflow,405:WY:SNTL,True
boysen_reservoir_inflow,923:WY:SNTL,True
boysen_reservoir_inflow,525:WY:SNTL,True
boysen_reservoir_inflow,585:WY:SNTL,True
boysen_reservoir_inflow,775:WY:SNTL,True
boysen_reservoir_inflow,786:WY:SNTL,True
boysen_reservoir_inflow,822:WY:SNTL,True
boysen_reservoir_inflow,826:WY:SNTL,True
san_joaquin_river_millerton_reservoir,1067:CA:SNTL,True
animas_r_at_durango,386:CO:SNTL,True
animas_r_at_durango,387:CO:SNTL,True
animas_r_at_durango,629:CO:SNTL,True
animas_r_at_durango,632:CO:SNTL,True
animas_r_at_durango,713:CO:SNTL,True
animas_r_at_durango,780:CO:SNTL,True
ruedi_reservoir_inflow,1101:CO:SNTL,True
ruedi_reservoir_inflow,547:CO:SNTL,True
ruedi_reservoir_inflow,556:CO:SNTL,True
ruedi_reservoir_inflow,658:CO:SNTL,True
dillon_reservoir_inflow,415:CO:SNTL,True
dillon_reservoir_inflow,505:CO:SNTL,True
green_r_bl_howard_a_hanson_dam,420:WA:SNTL,True
green_r_bl_howard_a_hanson_dam,1069:WA:SNTL,True
green_r_bl_howard_a_hanson_dam,1068:WA:SNTL,True
green_r_bl_howard_a_hanson_dam,788:WA:SNTL,True
hungry_horse_reservoir_inflow,469:MT:SNTL,True
virgin_r_at_virtin,561:UT:SNTL,True
virgin_r_at_virtin,593:UT:SNTL,True
virgin_r_at_virtin,853:UT:SNTL,True
sweetwater_r_nr_alcova,1134:WY:SNTL,True
detroit_lake_inflow,614:OR:SNTL,True
taylor_park_reservoir_inflow,680:CO:SNTL,True
taylor_park_reservoir_inflow,1141:CO:SNTL,True
stehekin_r_at_stehekin,681:WA:SNTL,True
weber_r_nr_oakley,763:UT:SNTL,True
virgin_r_at_virtin,907:UT:SNTL,False
virgin_r_at_virtin,1154:UT:SNTL,False
virgin_r_at_virtin,390:UT:SNTL,False
virgin_r_at_virtin,1066:UT:SNTL,False
virgin_r_at_virtin,514:UT:SNTL,False
virgin_r_at_virtin,583:UT:SNTL,False
virgin_r_at_virtin,592:UT:SNTL,False
virgin_r_at_virtin,626:UT:SNTL,False
virgin_r_at_virtin,1148:UT:SNTL,False
virgin_r_at_virtin,1248:UT:SNTL,False
virgin_r_at_virtin,1197:UT:SNTL,False
missouri_r_at_toston,313:MT:SNTL,False
missouri_r_at_toston,314:WY:SNTL,False
missouri_r_at_toston,315:MT:SNTL,False
missouri_r_at_toston,349:MT:SNTL,False
missouri_r_at_toston,350:WY:SNTL,False
missouri_r_at_toston,360:MT:SNTL,False
missouri_r_at_toston,363:MT:SNTL,False
missouri_r_at_toston,365:MT:SNTL,False
missouri_r_at_toston,384:WY:SNTL,False
missouri_r_at_toston,410:MT:SNTL,False
missouri_r_at_toston,424:ID:SNTL,False
missouri_r_at_toston,919:MT:SNTL,False
missouri_r_at_toston,433:MT:SNTL,False
missouri_r_at_toston,437:MT:SNTL,False
missouri_r_at_toston,1105:MT:SNTL,False
missouri_r_at_toston,1106:MT:SNTL,False
missouri_r_at_toston,1316:MT:SNTL,False
missouri_r_at_toston,472:WY:SNTL,False
missouri_r_at_toston,480:MT:SNTL,False
missouri_r_at_toston,487:MT:SNTL,False
missouri_r_at_toston,1082:WY:SNTL,False
missouri_r_at_toston,499:WY:SNTL,False
missouri_r_at_toston,524:ID:SNTL,False
missouri_r_at_toston,546:ID:SNTL,False
missouri_r_at_toston,577:WY:SNTL,False
missouri_r_at_toston,620:ID:SNTL,False
missouri_r_at_toston,635:MT:SNTL,False
missouri_r_at_toston,636:ID:SNTL,False
missouri_r_at_toston,638:ID:SNTL,False
missouri_r_at_toston,639:ID:SNTL,False
missouri_r_at_toston,903:MT:SNTL,False
missouri_r_at_toston,662:MT:SNTL,False
missouri_r_at_toston,670:MT:SNTL,False
missouri_r_at_toston,1008:MT:SNTL,False
missouri_r_at_toston,683:WY:SNTL,False
missouri_r_at_toston,930:MT:SNTL,False
missouri_r_at_toston,690:MT:SNTL,False
missouri_r_at_toston,696:MT:SNTL,False
missouri_r_at_toston,700:MT:SNTL,False
missouri_r_at_toston,725:MT:SNTL,False
missouri_r_at_toston,929:MT:SNTL,False
missouri_r_at_toston,727:MT:SNTL,False
missouri_r_at_toston,915:ID:SNTL,False
missouri_r_at_toston,760:MT:SNTL,False
missouri_r_at_toston,764:WY:SNTL,False
missouri_r_at_toston,781:MT:SNTL,False
missouri_r_at_toston,1009:MT:SNTL,False
missouri_r_at_toston,806:WY:SNTL,False
missouri_r_at_toston,807:WY:SNTL,False
missouri_r_at_toston,816:WY:SNTL,False
missouri_r_at_toston,893:MT:SNTL,False
missouri_r_at_toston,835:MT:SNTL,False
missouri_r_at_toston,836:MT:SNTL,False
missouri_r_at_toston,837:WY:SNTL,False
missouri_r_at_toston,850:MT:SNTL,False
missouri_r_at_toston,860:ID:SNTL,False
missouri_r_at_toston,862:MT:SNTL,False
green_r_bl_howard_a_hanson_dam,908:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,352:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,375:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,942:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,1085:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,418:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,478:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,507:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,928:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,897:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,642:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,898:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,941:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,672:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,679:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,692:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,911:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,734:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,1257:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,912:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,791:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,899:WA:SNTL,False
green_r_bl_howard_a_hanson_dam,863:WA:SNTL,False
yampa_r_nr_maybell,1030:CO:SNTL,False
yampa_r_nr_maybell,317:WY:SNTL,False
yampa_r_nr_maybell,1041:CO:SNTL,False
yampa_r_nr_maybell,345:CO:SNTL,False
yampa_r_nr_maybell,1119:WY:SNTL,False
yampa_r_nr_maybell,913:CO:SNTL,False
yampa_r_nr_maybell,378:CO:SNTL,False
yampa_r_nr_maybell,1046:WY:SNTL,False
yampa_r_nr_maybell,408:CO:SNTL,False
yampa_r_nr_maybell,449:WY:SNTL,False
yampa_r_nr_maybell,1120:CO:SNTL,False
yampa_r_nr_maybell,1047:WY:SNTL,False
yampa_r_nr_maybell,607:CO:SNTL,False
yampa_r_nr_maybell,1040:CO:SNTL,False
yampa_r_nr_maybell,1196:WY:SNTL,False
yampa_r_nr_maybell,1031:CO:SNTL,False
yampa_r_nr_maybell,668:WY:SNTL,False
yampa_r_nr_maybell,673:WY:SNTL,False
yampa_r_nr_maybell,1032:CO:SNTL,False
yampa_r_nr_maybell,717:CO:SNTL,False
yampa_r_nr_maybell,718:CO:SNTL,False
yampa_r_nr_maybell,1015:WY:SNTL,False
yampa_r_nr_maybell,732:WY:SNTL,False
yampa_r_nr_maybell,772:WY:SNTL,False
yampa_r_nr_maybell,793:CO:SNTL,False
yampa_r_nr_maybell,802:CO:SNTL,False
yampa_r_nr_maybell,827:CO:SNTL,False
yampa_r_nr_maybell,842:CO:SNTL,False
yampa_r_nr_maybell,852:WY:SNTL,False
yampa_r_nr_maybell,859:WY:SNTL,False
yampa_r_nr_maybell,869:CO:SNTL,False
yampa_r_nr_maybell,1033:CO:SNTL,False
dillon_reservoir_inflow,305:CO:SNTL,False
dillon_reservoir_inflow,1041:CO:SNTL,False
dillon_reservoir_inflow,335:CO:SNTL,False
dillon_reservoir_inflow,369:CO:SNTL,False
dillon_reservoir_inflow,938:CO:SNTL,False
dillon_reservoir_inflow,1101:CO:SNTL,False
dillon_reservoir_inflow,936:CO:SNTL,False
dillon_reservoir_inflow,1120:CO:SNTL,False
dillon_reservoir_inflow,1186:CO:SNTL,False
dillon_reservoir_inflow,485:CO:SNTL,False
dillon_reservoir_inflow,1187:CO:SNTL,False
dillon_reservoir_inflow,531:CO:SNTL,False
dillon_reservoir_inflow,542:CO:SNTL,False
dillon_reservoir_inflow,547:CO:SNTL,False
dillon_reservoir_inflow,935:CO:SNTL,False
dillon_reservoir_inflow,970:CO:SNTL,False
dillon_reservoir_inflow,556:CO:SNTL,False
dillon_reservoir_inflow,564:CO:SNTL,False
dillon_reservoir_inflow,602:CO:SNTL,False
dillon_reservoir_inflow,1040:CO:SNTL,False
dillon_reservoir_inflow,937:CO:SNTL,False
dillon_reservoir_inflow,1014:CO:SNTL,False
dillon_reservoir_inflow,658:CO:SNTL,False
dillon_reservoir_inflow,663:CO:SNTL,False
dillon_reservoir_inflow,939:CO:SNTL,False
dillon_reservoir_inflow,1251:CO:SNTL,False
dillon_reservoir_inflow,793:CO:SNTL,False
dillon_reservoir_inflow,802:CO:SNTL,False
dillon_reservoir_inflow,838:CO:SNTL,False
dillon_reservoir_inflow,842:CO:SNTL,False
dillon_reservoir_inflow,1042:CO:SNTL,False
boise_r_nr_boise,312:ID:SNTL,False
boise_r_nr_boise,320:ID:SNTL,False
boise_r_nr_boise,338:ID:SNTL,False
boise_r_nr_boise,978:ID:SNTL,False
boise_r_nr_boise,382:ID:SNTL,False
boise_r_nr_boise,895:ID:SNTL,False
boise_r_nr_boise,423:ID:SNTL,False
boise_r_nr_boise,439:ID:SNTL,False
boise_r_nr_boise,450:ID:SNTL,False
boise_r_nr_boise,489:ID:SNTL,False
boise_r_nr_boise,490:ID:SNTL,False
boise_r_nr_boise,492:ID:SNTL,False
boise_r_nr_boise,537:ID:SNTL,False
boise_r_nr_boise,550:ID:SNTL,False
boise_r_nr_boise,601:ID:SNTL,False
boise_r_nr_boise,769:ID:SNTL,False
boise_r_nr_boise,792:ID:SNTL,False
boise_r_nr_boise,805:ID:SNTL,False
boise_r_nr_boise,979:ID:SNTL,False
boise_r_nr_boise,845:ID:SNTL,False
weber_r_nr_oakley,1308:UT:SNTL,False
weber_r_nr_oakley,992:UT:SNTL,False
weber_r_nr_oakley,330:UT:SNTL,False
weber_r_nr_oakley,1162:UT:SNTL,False
weber_r_nr_oakley,366:UT:SNTL,False
weber_r_nr_oakley,368:UT:SNTL,False
weber_r_nr_oakley,1192:UT:SNTL,False
weber_r_nr_oakley,1135:UT:SNTL,False
weber_r_nr_oakley,1039:UT:SNTL,False
weber_r_nr_oakley,392:UT:SNTL,False
weber_r_nr_oakley,393:UT:SNTL,False
weber_r_nr_oakley,432:UT:SNTL,False
weber_r_nr_oakley,435:UT:SNTL,False
weber_r_nr_oakley,1163:UT:SNTL,False
weber_r_nr_oakley,474:UT:SNTL,False
weber_r_nr_oakley,1054:UT:SNTL,False
weber_r_nr_oakley,481:UT:SNTL,False
weber_r_nr_oakley,896:UT:SNTL,False
weber_r_nr_oakley,517:UT:SNTL,False
weber_r_nr_oakley,521:UT:SNTL,False
weber_r_nr_oakley,1223:UT:SNTL,False
weber_r_nr_oakley,528:UT:SNTL,False
weber_r_nr_oakley,533:UT:SNTL,False
weber_r_nr_oakley,1145:UT:SNTL,False
weber_r_nr_oakley,566:UT:SNTL,False
weber_r_nr_oakley,1116:UT:SNTL,False
weber_r_nr_oakley,513:UT:SNTL,False
weber_r_nr_oakley,1056:UT:SNTL,False
weber_r_nr_oakley,579:UT:SNTL,False
weber_r_nr_oakley,596:UT:SNTL,False
weber_r_nr_oakley,1118:UT:SNTL,False
weber_r_nr_oakley,972:UT:SNTL,False
weber_r_nr_oakley,628:UT:SNTL,False
weber_r_nr_oakley,684:UT:SNTL,False
weber_r_nr_oakley,856:UT:SNTL,False
weber_r_nr_oakley,971:UT:SNTL,False
weber_r_nr_oakley,1225:UT:SNTL,False
weber_r_nr_oakley,720:UT:SNTL,False
weber_r_nr_oakley,766:UT:SNTL,False
weber_r_nr_oakley,790:UT:SNTL,False
weber_r_nr_oakley,795:UT:SNTL,False
weber_r_nr_oakley,814:UT:SNTL,False
weber_r_nr_oakley,820:UT:SNTL,False
weber_r_nr_oakley,828:UT:SNTL,False
weber_r_nr_oakley,1164:UT:SNTL,False
hungry_horse_reservoir_inflow,307:MT:SNTL,False
hungry_horse_reservoir_inflow,346:MT:SNTL,False
hungry_horse_reservoir_inflow,1144:MT:SNTL,False
hungry_horse_reservoir_inflow,413:MT:SNTL,False
hungry_horse_reservoir_inflow,414:MT:SNTL,False
hungry_horse_reservoir_inflow,458:MT:SNTL,False
hungry_horse_reservoir_inflow,482:MT:SNTL,False
hungry_horse_reservoir_inflow,510:MT:SNTL,False
hungry_horse_reservoir_inflow,562:MT:SNTL,False
hungry_horse_reservoir_inflow,604:MT:SNTL,False
hungry_horse_reservoir_inflow,613:MT:SNTL,False
hungry_horse_reservoir_inflow,646:MT:SNTL,False
hungry_horse_reservoir_inflow,649:MT:SNTL,False
hungry_horse_reservoir_inflow,657:MT:SNTL,False
hungry_horse_reservoir_inflow,903:MT:SNTL,False
hungry_horse_reservoir_inflow,664:MT:SNTL,False
hungry_horse_reservoir_inflow,667:MT:SNTL,False
hungry_horse_reservoir_inflow,693:MT:SNTL,False
hungry_horse_reservoir_inflow,1311:MT:SNTL,False
hungry_horse_reservoir_inflow,901:MT:SNTL,False
hungry_horse_reservoir_inflow,847:MT:SNTL,False
hungry_horse_reservoir_inflow,876:MT:SNTL,False
libby_reservoir_inflow,323:ID:SNTL,False
libby_reservoir_inflow,1312:MT:SNTL,False
libby_reservoir_inflow,469:MT:SNTL,False
libby_reservoir_inflow,482:MT:SNTL,False
libby_reservoir_inflow,918:MT:SNTL,False
libby_reservoir_inflow,510:MT:SNTL,False
libby_reservoir_inflow,516:MT:SNTL,False
libby_reservoir_inflow,932:MT:SNTL,False
libby_reservoir_inflow,1311:MT:SNTL,False
fontenelle_reservoir_inflow,314:WY:SNTL,False
fontenelle_reservoir_inflow,342:WY:SNTL,False
fontenelle_reservoir_inflow,379:WY:SNTL,False
