stationTriplet,actonId,beginDate,countyName,elevation,endDate,fipsCountryCd,fipsCountyCd,fipsStateNumber,huc,hud,latitude,longitude,name,shefId,stationDataTimeZone,stationTimeZone
301:CA:SNTL,20H13S,1983-10-01 00:00:00,Modoc,6190.00,2100-01-01 00:00:00,US,049,06,180200021403,18020002,41.23583,-120.79192,Adin Mtn,ADMC1,-8.0,
907:UT:SNTL,12M26S,1994-10-01 00:00:00,Kane,8900.00,2100-01-01 00:00:00,US,025,49,160300020301,16030002,37.52217,-112.27118,Agua Canyon,AGUU1,-8.0,
916:MT:SNTL,11D28S,1996-09-01 00:00:00,Madison,8300.00,2100-01-01 00:00:00,US,057,30,100200050701,10020005,45.59723,-111.95902,Albro Lake,ABRM8,-8.0,
1267:AK:SNTL,50M01S,2014-08-28 00:00:00,Matanuska-Susitna,160.00,2100-01-01 00:00:00,US,170,02,190205051106,,61.74967,-150.88967,Alexander Lake,ALXA2,-9.0,
908:WA:SNTL,21B48S,1994-09-01 00:00:00,King,3500.00,2100-01-01 00:00:00,US,033,53,171100100501,17110010,47.77957,-121.69847,Alpine Meadows,APSW1,-8.0,
1189:AK:SNTL,41P07S,2011-08-04 00:00:00,Southeast Fairbanks,1050.00,2100-01-01 00:00:00,US,240,02,190705050504,19040401,64.78969,-141.23376,American Creek,AMCA2,-9.0,
1062:AK:SNTL,51K05S,1980-10-01 00:00:00,Kenai Peninsula,1653.00,2100-01-01 00:00:00,US,122,02,190203010701,19020301,59.85972,-151.31500,Anchor River Divide,ARDA2,-9.0,
1070:AK:SNTL,49M22S,2004-10-01 00:00:00,Anchorage,2080.00,2100-01-01 00:00:00,US,020,02,190204010601,19020401,61.11483,-149.66683,Anchorage Hillside,HILA2,-9.0,
302:OR:SNTL,17D02S,1980-10-01 00:00:00,Wallowa,7400.00,2100-01-01 00:00:00,US,063,41,170601050101,17060105,45.21328,-117.19258,Aneroid Lake #2,ANRO3,-8.0,
2065:AK:SNTL,SC2065,2002-07-21 00:00:00,Bethel,80.00,2100-01-01 00:00:00,US,050,02,190305020504,19030501,61.58337,-159.57708,Aniak,AMBA2,-9.0,
1000:OR:SNTL,22G06S,2000-09-01 00:00:00,Klamath,6010.00,2100-01-01 00:00:00,US,035,41,180102030101,18010201,42.87007,-122.16518,Annie Springs,ANSO3,-8.0,
303:CO:SNTL,05M07S,1979-10-01 00:00:00,Huerfano,10027.00,2100-01-01 00:00:00,US,055,08,110200060406,11020007,37.33067,-105.06766,Apishapa,APSC2,-8.0,
1030:CO:SNTL,06J08S,2002-08-01 00:00:00,Grand,10976.00,2100-01-01 00:00:00,US,049,08,140100010604,14010001,40.35098,-106.38141,Arapaho Ridge,ARPC2,-8.0,
304:OR:SNTL,19D02S,1978-10-01 00:00:00,Morrow,5770.00,2100-01-01 00:00:00,US,049,41,170702020604,17070202,45.19085,-119.25392,Arbuckle Mtn,ARBO3,-8.0,
305:CO:SNTL,05K06S,1978-10-01 00:00:00,Grand,9680.00,2013-10-01 00:00:00,US,049,08,140100010202,14010001,39.91550,-105.76083,Arrow,AROC2,-8.0,
957:AK:SNTL,49T03S,1981-10-01 00:00:00,North Slope,4800.00,2100-01-01 00:00:00,US,185,02,190802010102,19040301,68.12983,-149.47817,Atigun Pass,ATGA2,-9.0,
306:ID:SNTL,15F04S,1978-10-01 00:00:00,Elmore,7580.00,2100-01-01 00:00:00,US,039,16,170501110204,17050111,43.75690,-115.23907,Atlanta Summit,ATAI1,-8.0,
1308:UT:SNTL,,2022-08-25 00:00:00,Salt Lake,8753.00,2100-01-01 00:00:00,US,035,49,160202040202,,40.59124,-111.63775,Atwater,,-8.0,
307:MT:SNTL,13A15S,1968-10-01 00:00:00,Pondera,6900.00,2100-01-01 00:00:00,US,073,30,100302010201,10030201,48.13088,-113.02317,Badger Pass,BADM8,-8.0,
308:AZ:SNTL,11R06S,1965-10-01 00:00:00,Coconino,7363.00,2100-01-01 00:00:00,US,005,04,150602030206,15060203,34.45654,-111.40651,Baker Butte,BKBA3,-8.0,
1140:AZ:SNTL,11R07S,2009-05-18 00:00:00,Coconino,7752.00,2100-01-01 00:00:00,US,005,04,150602030103,15060203,34.45552,-111.38262,Baker Butte Smt,BBSA3,-8.0,
309:WY:SNTL,07E21S,1975-10-01 00:00:00,Big Horn,9380.00,2100-01-01 00:00:00,US,003,56,100800100501,10080016,44.80070,-107.84442,Bald Mtn.,BLDW4,-8.0,
310:AZ:SNTL,09S01S,1949-11-01 00:00:00,Apache,9221.00,2100-01-01 00:00:00,US,001,04,150200010203,15060102,33.97845,-109.50357,Baldy,BLDA3,-8.0,
311:MT:SNTL,15A08S,1968-10-01 00:00:00,Lincoln,5600.00,2100-01-01 00:00:00,US,053,30,170101011202,17010101,48.57120,-115.44573,Banfield Mountain,BANM8,-8.0,
312:ID:SNTL,15E11S,1979-10-01 00:00:00,Boise,7040.00,2100-01-01 00:00:00,US,015,16,170501200202,17050120,44.30342,-115.23447,Banner Summit,BASI1,-8.0,
1212:AZ:SNTL,11R13S,2012-09-06 00:00:00,Coconino,6397.00,2100-01-01 00:00:00,US,005,04,150602020601,15060202,34.86142,-111.60497,Bar M,BRMA3,-8.0,
