      Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
1950  -2.34  -1.04   0.24   0.01  -0.55  -1.97  -0.43   0.82  -1.15   0.49  -1.81   0.02
1951  -0.41  -1.36  -0.81   0.73   1.26  -0.61  -0.02   0.05  -0.05   0.24   0.23  -1.29
1952  -1.98   0.28  -0.40   1.16  -0.99   0.39  -1.23   0.80   0.53   0.80   0.82   0.93
1953   0.65   1.00  -0.15   1.05   1.20  -1.60   0.74  -1.12  -0.12   1.91   1.65   1.27
1954  -1.14  -0.14  -1.17  -2.70   0.64  -0.02   0.30  -0.08   0.00   0.75   1.45  -0.52
1955   0.40  -1.74  -2.23   0.00  -0.57   0.00  -0.96  -0.52  -0.21   0.31  -0.96  -2.07
1956  -1.32  -1.04  -0.69   0.07  -0.29  -0.18  -0.92  -0.20   0.55  -2.11   1.06  -0.31
1957  -1.19  -1.19   1.10  -0.17   1.31   0.12   0.33  -0.96  -0.22   0.27   0.52  -0.43
1958   0.99   0.49   0.49   0.57   0.65   1.29   1.24   2.15  -0.01   0.16   0.09   0.65
1959  -0.69  -0.70   0.52  -0.68  -0.44   0.91  -0.03   1.06   1.48   0.06   0.28   0.66
1960   0.38   0.06  -0.40   0.18   1.03   1.02   1.64   1.88   0.04   0.29  -0.53   1.46
1961   1.41   0.35   0.59  -0.92  -0.38   1.62  -0.11   0.50   1.37  -1.91  -0.41  -1.24
1962  -0.07  -0.18  -0.43  -1.30  -1.36  -1.01   0.06   0.60  -0.95   1.06   0.57  -0.08
1963   0.58   0.81  -1.79  -0.56  -1.17   0.37  -0.73  -0.98   1.10   0.69  -0.31   1.77
1964   0.16   1.24  -1.04  -1.09  -2.68   0.15   0.66   0.86   1.15   0.58  -0.81  -1.73
1965  -0.21  -0.55  -0.52  -0.85  -0.57   1.67  -0.90   0.35   0.48   1.14  -0.84  -1.26
1966   0.39  -1.31   0.74  -0.31  -0.27  -0.01  -0.81   1.29   0.81  -0.70  -2.04   0.09
1967  -0.40   0.07  -2.00  -1.72  -1.01  -0.41  -0.88  -0.32   0.18   0.85  -0.36  -0.82
1968  -0.88   1.05   0.44  -0.89   0.17  -0.18   0.41   1.33  -0.99   0.26   0.88  -1.44
1969  -1.80  -1.25   0.78   0.74   1.06   1.88   0.99  -0.66   1.62   0.35   0.15   1.84
1970   0.60   0.98   0.81  -0.43  -0.66   0.11   1.24  -0.57  -0.42  -1.01  -1.19  -0.79
1971  -1.39   0.10   0.02   0.48   1.14   0.38  -1.41  -0.78   0.23  -1.37  -0.26  -1.46
1972  -1.41  -1.48   0.20  -1.76   0.14  -0.24  -0.76  -0.01   0.21  -1.50   0.56  -0.56
1973  -0.18   0.12   0.85   0.36   0.66   0.84   0.17  -0.92  -0.28  -0.82  -1.73   0.53
1974  -0.69  -0.90  -0.82  -0.50  -0.55  -1.38   0.35   0.93   0.47   0.69   0.57   0.68
1975  -0.43  -0.16  -0.53  -0.44   0.59  -0.39  -1.19  -1.07  -0.23  -0.74  -0.65   0.14
1976   0.31  -1.56  -1.52   1.19   0.56  -1.34   0.32  -0.59   0.00   0.68   1.81   0.51
1977   1.75   2.04  -0.40  -0.08  -0.73   0.43  -0.67   2.22  -0.82   0.98  -0.22  -0.50
1978   0.61   1.27   0.12   0.05  -0.92  -0.97  -2.15   0.05   1.71   0.48  -0.49  -0.72
1979  -0.69  -1.82   0.38   0.09   1.35  -1.64   0.99   0.70   1.28   1.53   0.54  -0.38
1980  -0.28   1.74  -0.35   1.96  -0.28  -0.86  -0.42  -1.99  -0.05   2.45   1.35  -0.27
1981   2.42   0.38   1.60  -1.02   1.98  -0.20  -0.64  -1.50   0.15  -1.45   1.26  -0.12
1982  -0.86  -0.68  -1.40  -1.89  -0.70   1.93   0.97   0.34   1.05  -0.93  -0.48   0.75
1983   1.18   1.30   2.38   1.26  -0.19   1.87   1.33   0.53  -1.59   0.09   1.84  -0.31
1984   0.97   0.77   1.41   1.70   0.32  -0.44  -2.34  -1.11   0.03  -0.63   0.42  -1.60
1985   1.63  -0.52  -0.92  -1.06  -1.03   1.10   0.25  -0.50  -0.71  -1.51  -1.90   1.39
1986   0.97   0.53   0.83   0.09  -0.13   0.26   0.07  -1.45  -0.29   0.92  -0.73   1.37
1987   1.00   0.65   1.17   1.83  -1.26   0.42  -0.01   0.77  -3.07   0.53   1.26   0.80
1988   0.53   1.25   0.69   1.40   0.60   1.13   2.16  -0.59  -1.11   0.66   0.13   0.63
1989  -0.72  -1.06  -1.30  -0.54  -0.14  -0.63  -0.18  -0.24   0.54  -1.13  -0.72   0.87
1990  -0.34  -1.86   0.34  -0.39   0.21  -1.41   0.17   1.79  -0.50  -0.97  -1.73  -1.32
1991   0.66   1.07  -0.94   0.64  -0.81  -0.97   0.75  -0.25   1.43  -2.28   0.24   0.47
1992   1.28   0.29   0.77  -0.05   1.27   1.17   0.85  -0.34  -1.31   0.21   0.85  -1.23
1993  -0.65   0.55   1.27   1.54   2.66   0.52   0.15  -0.14  -1.12  -0.30  -0.36   0.72
1994  -0.12  -0.73   0.54  -0.47   0.45  -1.38   0.38  -1.34  -2.38  -0.23  -1.67   0.69
1995   0.66   0.73   0.33   0.29   0.01   0.74  -0.34  -0.30   1.52  -0.05  -0.75   0.92
1996  -0.02  -0.30  -0.47   0.77   0.32  -1.21   0.64  -0.90  -0.28  -0.76  -0.45  -1.23
1997   0.63   0.56  -1.30   0.55   0.78  -0.34   0.56  -0.52   0.31  -0.26   0.91   1.16
1998   0.74   0.89   1.01   1.12  -2.22  -0.02   2.24  -0.57   0.55   0.55   0.74  -0.09
