datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1989-10-01 00:00:00+00:00,12.8,A,14181500,2940.0,A
1989-10-02 00:00:00+00:00,13.0,A,14181500,2940.0,A
1989-10-03 00:00:00+00:00,13.0,A,14181500,2970.0,A
1989-10-04 00:00:00+00:00,13.0,A,14181500,2910.0,A
1989-10-05 00:00:00+00:00,13.1,A,14181500,2960.0,A
1989-10-06 00:00:00+00:00,13.3,A,14181500,2930.0,A
1989-10-07 00:00:00+00:00,13.2,A,14181500,2200.0,A
1989-10-08 00:00:00+00:00,13.3,A,14181500,2190.0,A
1989-10-09 00:00:00+00:00,13.4,A,14181500,2230.0,A
1989-10-10 00:00:00+00:00,13.5,A,14181500,2270.0,A
1989-10-11 00:00:00+00:00,13.5,A,14181500,2220.0,A
1989-10-12 00:00:00+00:00,13.6,A,14181500,2200.0,A
1989-10-13 00:00:00+00:00,13.6,A,14181500,2240.0,A
1989-10-14 00:00:00+00:00,13.8,A,14181500,2260.0,A
1989-10-15 00:00:00+00:00,13.7,A,14181500,2240.0,A
1989-10-16 00:00:00+00:00,13.7,A,14181500,2250.0,A
1989-10-17 00:00:00+00:00,13.7,A,14181500,2060.0,A
1989-10-18 00:00:00+00:00,13.8,A,14181500,2120.0,A
1989-10-19 00:00:00+00:00,13.8,A,14181500,2090.0,A
1989-10-20 00:00:00+00:00,13.7,A,14181500,2020.0,A
1989-10-21 00:00:00+00:00,13.7,A,14181500,2080.0,A
1989-10-22 00:00:00+00:00,13.7,A,14181500,2050.0,A
1989-10-23 00:00:00+00:00,13.9,A,14181500,2090.0,A
1989-10-24 00:00:00+00:00,13.6,A,14181500,2110.0,A
1989-10-25 00:00:00+00:00,13.6,A,14181500,2140.0,A
1989-10-26 00:00:00+00:00,13.5,A,14181500,2200.0,A
1989-10-27 00:00:00+00:00,13.4,A,14181500,2300.0,A
1989-10-28 00:00:00+00:00,13.1,A,14181500,2400.0,A
1989-10-29 00:00:00+00:00,13.0,A,14181500,2270.0,A
1989-10-30 00:00:00+00:00,12.9,A,14181500,2350.0,A
1989-10-31 00:00:00+00:00,12.8,A,14181500,2320.0,A
1989-11-01 00:00:00+00:00,12.8,A,14181500,2320.0,A
1989-11-02 00:00:00+00:00,12.6,A,14181500,2310.0,A
1989-11-03 00:00:00+00:00,12.4,A,14181500,2350.0,A
1989-11-04 00:00:00+00:00,12.4,A,14181500,2330.0,A
1989-11-05 00:00:00+00:00,12.1,A,14181500,2310.0,A
1989-11-06 00:00:00+00:00,12.1,A,14181500,2370.0,A
