datetime,00060_Mean,00060_Mean_cd,site_no
1994-10-01 00:00:00+00:00,527.0,A,09361500
1994-10-02 00:00:00+00:00,555.0,A,09361500
1994-10-03 00:00:00+00:00,509.0,A,09361500
1994-10-04 00:00:00+00:00,490.0,A,09361500
1994-10-05 00:00:00+00:00,540.0,A,09361500
1994-10-06 00:00:00+00:00,558.0,A,09361500
1994-10-07 00:00:00+00:00,551.0,A,09361500
1994-10-08 00:00:00+00:00,523.0,A,09361500
1994-10-09 00:00:00+00:00,503.0,A,09361500
1994-10-10 00:00:00+00:00,469.0,A,09361500
1994-10-11 00:00:00+00:00,454.0,A,09361500
1994-10-12 00:00:00+00:00,440.0,A,09361500
1994-10-13 00:00:00+00:00,417.0,A,09361500
1994-10-14 00:00:00+00:00,423.0,A,09361500
1994-10-15 00:00:00+00:00,477.0,A,09361500
1994-10-16 00:00:00+00:00,454.0,A,09361500
1994-10-17 00:00:00+00:00,465.0,A,09361500
1994-10-18 00:00:00+00:00,466.0,A,09361500
1994-10-19 00:00:00+00:00,450.0,A,09361500
1994-10-20 00:00:00+00:00,448.0,A,09361500
1994-10-21 00:00:00+00:00,440.0,A,09361500
1994-10-22 00:00:00+00:00,435.0,A,09361500
1994-10-23 00:00:00+00:00,439.0,A,09361500
1994-10-24 00:00:00+00:00,444.0,A,09361500
1994-10-25 00:00:00+00:00,443.0,A,09361500
1994-10-26 00:00:00+00:00,419.0,A,09361500
1994-10-27 00:00:00+00:00,406.0,A,09361500
1994-10-28 00:00:00+00:00,388.0,A,09361500
1994-10-29 00:00:00+00:00,377.0,A,09361500
1994-10-30 00:00:00+00:00,374.0,A,09361500
1994-10-31 00:00:00+00:00,366.0,A,09361500
1994-11-01 00:00:00+00:00,349.0,A,09361500
1994-11-02 00:00:00+00:00,350.0,A,09361500
1994-11-03 00:00:00+00:00,365.0,A,09361500
1994-11-04 00:00:00+00:00,361.0,A,09361500
1994-11-05 00:00:00+00:00,340.0,A,09361500
1994-11-06 00:00:00+00:00,347.0,A,09361500
1994-11-07 00:00:00+00:00,352.0,A,09361500
1994-11-08 00:00:00+00:00,360.0,A,09361500
1994-11-09 00:00:00+00:00,367.0,A,09361500
1994-11-10 00:00:00+00:00,353.0,A,09361500
1994-11-11 00:00:00+00:00,357.0,A,09361500
1994-11-12 00:00:00+00:00,437.0,A,09361500
1994-11-13 00:00:00+00:00,402.0,A,09361500
1994-11-14 00:00:00+00:00,376.0,A,09361500
1994-11-15 00:00:00+00:00,346.0,A,09361500
1994-11-16 00:00:00+00:00,347.0,A,09361500
1994-11-17 00:00:00+00:00,367.0,A,09361500
1994-11-18 00:00:00+00:00,362.0,A,09361500
1994-11-19 00:00:00+00:00,357.0,A,09361500
1994-11-20 00:00:00+00:00,353.0,A,09361500
1994-11-21 00:00:00+00:00,356.0,A,09361500
1994-11-22 00:00:00+00:00,355.0,A,09361500
1994-11-23 00:00:00+00:00,339.0,A,09361500
1994-11-24 00:00:00+00:00,321.0,A,09361500
1994-11-25 00:00:00+00:00,329.0,A,09361500
1994-11-26 00:00:00+00:00,333.0,A,09361500
1994-11-27 00:00:00+00:00,325.0,A,09361500
1994-11-28 00:00:00+00:00,317.0,A,09361500
1994-11-29 00:00:00+00:00,303.0,A,09361500
1994-11-30 00:00:00+00:00,288.0,A,09361500
1994-12-01 00:00:00+00:00,306.0,A,09361500
1994-12-02 00:00:00+00:00,312.0,A,09361500
1994-12-03 00:00:00+00:00,297.0,A,09361500
1994-12-04 00:00:00+00:00,304.0,A,09361500
1994-12-05 00:00:00+00:00,315.0,A,09361500
1994-12-06 00:00:00+00:00,335.0,A,09361500
1994-12-07 00:00:00+00:00,319.0,A,09361500
1994-12-08 00:00:00+00:00,312.0,A,09361500
1994-12-09 00:00:00+00:00,287.0,A,09361500
1994-12-10 00:00:00+00:00,280.0,A,09361500
1994-12-11 00:00:00+00:00,270.0,A,09361500
1994-12-12 00:00:00+00:00,275.0,A,09361500
1994-12-13 00:00:00+00:00,282.0,A,09361500
1994-12-14 00:00:00+00:00,293.0,A,09361500
1994-12-15 00:00:00+00:00,268.0,A,09361500
1994-12-16 00:00:00+00:00,259.0,A,09361500
1994-12-17 00:00:00+00:00,258.0,A,09361500
1994-12-18 00:00:00+00:00,280.0,A,09361500
1994-12-19 00:00:00+00:00,280.0,A,09361500
1994-12-20 00:00:00+00:00,276.0,A,09361500
1994-12-21 00:00:00+00:00,276.0,A,09361500
1994-12-22 00:00:00+00:00,276.0,A,09361500
1994-12-23 00:00:00+00:00,272.0,A,09361500
1994-12-24 00:00:00+00:00,278.0,A,09361500
1994-12-25 00:00:00+00:00,278.0,A,09361500
1994-12-26 00:00:00+00:00,277.0,A,09361500
1994-12-27 00:00:00+00:00,264.0,A,09361500
1994-12-28 00:00:00+00:00,249.0,A,09361500
1994-12-29 00:00:00+00:00,254.0,A,09361500
1994-12-30 00:00:00+00:00,267.0,A,09361500
1994-12-31 00:00:00+00:00,267.0,A,09361500
1995-01-01 00:00:00+00:00,232.0,A,09361500
1995-01-02 00:00:00+00:00,220.0,A,09361500
1995-01-03 00:00:00+00:00,247.0,A,09361500
1995-01-04 00:00:00+00:00,238.0,A,09361500
1995-01-05 00:00:00+00:00,254.0,A,09361500
1995-01-06 00:00:00+00:00,253.0,A,09361500
1995-01-07 00:00:00+00:00,236.0,A,09361500
1995-01-08 00:00:00+00:00,240.0,A,09361500
1995-01-09 00:00:00+00:00,245.0,A,09361500
1995-01-10 00:00:00+00:00,241.0,A,09361500
1995-01-11 00:00:00+00:00,241.0,A,09361500
1995-01-12 00:00:00+00:00,245.0,A,09361500
1995-01-13 00:00:00+00:00,236.0,A,09361500
1995-01-14 00:00:00+00:00,233.0,A,09361500
1995-01-15 00:00:00+00:00,241.0,A,09361500
1995-01-16 00:00:00+00:00,240.0,A,09361500
1995-01-17 00:00:00+00:00,226.0,A,09361500
1995-01-18 00:00:00+00:00,200.0,A,09361500
1995-01-19 00:00:00+00:00,195.0,A,09361500
1995-01-20 00:00:00+00:00,220.0,A,09361500
1995-01-21 00:00:00+00:00,237.0,A,09361500
1995-01-22 00:00:00+00:00,238.0,A,09361500
1995-01-23 00:00:00+00:00,218.0,A,09361500
1995-01-24 00:00:00+00:00,208.0,A,09361500
1995-01-25 00:00:00+00:00,235.0,A,09361500
1995-01-26 00:00:00+00:00,249.0,A,09361500
1995-01-27 00:00:00+00:00,243.0,A,09361500
1995-01-28 00:00:00+00:00,230.0,A,09361500
1995-01-29 00:00:00+00:00,218.0,A,09361500
1995-01-30 00:00:00+00:00,207.0,A,09361500
1995-01-31 00:00:00+00:00,209.0,A,09361500
1995-02-01 00:00:00+00:00,236.0,A,09361500
1995-02-02 00:00:00+00:00,237.0,A,09361500
1995-02-03 00:00:00+00:00,234.0,A,09361500
1995-02-04 00:00:00+00:00,241.0,A,09361500
1995-02-05 00:00:00+00:00,245.0,A,09361500
1995-02-06 00:00:00+00:00,255.0,A,09361500
1995-02-07 00:00:00+00:00,267.0,A,09361500
1995-02-08 00:00:00+00:00,271.0,A,09361500
1995-02-09 00:00:00+00:00,284.0,A,09361500
1995-02-10 00:00:00+00:00,286.0,A,09361500
1995-02-11 00:00:00+00:00,276.0,A,09361500
1995-02-12 00:00:00+00:00,284.0,A,09361500
1995-02-13 00:00:00+00:00,280.0,A,09361500
1995-02-14 00:00:00+00:00,302.0,A,09361500
1995-02-15 00:00:00+00:00,303.0,A,09361500
1995-02-16 00:00:00+00:00,259.0,A,09361500
1995-02-17 00:00:00+00:00,278.0,A,09361500
1995-02-18 00:00:00+00:00,289.0,A,09361500
1995-02-19 00:00:00+00:00,305.0,A,09361500
1995-02-20 00:00:00+00:00,313.0,A,09361500
1995-02-21 00:00:00+00:00,324.0,A,09361500
1995-02-22 00:00:00+00:00,381.0,A,09361500
1995-02-23 00:00:00+00:00,414.0,A,09361500
1995-02-24 00:00:00+00:00,437.0,A,09361500
1995-02-25 00:00:00+00:00,473.0,A,09361500
1995-02-26 00:00:00+00:00,489.0,A,09361500
1995-02-27 00:00:00+00:00,470.0,A,09361500
1995-02-28 00:00:00+00:00,457.0,A,09361500
1995-03-01 00:00:00+00:00,456.0,A,09361500
