datetime,00060_Mean,00060_Mean_cd,site_no
1994-10-01 00:00:00+00:00,2330.0,"A, e",12362500
1994-10-02 00:00:00+00:00,2340.0,"A, e",12362500
1994-10-03 00:00:00+00:00,2300.0,"A, e",12362500
1994-10-04 00:00:00+00:00,2280.0,"A, e",12362500
1994-10-05 00:00:00+00:00,2290.0,"A, e",12362500
1994-10-06 00:00:00+00:00,2310.0,"A, e",12362500
1994-10-07 00:00:00+00:00,2320.0,"A, e",12362500
1994-10-08 00:00:00+00:00,2340.0,"A, e",12362500
1994-10-09 00:00:00+00:00,2340.0,"A, e",12362500
1994-10-10 00:00:00+00:00,4220.0,"A, e",12362500
1994-10-11 00:00:00+00:00,4340.0,"A, e",12362500
1994-10-12 00:00:00+00:00,4350.0,"A, e",12362500
1994-10-13 00:00:00+00:00,3610.0,"A, e",12362500
1994-10-14 00:00:00+00:00,2330.0,"A, e",12362500
1994-10-15 00:00:00+00:00,2320.0,"A, e",12362500
1994-10-16 00:00:00+00:00,2340.0,"A, e",12362500
1994-10-17 00:00:00+00:00,2340.0,"A, e",12362500
1994-10-18 00:00:00+00:00,2380.0,"A, e",12362500
1994-10-19 00:00:00+00:00,2390.0,"A, e",12362500
1994-10-20 00:00:00+00:00,2430.0,"A, e",12362500
1994-10-21 00:00:00+00:00,3070.0,"A, e",12362500
1994-10-22 00:00:00+00:00,4360.0,"A, e",12362500
1994-10-23 00:00:00+00:00,4350.0,"A, e",12362500
1994-10-24 00:00:00+00:00,3710.0,"A, e",12362500
1994-10-25 00:00:00+00:00,3160.0,"A, e",12362500
1994-10-26 00:00:00+00:00,2440.0,"A, e",12362500
1994-10-27 00:00:00+00:00,2330.0,"A, e",12362500
1994-10-28 00:00:00+00:00,1770.0,"A, e",12362500
1994-10-29 00:00:00+00:00,1650.0,"A, e",12362500
1994-10-30 00:00:00+00:00,1920.0,"A, e",12362500
1994-10-31 00:00:00+00:00,2670.0,"A, e",12362500
1994-11-01 00:00:00+00:00,2260.0,"A, e",12362500
1994-11-02 00:00:00+00:00,1790.0,"A, e",12362500
1994-11-03 00:00:00+00:00,1880.0,"A, e",12362500
1994-11-04 00:00:00+00:00,1960.0,"A, e",12362500
1994-11-05 00:00:00+00:00,1960.0,"A, e",12362500
1994-11-06 00:00:00+00:00,2020.0,"A, e",12362500
1994-11-07 00:00:00+00:00,2070.0,"A, e",12362500
1994-11-08 00:00:00+00:00,2100.0,"A, e",12362500
1994-11-09 00:00:00+00:00,3350.0,"A, e",12362500
1994-11-10 00:00:00+00:00,3380.0,"A, e",12362500
1994-11-11 00:00:00+00:00,2140.0,"A, e",12362500
1994-11-12 00:00:00+00:00,2170.0,"A, e",12362500
1994-11-13 00:00:00+00:00,2160.0,"A, e",12362500
1994-11-14 00:00:00+00:00,2210.0,"A, e",12362500
1994-11-15 00:00:00+00:00,2690.0,"A, e",12362500
1994-11-16 00:00:00+00:00,7660.0,"A, e",12362500
1994-11-17 00:00:00+00:00,10800.0,"A, e",12362500
1994-11-18 00:00:00+00:00,10600.0,"A, e",12362500
1994-11-19 00:00:00+00:00,2290.0,"A, e",12362500
1994-11-20 00:00:00+00:00,2270.0,"A, e",12362500
1994-11-21 00:00:00+00:00,2390.0,"A, e",12362500
1994-11-22 00:00:00+00:00,2550.0,"A, e",12362500
1994-11-23 00:00:00+00:00,2650.0,"A, e",12362500
1994-11-24 00:00:00+00:00,2500.0,"A, e",12362500
1994-11-25 00:00:00+00:00,2320.0,"A, e",12362500
1994-11-26 00:00:00+00:00,2280.0,"A, e",12362500
1994-11-27 00:00:00+00:00,2320.0,"A, e",12362500
1994-11-28 00:00:00+00:00,2310.0,"A, e",12362500
1994-11-29 00:00:00+00:00,2330.0,"A, e",12362500
1994-11-30 00:00:00+00:00,2250.0,"A, e",12362500
1994-12-01 00:00:00+00:00,1860.0,"A, e",12362500
1994-12-02 00:00:00+00:00,1790.0,"A, e",12362500
1994-12-03 00:00:00+00:00,1940.0,"A, e",12362500
1994-12-04 00:00:00+00:00,2380.0,"A, e",12362500
1994-12-05 00:00:00+00:00,2530.0,"A, e",12362500
1994-12-06 00:00:00+00:00,2590.0,"A, e",12362500
1994-12-07 00:00:00+00:00,2500.0,"A, e",12362500
1994-12-08 00:00:00+00:00,2350.0,"A, e",12362500
1994-12-09 00:00:00+00:00,2290.0,"A, e",12362500
1994-12-10 00:00:00+00:00,2250.0,"A, e",12362500
1994-12-11 00:00:00+00:00,2350.0,"A, e",12362500
1994-12-12 00:00:00+00:00,2370.0,"A, e",12362500
1994-12-13 00:00:00+00:00,2300.0,"A, e",12362500
1994-12-14 00:00:00+00:00,2300.0,"A, e",12362500
1994-12-15 00:00:00+00:00,2320.0,"A, e",12362500
1994-12-16 00:00:00+00:00,2300.0,"A, e",12362500
1994-12-17 00:00:00+00:00,2290.0,"A, e",12362500
1994-12-18 00:00:00+00:00,2290.0,"A, e",12362500
1994-12-19 00:00:00+00:00,2210.0,"A, e",12362500
1994-12-20 00:00:00+00:00,2170.0,"A, e",12362500
1994-12-21 00:00:00+00:00,2190.0,"A, e",12362500
1994-12-22 00:00:00+00:00,2220.0,"A, e",12362500
1994-12-23 00:00:00+00:00,2240.0,"A, e",12362500
