datetime,00060_Mean,00060_Mean_cd,site_no
1995-10-01 00:00:00+00:00,639.0,A,09251000
1995-10-02 00:00:00+00:00,671.0,A,09251000
1995-10-03 00:00:00+00:00,526.0,A,09251000
1995-10-04 00:00:00+00:00,495.0,A,09251000
1995-10-05 00:00:00+00:00,513.0,A,09251000
1995-10-06 00:00:00+00:00,603.0,A,09251000
1995-10-07 00:00:00+00:00,547.0,A,09251000
1995-10-08 00:00:00+00:00,503.0,A,09251000
1995-10-09 00:00:00+00:00,503.0,A,09251000
1995-10-10 00:00:00+00:00,490.0,A,09251000
1995-10-11 00:00:00+00:00,464.0,A,09251000
1995-10-12 00:00:00+00:00,462.0,A,09251000
1995-10-13 00:00:00+00:00,465.0,A,09251000
1995-10-14 00:00:00+00:00,534.0,A,09251000
1995-10-15 00:00:00+00:00,541.0,A,09251000
1995-10-16 00:00:00+00:00,468.0,A,09251000
1995-10-17 00:00:00+00:00,450.0,A,09251000
1995-10-18 00:00:00+00:00,446.0,A,09251000
1995-10-19 00:00:00+00:00,419.0,A,09251000
1995-10-20 00:00:00+00:00,415.0,A,09251000
1995-10-21 00:00:00+00:00,436.0,A,09251000
1995-10-22 00:00:00+00:00,450.0,A,09251000
1995-10-23 00:00:00+00:00,470.0,A,09251000
1995-10-24 00:00:00+00:00,483.0,A,09251000
1995-10-25 00:00:00+00:00,433.0,A,09251000
1995-10-26 00:00:00+00:00,400.0,A,09251000
1995-10-27 00:00:00+00:00,458.0,A,09251000
1995-10-28 00:00:00+00:00,478.0,A,09251000
1995-10-29 00:00:00+00:00,455.0,A,09251000
1995-10-30 00:00:00+00:00,424.0,A,09251000
1995-10-31 00:00:00+00:00,420.0,A,09251000
1995-11-01 00:00:00+00:00,460.0,A,09251000
1995-11-02 00:00:00+00:00,572.0,A,09251000
1995-11-03 00:00:00+00:00,627.0,A,09251000
1995-11-04 00:00:00+00:00,459.0,A,09251000
1995-11-05 00:00:00+00:00,417.0,A,09251000
1995-11-06 00:00:00+00:00,426.0,A,09251000
1995-11-07 00:00:00+00:00,446.0,A,09251000
1995-11-08 00:00:00+00:00,454.0,A,09251000
