datetime,00060_Mean,00060_Mean_cd,site_no
1997-10-01 00:00:00+00:00,212.0,A,12409000
1997-10-02 00:00:00+00:00,213.0,A,12409000
1997-10-03 00:00:00+00:00,213.0,A,12409000
1997-10-04 00:00:00+00:00,218.0,A,12409000
1997-10-05 00:00:00+00:00,226.0,A,12409000
1997-10-06 00:00:00+00:00,231.0,A,12409000
1997-10-07 00:00:00+00:00,229.0,A,12409000
1997-10-08 00:00:00+00:00,224.0,A,12409000
1997-10-09 00:00:00+00:00,232.0,A,12409000
1997-10-10 00:00:00+00:00,273.0,A,12409000
1997-10-11 00:00:00+00:00,267.0,A,12409000
1997-10-12 00:00:00+00:00,249.0,A,12409000
1997-10-13 00:00:00+00:00,243.0,A,12409000
1997-10-14 00:00:00+00:00,235.0,A,12409000
1997-10-15 00:00:00+00:00,215.0,A,12409000
1997-10-16 00:00:00+00:00,242.0,A,12409000
1997-10-17 00:00:00+00:00,200.0,A,12409000
1997-10-18 00:00:00+00:00,227.0,A,12409000
1997-10-19 00:00:00+00:00,222.0,A,12409000
1997-10-20 00:00:00+00:00,220.0,A,12409000
1997-10-21 00:00:00+00:00,219.0,A,12409000
1997-10-22 00:00:00+00:00,222.0,A,12409000
1997-10-23 00:00:00+00:00,220.0,A,12409000
1997-10-24 00:00:00+00:00,214.0,A,12409000
1997-10-25 00:00:00+00:00,210.0,A,12409000
1997-10-26 00:00:00+00:00,210.0,A,12409000
1997-10-27 00:00:00+00:00,212.0,A,12409000
1997-10-28 00:00:00+00:00,215.0,A,12409000
1997-10-29 00:00:00+00:00,220.0,A,12409000
1997-10-30 00:00:00+00:00,268.0,A,12409000
1997-10-31 00:00:00+00:00,344.0,A,12409000
1997-11-01 00:00:00+00:00,304.0,A,12409000
1997-11-02 00:00:00+00:00,267.0,A,12409000
1997-11-03 00:00:00+00:00,253.0,A,12409000
1997-11-04 00:00:00+00:00,245.0,A,12409000
1997-11-05 00:00:00+00:00,238.0,A,12409000
1997-11-06 00:00:00+00:00,233.0,A,12409000
1997-11-07 00:00:00+00:00,231.0,A,12409000
1997-11-08 00:00:00+00:00,227.0,A,12409000
1997-11-09 00:00:00+00:00,223.0,A,12409000
1997-11-10 00:00:00+00:00,221.0,A,12409000
1997-11-11 00:00:00+00:00,219.0,A,12409000
1997-11-12 00:00:00+00:00,215.0,A,12409000
1997-11-13 00:00:00+00:00,212.0,A,12409000
1997-11-14 00:00:00+00:00,208.0,A,12409000
1997-11-15 00:00:00+00:00,199.0,A,12409000
1997-11-16 00:00:00+00:00,197.0,A,12409000
1997-11-17 00:00:00+00:00,211.0,A,12409000
1997-11-18 00:00:00+00:00,220.0,A,12409000
1997-11-19 00:00:00+00:00,224.0,A,12409000
1997-11-20 00:00:00+00:00,236.0,A,12409000
1997-11-21 00:00:00+00:00,264.0,A,12409000
1997-11-22 00:00:00+00:00,253.0,A,12409000
1997-11-23 00:00:00+00:00,244.0,A,12409000
1997-11-24 00:00:00+00:00,284.0,A,12409000
1997-11-25 00:00:00+00:00,344.0,A,12409000
1997-11-26 00:00:00+00:00,315.0,A,12409000
1997-11-27 00:00:00+00:00,286.0,A,12409000
1997-11-28 00:00:00+00:00,267.0,A,12409000
1997-11-29 00:00:00+00:00,258.0,A,12409000
1997-11-30 00:00:00+00:00,256.0,A,12409000
1997-12-01 00:00:00+00:00,260.0,A,12409000
1997-12-02 00:00:00+00:00,253.0,A,12409000
1997-12-03 00:00:00+00:00,238.0,A,12409000
1997-12-04 00:00:00+00:00,217.0,A,12409000
1997-12-05 00:00:00+00:00,208.0,A,12409000
1997-12-06 00:00:00+00:00,216.0,A,12409000
