datetime,00060_Mean,00060_Mean_cd,site_no
1998-10-01 00:00:00+00:00,2550.0,A,14181500
1998-10-02 00:00:00+00:00,2520.0,A,14181500
1998-10-03 00:00:00+00:00,2530.0,A,14181500
1998-10-04 00:00:00+00:00,2650.0,A,14181500
1998-10-05 00:00:00+00:00,2580.0,A,14181500
1998-10-06 00:00:00+00:00,2490.0,A,14181500
1998-10-07 00:00:00+00:00,2490.0,A,14181500
1998-10-08 00:00:00+00:00,2540.0,A,14181500
1998-10-09 00:00:00+00:00,2610.0,A,14181500
1998-10-10 00:00:00+00:00,2580.0,A,14181500
1998-10-11 00:00:00+00:00,2490.0,A,14181500
1998-10-12 00:00:00+00:00,2510.0,A,14181500
1998-10-13 00:00:00+00:00,2530.0,A,14181500
1998-10-14 00:00:00+00:00,2830.0,A,14181500
1998-10-15 00:00:00+00:00,2860.0,A,14181500
1998-10-16 00:00:00+00:00,2840.0,A,14181500
1998-10-17 00:00:00+00:00,2990.0,A,14181500
1998-10-18 00:00:00+00:00,2950.0,A,14181500
1998-10-19 00:00:00+00:00,2950.0,A,14181500
1998-10-20 00:00:00+00:00,2920.0,A,14181500
1998-10-21 00:00:00+00:00,2790.0,A,14181500
1998-10-22 00:00:00+00:00,2700.0,A,14181500
1998-10-23 00:00:00+00:00,2690.0,A,14181500
1998-10-24 00:00:00+00:00,2700.0,A,14181500
1998-10-25 00:00:00+00:00,2690.0,A,14181500
1998-10-26 00:00:00+00:00,2680.0,A,14181500
1998-10-27 00:00:00+00:00,2380.0,A,14181500
1998-10-28 00:00:00+00:00,2390.0,A,14181500
1998-10-29 00:00:00+00:00,2360.0,A,14181500
1998-10-30 00:00:00+00:00,2230.0,A,14181500
1998-10-31 00:00:00+00:00,2130.0,A,14181500
1998-11-01 00:00:00+00:00,2120.0,A,14181500
1998-11-02 00:00:00+00:00,2160.0,A,14181500
1998-11-03 00:00:00+00:00,2120.0,A,14181500
1998-11-04 00:00:00+00:00,2100.0,A,14181500
1998-11-05 00:00:00+00:00,2220.0,A,14181500
1998-11-06 00:00:00+00:00,2440.0,A,14181500
1998-11-07 00:00:00+00:00,2320.0,A,14181500
1998-11-08 00:00:00+00:00,2300.0,A,14181500
1998-11-09 00:00:00+00:00,2380.0,A,14181500
1998-11-10 00:00:00+00:00,2340.0,A,14181500
1998-11-11 00:00:00+00:00,2440.0,A,14181500
1998-11-12 00:00:00+00:00,2450.0,A,14181500
1998-11-13 00:00:00+00:00,2550.0,A,14181500
1998-11-14 00:00:00+00:00,2680.0,A,14181500
1998-11-15 00:00:00+00:00,2630.0,A,14181500
1998-11-16 00:00:00+00:00,2660.0,A,14181500
1998-11-17 00:00:00+00:00,2620.0,A,14181500
1998-11-18 00:00:00+00:00,2650.0,A,14181500
1998-11-19 00:00:00+00:00,2760.0,A,14181500
1998-11-20 00:00:00+00:00,2740.0,A,14181500
1998-11-21 00:00:00+00:00,1600.0,A,14181500
1998-11-22 00:00:00+00:00,3680.0,A,14181500
1998-11-23 00:00:00+00:00,6080.0,A,14181500
1998-11-24 00:00:00+00:00,7040.0,A,14181500
1998-11-25 00:00:00+00:00,7100.0,A,14181500
1998-11-26 00:00:00+00:00,7160.0,A,14181500
1998-11-27 00:00:00+00:00,9110.0,A,14181500
1998-11-28 00:00:00+00:00,9110.0,A,14181500
1998-11-29 00:00:00+00:00,9130.0,A,14181500
1998-11-30 00:00:00+00:00,8500.0,A,14181500
1998-12-01 00:00:00+00:00,7180.0,A,14181500
1998-12-02 00:00:00+00:00,2030.0,A,14181500
1998-12-03 00:00:00+00:00,2900.0,A,14181500
1998-12-04 00:00:00+00:00,10100.0,A,14181500
1998-12-05 00:00:00+00:00,10100.0,A,14181500
1998-12-06 00:00:00+00:00,10100.0,A,14181500
1998-12-07 00:00:00+00:00,10100.0,A,14181500
1998-12-08 00:00:00+00:00,10100.0,A,14181500
1998-12-09 00:00:00+00:00,8040.0,A,14181500
1998-12-10 00:00:00+00:00,5300.0,A,14181500
1998-12-11 00:00:00+00:00,5450.0,A,14181500
1998-12-12 00:00:00+00:00,3040.0,A,14181500
1998-12-13 00:00:00+00:00,2930.0,A,14181500
1998-12-14 00:00:00+00:00,4320.0,A,14181500
1998-12-15 00:00:00+00:00,6970.0,A,14181500
1998-12-16 00:00:00+00:00,6040.0,A,14181500
1998-12-17 00:00:00+00:00,4690.0,A,14181500
1998-12-18 00:00:00+00:00,3780.0,A,14181500
1998-12-19 00:00:00+00:00,3240.0,A,14181500
1998-12-20 00:00:00+00:00,3240.0,A,14181500
1998-12-21 00:00:00+00:00,3210.0,A,14181500
1998-12-22 00:00:00+00:00,3240.0,A,14181500
1998-12-23 00:00:00+00:00,5130.0,A,14181500
1998-12-24 00:00:00+00:00,5270.0,A,14181500
1998-12-25 00:00:00+00:00,3520.0,A,14181500
1998-12-26 00:00:00+00:00,3460.0,A,14181500
1998-12-27 00:00:00+00:00,2750.0,A,14181500
1998-12-28 00:00:00+00:00,1330.0,A,14181500
1998-12-29 00:00:00+00:00,1030.0,A,14181500
1998-12-30 00:00:00+00:00,3940.0,A,14181500
1998-12-31 00:00:00+00:00,5080.0,A,14181500
1999-01-01 00:00:00+00:00,9580.0,A,14181500
1999-01-02 00:00:00+00:00,10000.0,A,14181500
1999-01-03 00:00:00+00:00,10100.0,A,14181500
1999-01-04 00:00:00+00:00,10100.0,A,14181500
1999-01-05 00:00:00+00:00,10100.0,A,14181500
1999-01-06 00:00:00+00:00,10100.0,A,14181500
1999-01-07 00:00:00+00:00,10100.0,A,14181500
1999-01-08 00:00:00+00:00,10100.0,A,14181500
1999-01-09 00:00:00+00:00,10100.0,A,14181500
1999-01-10 00:00:00+00:00,7120.0,A,14181500
1999-01-11 00:00:00+00:00,4720.0,A,14181500
1999-01-12 00:00:00+00:00,2950.0,A,14181500
1999-01-13 00:00:00+00:00,2780.0,A,14181500
1999-01-14 00:00:00+00:00,2780.0,A,14181500
1999-01-15 00:00:00+00:00,3110.0,A,14181500
1999-01-16 00:00:00+00:00,5410.0,A,14181500
1999-01-17 00:00:00+00:00,5670.0,A,14181500
1999-01-18 00:00:00+00:00,3270.0,A,14181500
1999-01-19 00:00:00+00:00,6650.0,A,14181500
1999-01-20 00:00:00+00:00,7980.0,A,14181500
1999-01-21 00:00:00+00:00,7130.0,A,14181500
1999-01-22 00:00:00+00:00,6540.0,A,14181500
1999-01-23 00:00:00+00:00,5080.0,A,14181500
1999-01-24 00:00:00+00:00,5020.0,A,14181500
1999-01-25 00:00:00+00:00,6240.0,A,14181500
1999-01-26 00:00:00+00:00,7100.0,A,14181500
1999-01-27 00:00:00+00:00,7070.0,A,14181500
1999-01-28 00:00:00+00:00,6970.0,A,14181500
1999-01-29 00:00:00+00:00,5360.0,A,14181500
1999-01-30 00:00:00+00:00,5370.0,A,14181500
1999-01-31 00:00:00+00:00,3000.0,A,14181500
1999-02-01 00:00:00+00:00,2930.0,A,14181500
1999-02-02 00:00:00+00:00,2220.0,A,14181500
1999-02-03 00:00:00+00:00,1520.0,A,14181500
1999-02-04 00:00:00+00:00,1110.0,A,14181500
1999-02-05 00:00:00+00:00,967.0,A,14181500
1999-02-06 00:00:00+00:00,959.0,A,14181500
1999-02-07 00:00:00+00:00,1060.0,A,14181500
1999-02-08 00:00:00+00:00,967.0,A,14181500
1999-02-09 00:00:00+00:00,971.0,A,14181500
1999-02-10 00:00:00+00:00,962.0,A,14181500
1999-02-11 00:00:00+00:00,937.0,A,14181500
1999-02-12 00:00:00+00:00,957.0,A,14181500
1999-02-13 00:00:00+00:00,930.0,A,14181500
1999-02-14 00:00:00+00:00,942.0,A,14181500
1999-02-15 00:00:00+00:00,943.0,A,14181500
1999-02-16 00:00:00+00:00,967.0,A,14181500
1999-02-17 00:00:00+00:00,1000.0,A,14181500
1999-02-18 00:00:00+00:00,1040.0,A,14181500
1999-02-19 00:00:00+00:00,1010.0,A,14181500
1999-02-20 00:00:00+00:00,1010.0,A,14181500
1999-02-21 00:00:00+00:00,1010.0,A,14181500
1999-02-22 00:00:00+00:00,997.0,A,14181500
1999-02-23 00:00:00+00:00,1010.0,A,14181500
1999-02-24 00:00:00+00:00,1010.0,A,14181500
1999-02-25 00:00:00+00:00,1570.0,A,14181500
1999-02-26 00:00:00+00:00,3110.0,A,14181500
1999-02-27 00:00:00+00:00,3130.0,A,14181500
1999-02-28 00:00:00+00:00,2720.0,A,14181500
1999-03-01 00:00:00+00:00,5110.0,A,14181500
1999-03-02 00:00:00+00:00,6730.0,A,14181500
1999-03-03 00:00:00+00:00,7120.0,A,14181500
1999-03-04 00:00:00+00:00,7130.0,A,14181500
1999-03-05 00:00:00+00:00,5160.0,A,14181500
1999-03-06 00:00:00+00:00,3170.0,A,14181500
1999-03-07 00:00:00+00:00,1150.0,A,14181500
1999-03-08 00:00:00+00:00,1010.0,A,14181500
1999-03-09 00:00:00+00:00,1010.0,A,14181500
1999-03-10 00:00:00+00:00,1000.0,A,14181500
1999-03-11 00:00:00+00:00,1950.0,A,14181500
1999-03-12 00:00:00+00:00,1970.0,A,14181500
1999-03-13 00:00:00+00:00,1030.0,A,14181500
1999-03-14 00:00:00+00:00,990.0,A,14181500
1999-03-15 00:00:00+00:00,992.0,A,14181500
1999-03-16 00:00:00+00:00,1000.0,A,14181500
1999-03-17 00:00:00+00:00,978.0,A,14181500
1999-03-18 00:00:00+00:00,996.0,A,14181500
1999-03-19 00:00:00+00:00,1000.0,A,14181500
1999-03-20 00:00:00+00:00,1070.0,A,14181500
1999-03-21 00:00:00+00:00,994.0,A,14181500
1999-03-22 00:00:00+00:00,1240.0,A,14181500
1999-03-23 00:00:00+00:00,1780.0,A,14181500
1999-03-24 00:00:00+00:00,2300.0,A,14181500
1999-03-25 00:00:00+00:00,2570.0,A,14181500
1999-03-26 00:00:00+00:00,2550.0,A,14181500
1999-03-27 00:00:00+00:00,2590.0,A,14181500
1999-03-28 00:00:00+00:00,2010.0,A,14181500
1999-03-29 00:00:00+00:00,2040.0,A,14181500
1999-03-30 00:00:00+00:00,1480.0,A,14181500
1999-03-31 00:00:00+00:00,1220.0,A,14181500
1999-04-01 00:00:00+00:00,981.0,A,14181500
1999-04-02 00:00:00+00:00,988.0,A,14181500
1999-04-03 00:00:00+00:00,1000.0,A,14181500
1999-04-04 00:00:00+00:00,995.0,A,14181500
1999-04-05 00:00:00+00:00,958.0,A,14181500
1999-04-06 00:00:00+00:00,973.0,A,14181500
1999-04-07 00:00:00+00:00,1940.0,A,14181500
1999-04-08 00:00:00+00:00,1940.0,A,14181500
1999-04-09 00:00:00+00:00,1440.0,A,14181500
1999-04-10 00:00:00+00:00,984.0,A,14181500
1999-04-11 00:00:00+00:00,975.0,A,14181500
1999-04-12 00:00:00+00:00,1000.0,A,14181500
1999-04-13 00:00:00+00:00,1030.0,A,14181500
1999-04-14 00:00:00+00:00,1030.0,A,14181500
1999-04-15 00:00:00+00:00,1000.0,A,14181500
1999-04-16 00:00:00+00:00,1010.0,A,14181500
1999-04-17 00:00:00+00:00,1000.0,A,14181500
1999-04-18 00:00:00+00:00,1020.0,A,14181500
1999-04-19 00:00:00+00:00,1330.0,A,14181500
1999-04-20 00:00:00+00:00,2260.0,A,14181500
1999-04-21 00:00:00+00:00,2570.0,A,14181500
1999-04-22 00:00:00+00:00,2740.0,A,14181500
1999-04-23 00:00:00+00:00,3020.0,A,14181500
1999-04-24 00:00:00+00:00,3210.0,A,14181500
1999-04-25 00:00:00+00:00,3180.0,A,14181500
1999-04-26 00:00:00+00:00,3180.0,A,14181500
1999-04-27 00:00:00+00:00,3990.0,A,14181500
1999-04-28 00:00:00+00:00,3690.0,A,14181500
1999-04-29 00:00:00+00:00,3000.0,A,14181500
