datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1998-10-01 00:00:00+00:00,14.0,A,06054500,3970.0,A
1998-10-02 00:00:00+00:00,13.5,A,06054500,4040.0,A
1998-10-03 00:00:00+00:00,12.0,A,06054500,4240.0,A
1998-10-04 00:00:00+00:00,10.5,A,06054500,4330.0,A
1998-10-05 00:00:00+00:00,10.5,A,06054500,4280.0,A
1998-10-06 00:00:00+00:00,10.5,A,06054500,4260.0,A
1998-10-07 00:00:00+00:00,11.5,A,06054500,4290.0,A
1998-10-08 00:00:00+00:00,12.0,A,06054500,4420.0,A
1998-10-09 00:00:00+00:00,11.5,A,06054500,4540.0,A
1998-10-10 00:00:00+00:00,11.0,A,06054500,4610.0,A
1998-10-11 00:00:00+00:00,9.5,A,06054500,4650.0,A
1998-10-12 00:00:00+00:00,10.0,A,06054500,4690.0,A
1998-10-13 00:00:00+00:00,10.5,A,06054500,4610.0,A
1998-10-14 00:00:00+00:00,10.5,A,06054500,4600.0,A
1998-10-15 00:00:00+00:00,10.0,A,06054500,4620.0,A
1998-10-16 00:00:00+00:00,8.5,A,06054500,4720.0,A
1998-10-17 00:00:00+00:00,8.0,A,06054500,4700.0,A
1998-10-18 00:00:00+00:00,8.5,A,06054500,4840.0,A
1998-10-19 00:00:00+00:00,8.5,A,06054500,4860.0,A
1998-10-20 00:00:00+00:00,7.5,A,06054500,4870.0,A
1998-10-21 00:00:00+00:00,7.5,A,06054500,5000.0,A
1998-10-22 00:00:00+00:00,7.5,A,06054500,5020.0,A
1998-10-23 00:00:00+00:00,8.0,A,06054500,5080.0,A
1998-10-24 00:00:00+00:00,8.5,A,06054500,4830.0,A
1998-10-25 00:00:00+00:00,9.0,A,06054500,4740.0,A
1998-10-26 00:00:00+00:00,9.0,A,06054500,4850.0,A
1998-10-27 00:00:00+00:00,8.5,A,06054500,4660.0,A
1998-10-28 00:00:00+00:00,8.5,A,06054500,4640.0,A
1998-10-29 00:00:00+00:00,8.0,A,06054500,4700.0,A
1998-10-30 00:00:00+00:00,7.0,A,06054500,4690.0,A
1998-10-31 00:00:00+00:00,,,06054500,4920.0,A
1998-11-01 00:00:00+00:00,,,06054500,4940.0,A
1998-11-02 00:00:00+00:00,,,06054500,4940.0,A
1998-11-03 00:00:00+00:00,,,06054500,5040.0,A
1998-11-04 00:00:00+00:00,,,06054500,4980.0,A
1998-11-05 00:00:00+00:00,,,06054500,5030.0,A
1998-11-06 00:00:00+00:00,,,06054500,5020.0,A
1998-11-07 00:00:00+00:00,,,06054500,5030.0,A
1998-11-08 00:00:00+00:00,,,06054500,5090.0,A
1998-11-09 00:00:00+00:00,,,06054500,5060.0,A
1998-11-10 00:00:00+00:00,2.5,A,06054500,5030.0,A
1998-11-11 00:00:00+00:00,2.0,A,06054500,4900.0,A
1998-11-12 00:00:00+00:00,2.0,A,06054500,4880.0,A
1998-11-13 00:00:00+00:00,2.5,A,06054500,4950.0,A
1998-11-14 00:00:00+00:00,4.5,A,06054500,5070.0,A
1998-11-15 00:00:00+00:00,5.0,A,06054500,5140.0,A
1998-11-16 00:00:00+00:00,5.0,A,06054500,5170.0,A
1998-11-17 00:00:00+00:00,4.5,A,06054500,5140.0,A
1998-11-18 00:00:00+00:00,4.0,A,06054500,5190.0,A
1998-11-19 00:00:00+00:00,4.0,A,06054500,5150.0,A
1998-11-20 00:00:00+00:00,3.5,A,06054500,5160.0,A
1998-11-21 00:00:00+00:00,3.5,A,06054500,5080.0,A
1998-11-22 00:00:00+00:00,4.0,A,06054500,5070.0,A
1998-11-23 00:00:00+00:00,3.5,A,06054500,5140.0,A
1998-11-24 00:00:00+00:00,3.5,A,06054500,5440.0,A
1998-11-25 00:00:00+00:00,3.0,A,06054500,5430.0,A
1998-11-26 00:00:00+00:00,3.0,A,06054500,5350.0,A
1998-11-27 00:00:00+00:00,4.0,A,06054500,5310.0,A
1998-11-28 00:00:00+00:00,3.5,A,06054500,5250.0,A
1998-11-29 00:00:00+00:00,4.0,A,06054500,5340.0,A
1998-11-30 00:00:00+00:00,3.5,A,06054500,5330.0,A
1998-12-01 00:00:00+00:00,4.0,A,06054500,5240.0,A
1998-12-02 00:00:00+00:00,4.0,A,06054500,5190.0,A
1998-12-03 00:00:00+00:00,3.5,A,06054500,5300.0,A
1998-12-04 00:00:00+00:00,,,06054500,5370.0,A
1998-12-05 00:00:00+00:00,,,06054500,5190.0,A
1998-12-06 00:00:00+00:00,,,06054500,4410.0,A
1998-12-07 00:00:00+00:00,,,06054500,4230.0,A
1998-12-08 00:00:00+00:00,0.5,A,06054500,4000.0,A
1998-12-09 00:00:00+00:00,0.5,A,06054500,4200.0,A
1998-12-10 00:00:00+00:00,0.5,A,06054500,3890.0,A
1998-12-11 00:00:00+00:00,0.5,A,06054500,3990.0,A
1998-12-12 00:00:00+00:00,0.5,A,06054500,5150.0,A
1998-12-13 00:00:00+00:00,0.5,A,06054500,5190.0,A
1998-12-14 00:00:00+00:00,0.5,A,06054500,5210.0,A
1998-12-15 00:00:00+00:00,0.5,A,06054500,5140.0,A
1998-12-16 00:00:00+00:00,0.5,A,06054500,5120.0,A
1998-12-17 00:00:00+00:00,0.5,A,06054500,5220.0,A
1998-12-18 00:00:00+00:00,0.5,A,06054500,4690.0,A
1998-12-19 00:00:00+00:00,0.5,A,06054500,2970.0,A
1998-12-20 00:00:00+00:00,0.5,A,06054500,2220.0,A
1998-12-21 00:00:00+00:00,0.5,A,06054500,1920.0,A
1998-12-22 00:00:00+00:00,0.5,A,06054500,2150.0,A
1998-12-23 00:00:00+00:00,0.5,A,06054500,2470.0,A
1998-12-24 00:00:00+00:00,0.5,A,06054500,2590.0,A
1998-12-25 00:00:00+00:00,0.0,A,06054500,2750.0,A
1998-12-26 00:00:00+00:00,0.0,A,06054500,3690.0,A
1998-12-27 00:00:00+00:00,0.0,A,06054500,3680.0,A
1998-12-28 00:00:00+00:00,0.0,A,06054500,3790.0,A
1998-12-29 00:00:00+00:00,0.0,A,06054500,4110.0,A
1998-12-30 00:00:00+00:00,0.0,A,06054500,4510.0,A
1998-12-31 00:00:00+00:00,0.0,A,06054500,4690.0,A
1999-01-01 00:00:00+00:00,0.0,A,06054500,4830.0,A
1999-01-02 00:00:00+00:00,0.0,A,06054500,4780.0,A
1999-01-03 00:00:00+00:00,0.0,A,06054500,4630.0,A
1999-01-04 00:00:00+00:00,0.0,A,06054500,4550.0,A
1999-01-05 00:00:00+00:00,0.0,A,06054500,4750.0,A
1999-01-06 00:00:00+00:00,0.0,A,06054500,4820.0,A
1999-01-07 00:00:00+00:00,0.0,A,06054500,4770.0,A
1999-01-08 00:00:00+00:00,0.0,A,06054500,4910.0,A
1999-01-09 00:00:00+00:00,0.0,A,06054500,4950.0,A
1999-01-10 00:00:00+00:00,0.0,A,06054500,4850.0,A
1999-01-11 00:00:00+00:00,0.0,A,06054500,5040.0,A
1999-01-12 00:00:00+00:00,0.0,A,06054500,5160.0,A
1999-01-13 00:00:00+00:00,0.0,A,06054500,5170.0,A
1999-01-14 00:00:00+00:00,0.0,A,06054500,5020.0,A
1999-01-15 00:00:00+00:00,0.0,A,06054500,5180.0,A
1999-01-16 00:00:00+00:00,0.0,A,06054500,4930.0,A
