datetime,00060_Mean,00060_Mean_cd,site_no
1999-10-01 00:00:00+00:00,273.0,A,12105900
1999-10-02 00:00:00+00:00,280.0,A,12105900
1999-10-03 00:00:00+00:00,279.0,A,12105900
1999-10-04 00:00:00+00:00,276.0,A,12105900
1999-10-05 00:00:00+00:00,266.0,A,12105900
1999-10-06 00:00:00+00:00,238.0,A,12105900
1999-10-07 00:00:00+00:00,213.0,A,12105900
1999-10-08 00:00:00+00:00,244.0,A,12105900
1999-10-09 00:00:00+00:00,280.0,A,12105900
1999-10-10 00:00:00+00:00,295.0,A,12105900
1999-10-11 00:00:00+00:00,317.0,A,12105900
1999-10-12 00:00:00+00:00,358.0,A,12105900
1999-10-13 00:00:00+00:00,363.0,A,12105900
1999-10-14 00:00:00+00:00,352.0,A,12105900
1999-10-15 00:00:00+00:00,335.0,A,12105900
1999-10-16 00:00:00+00:00,324.0,A,12105900
1999-10-17 00:00:00+00:00,322.0,A,12105900
1999-10-18 00:00:00+00:00,321.0,A,12105900
1999-10-19 00:00:00+00:00,294.0,A,12105900
1999-10-20 00:00:00+00:00,271.0,A,12105900
1999-10-21 00:00:00+00:00,250.0,A,12105900
1999-10-22 00:00:00+00:00,236.0,A,12105900
1999-10-23 00:00:00+00:00,236.0,A,12105900
1999-10-24 00:00:00+00:00,236.0,A,12105900
1999-10-25 00:00:00+00:00,236.0,A,12105900
1999-10-26 00:00:00+00:00,274.0,A,12105900
1999-10-27 00:00:00+00:00,298.0,A,12105900
1999-10-28 00:00:00+00:00,297.0,A,12105900
1999-10-29 00:00:00+00:00,315.0,A,12105900
1999-10-30 00:00:00+00:00,346.0,A,12105900
1999-10-31 00:00:00+00:00,346.0,A,12105900
1999-11-01 00:00:00+00:00,378.0,A,12105900
1999-11-02 00:00:00+00:00,397.0,A,12105900
1999-11-03 00:00:00+00:00,395.0,A,12105900
1999-11-04 00:00:00+00:00,394.0,A,12105900
1999-11-05 00:00:00+00:00,392.0,A,12105900
1999-11-06 00:00:00+00:00,391.0,A,12105900
1999-11-07 00:00:00+00:00,391.0,A,12105900
1999-11-08 00:00:00+00:00,391.0,A,12105900
1999-11-09 00:00:00+00:00,409.0,A,12105900
1999-11-10 00:00:00+00:00,433.0,A,12105900
1999-11-11 00:00:00+00:00,436.0,A,12105900
1999-11-12 00:00:00+00:00,1720.0,A,12105900
1999-11-13 00:00:00+00:00,2980.0,A,12105900
1999-11-14 00:00:00+00:00,2900.0,A,12105900
1999-11-15 00:00:00+00:00,2450.0,A,12105900
1999-11-16 00:00:00+00:00,1800.0,A,12105900
1999-11-17 00:00:00+00:00,1230.0,A,12105900
1999-11-18 00:00:00+00:00,1020.0,A,12105900
1999-11-19 00:00:00+00:00,833.0,A,12105900
1999-11-20 00:00:00+00:00,713.0,A,12105900
