datetime,00060_Mean,00060_Mean_cd,site_no
1999-10-01 00:00:00+00:00,666.0,A,12451000
1999-10-02 00:00:00+00:00,643.0,A,12451000
1999-10-03 00:00:00+00:00,626.0,A,12451000
1999-10-04 00:00:00+00:00,611.0,A,12451000
1999-10-05 00:00:00+00:00,608.0,A,12451000
1999-10-06 00:00:00+00:00,608.0,A,12451000
1999-10-07 00:00:00+00:00,634.0,A,12451000
1999-10-08 00:00:00+00:00,1900.0,A,12451000
1999-10-09 00:00:00+00:00,1440.0,A,12451000
1999-10-10 00:00:00+00:00,1000.0,A,12451000
1999-10-11 00:00:00+00:00,872.0,A,12451000
1999-10-12 00:00:00+00:00,839.0,A,12451000
1999-10-13 00:00:00+00:00,1170.0,A,12451000
1999-10-14 00:00:00+00:00,1050.0,"A, e",12451000
1999-10-15 00:00:00+00:00,820.0,"A, e",12451000
1999-10-16 00:00:00+00:00,749.0,A,12451000
1999-10-17 00:00:00+00:00,719.0,A,12451000
1999-10-18 00:00:00+00:00,684.0,A,12451000
1999-10-19 00:00:00+00:00,646.0,A,12451000
1999-10-20 00:00:00+00:00,626.0,A,12451000
1999-10-21 00:00:00+00:00,610.0,A,12451000
1999-10-22 00:00:00+00:00,593.0,A,12451000
1999-10-23 00:00:00+00:00,575.0,A,12451000
1999-10-24 00:00:00+00:00,575.0,A,12451000
1999-10-25 00:00:00+00:00,560.0,A,12451000
1999-10-26 00:00:00+00:00,602.0,A,12451000
1999-10-27 00:00:00+00:00,554.0,A,12451000
1999-10-28 00:00:00+00:00,570.0,A,12451000
1999-10-29 00:00:00+00:00,596.0,A,12451000
1999-10-30 00:00:00+00:00,644.0,A,12451000
1999-10-31 00:00:00+00:00,813.0,A,12451000
1999-11-01 00:00:00+00:00,724.0,A,12451000
1999-11-02 00:00:00+00:00,665.0,A,12451000
1999-11-03 00:00:00+00:00,641.0,A,12451000
1999-11-04 00:00:00+00:00,717.0,A,12451000
1999-11-05 00:00:00+00:00,639.0,A,12451000
1999-11-06 00:00:00+00:00,647.0,A,12451000
1999-11-07 00:00:00+00:00,652.0,A,12451000
1999-11-08 00:00:00+00:00,660.0,A,12451000
1999-11-09 00:00:00+00:00,766.0,A,12451000
1999-11-10 00:00:00+00:00,883.0,A,12451000
1999-11-11 00:00:00+00:00,1130.0,A,12451000
1999-11-12 00:00:00+00:00,7360.0,A,12451000
1999-11-13 00:00:00+00:00,7380.0,A,12451000
1999-11-14 00:00:00+00:00,5890.0,A,12451000
1999-11-15 00:00:00+00:00,4160.0,A,12451000
1999-11-16 00:00:00+00:00,3150.0,A,12451000
1999-11-17 00:00:00+00:00,2570.0,A,12451000
1999-11-18 00:00:00+00:00,1950.0,A,12451000
1999-11-19 00:00:00+00:00,1720.0,A,12451000
1999-11-20 00:00:00+00:00,1540.0,A,12451000
1999-11-21 00:00:00+00:00,1390.0,A,12451000
1999-11-22 00:00:00+00:00,1190.0,A,12451000
1999-11-23 00:00:00+00:00,1080.0,A,12451000
1999-11-24 00:00:00+00:00,1030.0,A,12451000
1999-11-25 00:00:00+00:00,1150.0,A,12451000
1999-11-26 00:00:00+00:00,1080.0,A,12451000
1999-11-27 00:00:00+00:00,970.0,A,12451000
1999-11-28 00:00:00+00:00,925.0,A,12451000
