datetime,00060_Mean,00060_Mean_cd,site_no
2000-10-01 00:00:00+00:00,3230.0,A,13202000
2000-10-02 00:00:00+00:00,3170.0,A,13202000
2000-10-03 00:00:00+00:00,3140.0,A,13202000
2000-10-04 00:00:00+00:00,3050.0,A,13202000
2000-10-05 00:00:00+00:00,2710.0,A,13202000
2000-10-06 00:00:00+00:00,2600.0,A,13202000
2000-10-07 00:00:00+00:00,2550.0,A,13202000
2000-10-08 00:00:00+00:00,2530.0,A,13202000
2000-10-09 00:00:00+00:00,2520.0,A,13202000
2000-10-10 00:00:00+00:00,2510.0,A,13202000
2000-10-11 00:00:00+00:00,2450.0,A,13202000
2000-10-12 00:00:00+00:00,2120.0,A,13202000
2000-10-13 00:00:00+00:00,597.0,A,13202000
2000-10-14 00:00:00+00:00,351.0,A,13202000
2000-10-15 00:00:00+00:00,351.0,A,13202000
2000-10-16 00:00:00+00:00,320.0,A,13202000
2000-10-17 00:00:00+00:00,303.0,A,13202000
2000-10-18 00:00:00+00:00,261.0,A,13202000
2000-10-19 00:00:00+00:00,242.0,A,13202000
2000-10-20 00:00:00+00:00,242.0,A,13202000
2000-10-21 00:00:00+00:00,241.0,A,13202000
2000-10-22 00:00:00+00:00,243.0,A,13202000
2000-10-23 00:00:00+00:00,243.0,A,13202000
2000-10-24 00:00:00+00:00,242.0,A,13202000
2000-10-25 00:00:00+00:00,244.0,A,13202000
2000-10-26 00:00:00+00:00,242.0,A,13202000
2000-10-27 00:00:00+00:00,242.0,A,13202000
2000-10-28 00:00:00+00:00,244.0,A,13202000
2000-10-29 00:00:00+00:00,242.0,A,13202000
2000-10-30 00:00:00+00:00,244.0,A,13202000
2000-10-31 00:00:00+00:00,243.0,A,13202000
2000-11-01 00:00:00+00:00,244.0,A,13202000
2000-11-02 00:00:00+00:00,244.0,A,13202000
2000-11-03 00:00:00+00:00,244.0,A,13202000
2000-11-04 00:00:00+00:00,243.0,A,13202000
2000-11-05 00:00:00+00:00,243.0,A,13202000
2000-11-06 00:00:00+00:00,243.0,A,13202000
2000-11-07 00:00:00+00:00,228.0,A,13202000
2000-11-08 00:00:00+00:00,241.0,A,13202000
2000-11-09 00:00:00+00:00,244.0,A,13202000
2000-11-10 00:00:00+00:00,243.0,A,13202000
2000-11-11 00:00:00+00:00,244.0,A,13202000
