datetime,00060_Mean,00060_Mean_cd,site_no,00095_2_Mean,00095_2_Mean_cd
2000-10-01 00:00:00+00:00,147.0,A,07099400,485.0,A
2000-10-02 00:00:00+00:00,136.0,A,07099400,489.0,A
2000-10-03 00:00:00+00:00,128.0,A,07099400,491.0,A
2000-10-04 00:00:00+00:00,117.0,A,07099400,494.0,A
2000-10-05 00:00:00+00:00,97.0,A,07099400,502.0,A
2000-10-06 00:00:00+00:00,112.0,A,07099400,484.0,A
2000-10-07 00:00:00+00:00,126.0,A,07099400,477.0,A
2000-10-08 00:00:00+00:00,151.0,A,07099400,471.0,A
2000-10-09 00:00:00+00:00,200.0,A,07099400,477.0,A
2000-10-10 00:00:00+00:00,205.0,A,07099400,483.0,A
2000-10-11 00:00:00+00:00,188.0,A,07099400,486.0,A
2000-10-12 00:00:00+00:00,187.0,A,07099400,486.0,A
2000-10-13 00:00:00+00:00,143.0,A,07099400,502.0,A
2000-10-14 00:00:00+00:00,126.0,A,07099400,497.0,A
2000-10-15 00:00:00+00:00,132.0,A,07099400,492.0,A
2000-10-16 00:00:00+00:00,132.0,A,07099400,489.0,A
2000-10-17 00:00:00+00:00,133.0,A,07099400,487.0,A
2000-10-18 00:00:00+00:00,133.0,A,07099400,488.0,A
2000-10-19 00:00:00+00:00,133.0,A,07099400,494.0,A
2000-10-20 00:00:00+00:00,147.0,A,07099400,494.0,A
2000-10-21 00:00:00+00:00,171.0,A,07099400,492.0,A
2000-10-22 00:00:00+00:00,180.0,A,07099400,487.0,A
2000-10-23 00:00:00+00:00,168.0,A,07099400,484.0,A
2000-10-24 00:00:00+00:00,172.0,A,07099400,483.0,A
2000-10-25 00:00:00+00:00,213.0,A,07099400,479.0,A
2000-10-26 00:00:00+00:00,222.0,A,07099400,480.0,A
2000-10-27 00:00:00+00:00,222.0,A,07099400,481.0,A
2000-10-28 00:00:00+00:00,223.0,A,07099400,488.0,A
2000-10-29 00:00:00+00:00,284.0,A,07099400,490.0,A
2000-10-30 00:00:00+00:00,316.0,A,07099400,498.0,A
2000-10-31 00:00:00+00:00,315.0,A,07099400,493.0,A
2000-11-01 00:00:00+00:00,264.0,A,07099400,487.0,A
2000-11-02 00:00:00+00:00,222.0,A,07099400,489.0,A
2000-11-03 00:00:00+00:00,281.0,A,07099400,485.0,A
2000-11-04 00:00:00+00:00,387.0,A,07099400,488.0,A
2000-11-05 00:00:00+00:00,398.0,A,07099400,494.0,A
2000-11-06 00:00:00+00:00,358.0,A,07099400,499.0,A
2000-11-07 00:00:00+00:00,249.0,A,07099400,501.0,A
2000-11-08 00:00:00+00:00,199.0,A,07099400,499.0,A
2000-11-09 00:00:00+00:00,199.0,A,07099400,499.0,A
2000-11-10 00:00:00+00:00,200.0,A,07099400,499.0,A
2000-11-11 00:00:00+00:00,240.0,A,07099400,498.0,A
