datetime,00060_Mean,00060_Mean_cd,site_no
2001-10-01 00:00:00+00:00,16.0,A,11266500
2001-10-02 00:00:00+00:00,15.0,A,11266500
2001-10-03 00:00:00+00:00,15.0,A,11266500
2001-10-04 00:00:00+00:00,14.9,A,11266500
2001-10-05 00:00:00+00:00,14.6,A,11266500
2001-10-06 00:00:00+00:00,14.7,A,11266500
2001-10-07 00:00:00+00:00,15.0,A,11266500
2001-10-08 00:00:00+00:00,14.6,A,11266500
2001-10-09 00:00:00+00:00,14.0,A,11266500
2001-10-10 00:00:00+00:00,14.0,A,11266500
2001-10-11 00:00:00+00:00,14.0,A,11266500
2001-10-12 00:00:00+00:00,14.0,A,11266500
2001-10-13 00:00:00+00:00,14.0,A,11266500
2001-10-14 00:00:00+00:00,14.0,A,11266500
2001-10-15 00:00:00+00:00,14.0,A,11266500
2001-10-16 00:00:00+00:00,13.6,A,11266500
2001-10-17 00:00:00+00:00,13.8,A,11266500
2001-10-18 00:00:00+00:00,13.2,A,11266500
2001-10-19 00:00:00+00:00,13.4,A,11266500
2001-10-20 00:00:00+00:00,13.0,A,11266500
2001-10-21 00:00:00+00:00,13.0,A,11266500
2001-10-22 00:00:00+00:00,13.0,A,11266500
2001-10-23 00:00:00+00:00,13.0,A,11266500
2001-10-24 00:00:00+00:00,13.0,A,11266500
2001-10-25 00:00:00+00:00,13.0,A,11266500
2001-10-26 00:00:00+00:00,13.0,A,11266500
2001-10-27 00:00:00+00:00,13.0,A,11266500
2001-10-28 00:00:00+00:00,12.5,A,11266500
2001-10-29 00:00:00+00:00,13.0,A,11266500
2001-10-30 00:00:00+00:00,15.6,A,11266500
2001-10-31 00:00:00+00:00,19.1,A,11266500
2001-11-01 00:00:00+00:00,24.1,A,11266500
2001-11-02 00:00:00+00:00,22.0,A,11266500
2001-11-03 00:00:00+00:00,22.0,A,11266500
2001-11-04 00:00:00+00:00,21.1,A,11266500
2001-11-05 00:00:00+00:00,20.2,A,11266500
2001-11-06 00:00:00+00:00,20.0,A,11266500
2001-11-07 00:00:00+00:00,20.0,A,11266500
2001-11-08 00:00:00+00:00,19.1,A,11266500
2001-11-09 00:00:00+00:00,19.0,A,11266500
2001-11-10 00:00:00+00:00,19.0,A,11266500
2001-11-11 00:00:00+00:00,19.9,A,11266500
2001-11-12 00:00:00+00:00,23.4,A,11266500
2001-11-13 00:00:00+00:00,30.6,A,11266500
2001-11-14 00:00:00+00:00,40.0,"A, e",11266500
2001-11-15 00:00:00+00:00,46.0,"A, e",11266500
2001-11-16 00:00:00+00:00,49.0,"A, e",11266500
2001-11-17 00:00:00+00:00,48.0,"A, e",11266500
2001-11-18 00:00:00+00:00,43.0,"A, e",11266500
2001-11-19 00:00:00+00:00,38.0,"A, e",11266500
2001-11-20 00:00:00+00:00,35.3,A,11266500
2001-11-21 00:00:00+00:00,36.3,A,11266500
2001-11-22 00:00:00+00:00,244.0,A,11266500
2001-11-23 00:00:00+00:00,190.0,A,11266500
2001-11-24 00:00:00+00:00,443.0,A,11266500
2001-11-25 00:00:00+00:00,350.0,A,11266500
2001-11-26 00:00:00+00:00,216.0,A,11266500
2001-11-27 00:00:00+00:00,165.0,A,11266500
2001-11-28 00:00:00+00:00,156.0,A,11266500
2001-11-29 00:00:00+00:00,161.0,A,11266500
2001-11-30 00:00:00+00:00,149.0,A,11266500
2001-12-01 00:00:00+00:00,156.0,A,11266500
2001-12-02 00:00:00+00:00,201.0,A,11266500
2001-12-03 00:00:00+00:00,198.0,A,11266500
2001-12-04 00:00:00+00:00,184.0,A,11266500
2001-12-05 00:00:00+00:00,196.0,A,11266500
2001-12-06 00:00:00+00:00,194.0,A,11266500
2001-12-07 00:00:00+00:00,191.0,A,11266500
2001-12-08 00:00:00+00:00,191.0,A,11266500
2001-12-09 00:00:00+00:00,190.0,A,11266500
2001-12-10 00:00:00+00:00,174.0,A,11266500
2001-12-11 00:00:00+00:00,153.0,A,11266500
2001-12-12 00:00:00+00:00,156.0,A,11266500
2001-12-13 00:00:00+00:00,154.0,A,11266500
2001-12-14 00:00:00+00:00,163.0,A,11266500
2001-12-15 00:00:00+00:00,141.0,A,11266500
2001-12-16 00:00:00+00:00,156.0,A,11266500
2001-12-17 00:00:00+00:00,158.0,A,11266500
2001-12-18 00:00:00+00:00,144.0,A,11266500
2001-12-19 00:00:00+00:00,147.0,A,11266500
2001-12-20 00:00:00+00:00,156.0,A,11266500
2001-12-21 00:00:00+00:00,151.0,A,11266500
2001-12-22 00:00:00+00:00,159.0,A,11266500
2001-12-23 00:00:00+00:00,161.0,A,11266500
2001-12-24 00:00:00+00:00,144.0,A,11266500
2001-12-25 00:00:00+00:00,150.0,A,11266500
2001-12-26 00:00:00+00:00,157.0,A,11266500
2001-12-27 00:00:00+00:00,161.0,A,11266500
2001-12-28 00:00:00+00:00,176.0,A,11266500
2001-12-29 00:00:00+00:00,326.0,A,11266500
2001-12-30 00:00:00+00:00,369.0,A,11266500
2001-12-31 00:00:00+00:00,387.0,A,11266500
2002-01-01 00:00:00+00:00,346.0,A,11266500
2002-01-02 00:00:00+00:00,322.0,A,11266500
2002-01-03 00:00:00+00:00,339.0,A,11266500
2002-01-04 00:00:00+00:00,297.0,A,11266500
2002-01-05 00:00:00+00:00,276.0,A,11266500
2002-01-06 00:00:00+00:00,273.0,A,11266500
2002-01-07 00:00:00+00:00,296.0,A,11266500
2002-01-08 00:00:00+00:00,283.0,A,11266500
2002-01-09 00:00:00+00:00,265.0,A,11266500
2002-01-10 00:00:00+00:00,249.0,A,11266500
2002-01-11 00:00:00+00:00,244.0,A,11266500
2002-01-12 00:00:00+00:00,250.0,A,11266500
2002-01-13 00:00:00+00:00,250.0,A,11266500
2002-01-14 00:00:00+00:00,250.0,A,11266500
2002-01-15 00:00:00+00:00,241.0,A,11266500
2002-01-16 00:00:00+00:00,237.0,A,11266500
2002-01-17 00:00:00+00:00,251.0,A,11266500
2002-01-18 00:00:00+00:00,222.0,A,11266500
2002-01-19 00:00:00+00:00,219.0,A,11266500
2002-01-20 00:00:00+00:00,198.0,A,11266500
2002-01-21 00:00:00+00:00,196.0,A,11266500
2002-01-22 00:00:00+00:00,186.0,A,11266500
2002-01-23 00:00:00+00:00,154.0,A,11266500
2002-01-24 00:00:00+00:00,168.0,A,11266500
2002-01-25 00:00:00+00:00,165.0,A,11266500
2002-01-26 00:00:00+00:00,168.0,A,11266500
2002-01-27 00:00:00+00:00,171.0,A,11266500
2002-01-28 00:00:00+00:00,154.0,A,11266500
2002-01-29 00:00:00+00:00,144.0,A,11266500
2002-01-30 00:00:00+00:00,128.0,A,11266500
2002-01-31 00:00:00+00:00,141.0,A,11266500
2002-02-01 00:00:00+00:00,144.0,A,11266500
2002-02-02 00:00:00+00:00,137.0,A,11266500
2002-02-03 00:00:00+00:00,136.0,A,11266500
2002-02-04 00:00:00+00:00,133.0,A,11266500
2002-02-05 00:00:00+00:00,136.0,A,11266500
2002-02-06 00:00:00+00:00,138.0,A,11266500
2002-02-07 00:00:00+00:00,143.0,A,11266500
2002-02-08 00:00:00+00:00,166.0,A,11266500
2002-02-09 00:00:00+00:00,160.0,A,11266500
2002-02-10 00:00:00+00:00,162.0,A,11266500
2002-02-11 00:00:00+00:00,177.0,A,11266500
2002-02-12 00:00:00+00:00,196.0,A,11266500
2002-02-13 00:00:00+00:00,218.0,A,11266500
2002-02-14 00:00:00+00:00,219.0,A,11266500
2002-02-15 00:00:00+00:00,222.0,A,11266500
2002-02-16 00:00:00+00:00,217.0,A,11266500
2002-02-17 00:00:00+00:00,232.0,A,11266500
2002-02-18 00:00:00+00:00,209.0,A,11266500
2002-02-19 00:00:00+00:00,224.0,A,11266500
2002-02-20 00:00:00+00:00,258.0,A,11266500
2002-02-21 00:00:00+00:00,284.0,A,11266500
