datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd
2001-10-01 00:00:00+00:00,63.1,A,09406000,7.68,A
2001-10-02 00:00:00+00:00,62.0,A,09406000,7.67,A
2001-10-03 00:00:00+00:00,61.8,A,09406000,7.67,A
2001-10-04 00:00:00+00:00,60.8,A,09406000,7.66,A
2001-10-05 00:00:00+00:00,62.9,A,09406000,7.68,A
2001-10-06 00:00:00+00:00,68.6,A,09406000,7.73,A
2001-10-07 00:00:00+00:00,74.8,A,09406000,7.78,A
2001-10-08 00:00:00+00:00,77.7,A,09406000,7.8,A
2001-10-09 00:00:00+00:00,73.9,A,09406000,7.77,A
2001-10-10 00:00:00+00:00,70.8,A,09406000,7.75,A
2001-10-11 00:00:00+00:00,73.1,A,09406000,7.77,A
2001-10-12 00:00:00+00:00,77.5,A,09406000,7.8,A
2001-10-13 00:00:00+00:00,76.3,A,09406000,7.79,A
2001-10-14 00:00:00+00:00,77.2,A,09406000,7.8,A
2001-10-15 00:00:00+00:00,76.3,A,09406000,7.79,A
2001-10-16 00:00:00+00:00,75.0,A,09406000,7.78,A
2001-10-17 00:00:00+00:00,75.5,A,09406000,7.78,A
2001-10-18 00:00:00+00:00,74.2,A,09406000,7.77,A
2001-10-19 00:00:00+00:00,73.0,A,09406000,7.76,A
2001-10-20 00:00:00+00:00,75.1,A,09406000,7.78,A
2001-10-21 00:00:00+00:00,77.7,A,09406000,7.8,A
2001-10-22 00:00:00+00:00,78.4,A,09406000,7.81,A
2001-10-23 00:00:00+00:00,77.1,A,09406000,7.8,A
2001-10-24 00:00:00+00:00,76.1,A,09406000,7.79,A
2001-10-25 00:00:00+00:00,78.6,A,09406000,7.81,A
2001-10-26 00:00:00+00:00,79.8,A,09406000,7.82,A
2001-10-27 00:00:00+00:00,79.4,A,09406000,7.81,A
2001-10-28 00:00:00+00:00,82.2,A,09406000,7.83,A
2001-10-29 00:00:00+00:00,83.1,A,09406000,7.84,A
2001-10-30 00:00:00+00:00,84.1,A,09406000,7.85,A
2001-10-31 00:00:00+00:00,83.0,A,09406000,7.84,A
2001-11-01 00:00:00+00:00,85.2,A,09406000,7.85,A
2001-11-02 00:00:00+00:00,87.8,A,09406000,7.87,A
2001-11-03 00:00:00+00:00,86.8,A,09406000,7.87,A
2001-11-04 00:00:00+00:00,91.2,A,09406000,7.9,A
2001-11-05 00:00:00+00:00,91.8,A,09406000,7.9,A
2001-11-06 00:00:00+00:00,89.2,A,09406000,7.88,A
2001-11-07 00:00:00+00:00,88.4,A,09406000,7.88,A
2001-11-08 00:00:00+00:00,91.5,A,09406000,7.9,A
2001-11-09 00:00:00+00:00,93.4,A,09406000,7.91,A
2001-11-10 00:00:00+00:00,92.1,A,09406000,7.9,A
2001-11-11 00:00:00+00:00,95.4,A,09406000,7.92,A
2001-11-12 00:00:00+00:00,95.3,A,09406000,7.92,A
2001-11-13 00:00:00+00:00,98.0,A,09406000,7.94,A
2001-11-14 00:00:00+00:00,99.6,A,09406000,7.95,A
2001-11-15 00:00:00+00:00,97.3,A,09406000,7.94,A
2001-11-16 00:00:00+00:00,96.9,A,09406000,7.93,A
2001-11-17 00:00:00+00:00,97.2,A,09406000,7.94,A
2001-11-18 00:00:00+00:00,100.0,A,09406000,7.95,A
2001-11-19 00:00:00+00:00,96.6,A,09406000,7.93,A
2001-11-20 00:00:00+00:00,97.4,A,09406000,7.94,A
2001-11-21 00:00:00+00:00,101.0,A,09406000,7.96,A
2001-11-22 00:00:00+00:00,104.0,A,09406000,7.98,A
2001-11-23 00:00:00+00:00,105.0,A,09406000,7.99,A
2001-11-24 00:00:00+00:00,106.0,A,09406000,7.99,A
2001-11-25 00:00:00+00:00,126.0,A,09406000,8.1,A
2001-11-26 00:00:00+00:00,110.0,A,09406000,8.01,A
2001-11-27 00:00:00+00:00,105.0,A,09406000,7.98,A
2001-11-28 00:00:00+00:00,103.0,A,09406000,7.97,A
2001-11-29 00:00:00+00:00,110.0,A,09406000,8.01,A
2001-11-30 00:00:00+00:00,115.0,A,09406000,8.04,A
2001-12-01 00:00:00+00:00,112.0,A,09406000,8.03,A
2001-12-02 00:00:00+00:00,117.0,A,09406000,8.05,A
2001-12-03 00:00:00+00:00,117.0,A,09406000,8.06,A
