datetime,00060_Mean,00060_Mean_cd,site_no,00095_Mean,00095_Mean_cd
2001-10-01 00:00:00+00:00,83.6,A,09251000,547.0,A
2001-10-02 00:00:00+00:00,85.2,A,09251000,561.0,A
2001-10-03 00:00:00+00:00,71.2,A,09251000,566.0,A
2001-10-04 00:00:00+00:00,73.9,A,09251000,581.0,A
2001-10-05 00:00:00+00:00,81.6,A,09251000,586.0,A
2001-10-06 00:00:00+00:00,85.4,A,09251000,571.0,A
2001-10-07 00:00:00+00:00,88.9,A,09251000,571.0,A
2001-10-08 00:00:00+00:00,85.5,A,09251000,577.0,A
2001-10-09 00:00:00+00:00,112.0,A,09251000,566.0,A
2001-10-10 00:00:00+00:00,127.0,A,09251000,557.0,A
2001-10-11 00:00:00+00:00,157.0,A,09251000,560.0,A
2001-10-12 00:00:00+00:00,207.0,A,09251000,546.0,A
2001-10-13 00:00:00+00:00,197.0,A,09251000,570.0,A
2001-10-14 00:00:00+00:00,175.0,A,09251000,567.0,A
2001-10-15 00:00:00+00:00,193.0,A,09251000,547.0,A
2001-10-16 00:00:00+00:00,203.0,A,09251000,555.0,A
2001-10-17 00:00:00+00:00,179.0,A,09251000,559.0,A
2001-10-18 00:00:00+00:00,172.0,A,09251000,550.0,A
2001-10-19 00:00:00+00:00,160.0,A,09251000,558.0,A
2001-10-20 00:00:00+00:00,168.0,A,09251000,576.0,A
2001-10-21 00:00:00+00:00,184.0,A,09251000,593.0,A
2001-10-22 00:00:00+00:00,202.0,A,09251000,586.0,A
2001-10-23 00:00:00+00:00,218.0,A,09251000,576.0,A
2001-10-24 00:00:00+00:00,208.0,A,09251000,567.0,A
2001-10-25 00:00:00+00:00,209.0,A,09251000,562.0,A
2001-10-26 00:00:00+00:00,222.0,A,09251000,563.0,A
2001-10-27 00:00:00+00:00,210.0,A,09251000,590.0,A
2001-10-28 00:00:00+00:00,183.0,A,09251000,558.0,A
2001-10-29 00:00:00+00:00,184.0,A,09251000,544.0,A
2001-10-30 00:00:00+00:00,206.0,A,09251000,547.0,A
2001-10-31 00:00:00+00:00,201.0,A,09251000,573.0,A
2001-11-01 00:00:00+00:00,205.0,"A, e",09251000,,
2001-11-02 00:00:00+00:00,208.0,"A, e",09251000,,
2001-11-03 00:00:00+00:00,194.0,"A, e",09251000,,
2001-11-04 00:00:00+00:00,186.0,"A, e",09251000,,
2001-11-05 00:00:00+00:00,180.0,"A, e",09251000,,
2001-11-06 00:00:00+00:00,172.0,"A, e",09251000,,
2001-11-07 00:00:00+00:00,180.0,"A, e",09251000,,
2001-11-08 00:00:00+00:00,192.0,"A, e",09251000,,
2001-11-09 00:00:00+00:00,217.0,"A, e",09251000,,
2001-11-10 00:00:00+00:00,248.0,A,09251000,512.0,A
2001-11-11 00:00:00+00:00,253.0,A,09251000,523.0,A
2001-11-12 00:00:00+00:00,227.0,A,09251000,532.0,A
2001-11-13 00:00:00+00:00,222.0,A,09251000,524.0,A
2001-11-14 00:00:00+00:00,224.0,A,09251000,512.0,A
2001-11-15 00:00:00+00:00,218.0,A,09251000,521.0,A
2001-11-16 00:00:00+00:00,234.0,A,09251000,524.0,A
2001-11-17 00:00:00+00:00,240.0,A,09251000,521.0,A
2001-11-18 00:00:00+00:00,221.0,A,09251000,522.0,A
2001-11-19 00:00:00+00:00,231.0,A,09251000,521.0,A
2001-11-20 00:00:00+00:00,225.0,A,09251000,530.0,A
2001-11-21 00:00:00+00:00,228.0,A,09251000,535.0,A
2001-11-22 00:00:00+00:00,201.0,A,09251000,539.0,A
2001-11-23 00:00:00+00:00,212.0,A,09251000,541.0,A
2001-11-24 00:00:00+00:00,276.0,A,09251000,545.0,A
2001-11-25 00:00:00+00:00,303.0,A,09251000,554.0,A
2001-11-26 00:00:00+00:00,302.0,A,09251000,559.0,A
2001-11-27 00:00:00+00:00,236.0,A,09251000,542.0,A
2001-11-28 00:00:00+00:00,145.0,A,09251000,574.0,A
2001-11-29 00:00:00+00:00,163.0,A,09251000,596.0,A
2001-11-30 00:00:00+00:00,218.0,A,09251000,573.0,A
2001-12-01 00:00:00+00:00,211.0,A,09251000,573.0,A
2001-12-02 00:00:00+00:00,270.0,A,09251000,601.0,A
2001-12-03 00:00:00+00:00,314.0,A,09251000,572.0,A
2001-12-04 00:00:00+00:00,294.0,A,09251000,,
2001-12-05 00:00:00+00:00,290.0,A,09251000,,
2001-12-06 00:00:00+00:00,292.0,A,09251000,,
2001-12-07 00:00:00+00:00,312.0,A,09251000,,
2001-12-08 00:00:00+00:00,205.0,A,09251000,,
2001-12-09 00:00:00+00:00,199.0,A,09251000,574.0,A
2001-12-10 00:00:00+00:00,194.0,A,09251000,572.0,A
2001-12-11 00:00:00+00:00,179.0,A,09251000,591.0,A
2001-12-12 00:00:00+00:00,190.0,A,09251000,623.0,A
2001-12-13 00:00:00+00:00,198.0,A,09251000,642.0,A
2001-12-14 00:00:00+00:00,194.0,A,09251000,656.0,A
2001-12-15 00:00:00+00:00,195.0,A,09251000,650.0,A
2001-12-16 00:00:00+00:00,211.0,A,09251000,656.0,A
2001-12-17 00:00:00+00:00,224.0,A,09251000,661.0,A
2001-12-18 00:00:00+00:00,231.0,A,09251000,657.0,A
2001-12-19 00:00:00+00:00,222.0,A,09251000,648.0,A
2001-12-20 00:00:00+00:00,221.0,A,09251000,636.0,A
2001-12-21 00:00:00+00:00,231.0,A,09251000,621.0,A
2001-12-22 00:00:00+00:00,230.0,A,09251000,615.0,A
2001-12-23 00:00:00+00:00,227.0,A,09251000,611.0,A
2001-12-24 00:00:00+00:00,229.0,A,09251000,622.0,A
2001-12-25 00:00:00+00:00,210.0,A,09251000,637.0,A
2001-12-26 00:00:00+00:00,211.0,A,09251000,656.0,A
2001-12-27 00:00:00+00:00,214.0,A,09251000,666.0,A
2001-12-28 00:00:00+00:00,220.0,A,09251000,667.0,A
2001-12-29 00:00:00+00:00,216.0,A,09251000,663.0,A
2001-12-30 00:00:00+00:00,215.0,A,09251000,660.0,A
2001-12-31 00:00:00+00:00,207.0,A,09251000,650.0,A
2002-01-01 00:00:00+00:00,227.0,A,09251000,627.0,A
2002-01-02 00:00:00+00:00,215.0,A,09251000,619.0,A
2002-01-03 00:00:00+00:00,235.0,A,09251000,610.0,A
2002-01-04 00:00:00+00:00,222.0,A,09251000,599.0,A
2002-01-05 00:00:00+00:00,231.0,A,09251000,593.0,A
2002-01-06 00:00:00+00:00,231.0,A,09251000,592.0,A
2002-01-07 00:00:00+00:00,236.0,A,09251000,587.0,A
2002-01-08 00:00:00+00:00,230.0,A,09251000,586.0,A
2002-01-09 00:00:00+00:00,220.0,A,09251000,581.0,A
2002-01-10 00:00:00+00:00,229.0,A,09251000,575.0,A
2002-01-11 00:00:00+00:00,230.0,A,09251000,578.0,A
2002-01-12 00:00:00+00:00,215.0,A,09251000,585.0,A
2002-01-13 00:00:00+00:00,220.0,A,09251000,591.0,A
2002-01-14 00:00:00+00:00,209.0,A,09251000,609.0,A
2002-01-15 00:00:00+00:00,210.0,A,09251000,607.0,A
2002-01-16 00:00:00+00:00,215.0,A,09251000,615.0,A
2002-01-17 00:00:00+00:00,215.0,A,09251000,630.0,A
2002-01-18 00:00:00+00:00,209.0,A,09251000,633.0,A
2002-01-19 00:00:00+00:00,223.0,A,09251000,623.0,A
2002-01-20 00:00:00+00:00,221.0,A,09251000,627.0,A
2002-01-21 00:00:00+00:00,214.0,A,09251000,618.0,A
2002-01-22 00:00:00+00:00,211.0,A,09251000,610.0,A
2002-01-23 00:00:00+00:00,229.0,A,09251000,602.0,A
2002-01-24 00:00:00+00:00,231.0,A,09251000,599.0,A
2002-01-25 00:00:00+00:00,229.0,A,09251000,592.0,A
2002-01-26 00:00:00+00:00,214.0,A,09251000,593.0,A
2002-01-27 00:00:00+00:00,219.0,A,09251000,595.0,A
2002-01-28 00:00:00+00:00,220.0,A,09251000,598.0,A
2002-01-29 00:00:00+00:00,235.0,A,09251000,592.0,A
2002-01-30 00:00:00+00:00,232.0,A,09251000,591.0,A
2002-01-31 00:00:00+00:00,237.0,A,09251000,589.0,A
2002-02-01 00:00:00+00:00,232.0,A,09251000,589.0,A
2002-02-02 00:00:00+00:00,205.0,A,09251000,595.0,A
2002-02-03 00:00:00+00:00,206.0,A,09251000,599.0,A
