datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd
2002-10-01 00:00:00+00:00,90.0,A,12409000,5.57,A
2002-10-02 00:00:00+00:00,91.0,A,12409000,5.57,A
2002-10-03 00:00:00+00:00,91.0,A,12409000,5.57,A
2002-10-04 00:00:00+00:00,91.0,A,12409000,5.57,A
2002-10-05 00:00:00+00:00,91.0,A,12409000,5.57,A
2002-10-06 00:00:00+00:00,91.0,A,12409000,5.57,A
2002-10-07 00:00:00+00:00,88.0,A,12409000,5.56,A
2002-10-08 00:00:00+00:00,87.0,A,12409000,5.55,A
2002-10-09 00:00:00+00:00,87.0,A,12409000,5.55,A
2002-10-10 00:00:00+00:00,87.0,A,12409000,5.55,A
2002-10-11 00:00:00+00:00,87.0,A,12409000,5.55,A
2002-10-12 00:00:00+00:00,87.0,A,12409000,5.55,A
2002-10-13 00:00:00+00:00,87.0,A,12409000,5.55,A
2002-10-14 00:00:00+00:00,91.0,A,12409000,5.58,A
2002-10-15 00:00:00+00:00,94.0,A,12409000,5.6,A
2002-10-16 00:00:00+00:00,93.0,A,12409000,5.59,A
2002-10-17 00:00:00+00:00,93.0,A,12409000,5.59,A
2002-10-18 00:00:00+00:00,92.0,A,12409000,5.58,A
2002-10-19 00:00:00+00:00,96.0,A,12409000,5.6,A
2002-10-20 00:00:00+00:00,91.0,A,12409000,5.57,A
2002-10-21 00:00:00+00:00,95.0,A,12409000,5.6,A
2002-10-22 00:00:00+00:00,95.0,A,12409000,5.6,A
2002-10-23 00:00:00+00:00,94.0,A,12409000,5.6,A
2002-10-24 00:00:00+00:00,90.0,A,12409000,5.57,A
2002-10-25 00:00:00+00:00,92.0,A,12409000,5.58,A
2002-10-26 00:00:00+00:00,93.0,A,12409000,5.59,A
2002-10-27 00:00:00+00:00,93.0,A,12409000,5.59,A
2002-10-28 00:00:00+00:00,102.0,A,12409000,5.63,A
2002-10-29 00:00:00+00:00,106.0,A,12409000,5.65,A
2002-10-30 00:00:00+00:00,97.0,A,12409000,5.61,A
2002-10-31 00:00:00+00:00,84.0,A,12409000,5.54,A
2002-11-01 00:00:00+00:00,65.0,"A, e",12409000,5.43,A
2002-11-02 00:00:00+00:00,68.0,"A, e",12409000,5.53,A
2002-11-03 00:00:00+00:00,70.0,"A, e",12409000,5.55,A
2002-11-04 00:00:00+00:00,73.0,"A, e",12409000,5.59,A
2002-11-05 00:00:00+00:00,75.0,"A, e",12409000,5.56,A
2002-11-06 00:00:00+00:00,80.0,"A, e",12409000,5.66,A
2002-11-07 00:00:00+00:00,100.0,"A, e",12409000,5.67,A
2002-11-08 00:00:00+00:00,125.0,A,12409000,5.74,A
2002-11-09 00:00:00+00:00,151.0,A,12409000,5.84,A
2002-11-10 00:00:00+00:00,173.0,A,12409000,5.93,A
2002-11-11 00:00:00+00:00,144.0,A,12409000,5.82,A
2002-11-12 00:00:00+00:00,145.0,A,12409000,5.82,A
2002-11-13 00:00:00+00:00,145.0,A,12409000,5.82,A
2002-11-14 00:00:00+00:00,160.0,A,12409000,5.88,A
2002-11-15 00:00:00+00:00,142.0,A,12409000,5.81,A
2002-11-16 00:00:00+00:00,138.0,A,12409000,5.8,A
2002-11-17 00:00:00+00:00,128.0,A,12409000,5.76,A
2002-11-18 00:00:00+00:00,125.0,A,12409000,5.74,A
2002-11-19 00:00:00+00:00,126.0,A,12409000,5.75,A
2002-11-20 00:00:00+00:00,146.0,A,12409000,5.83,A
2002-11-21 00:00:00+00:00,149.0,A,12409000,5.84,A
2002-11-22 00:00:00+00:00,133.0,A,12409000,5.77,A
2002-11-23 00:00:00+00:00,132.0,A,12409000,5.77,A
2002-11-24 00:00:00+00:00,129.0,A,12409000,5.76,A
2002-11-25 00:00:00+00:00,122.0,A,12409000,5.72,A
2002-11-26 00:00:00+00:00,116.0,A,12409000,5.7,A
2002-11-27 00:00:00+00:00,115.0,A,12409000,5.7,A
2002-11-28 00:00:00+00:00,110.0,A,12409000,5.68,A
2002-11-29 00:00:00+00:00,111.0,A,12409000,5.68,A
2002-11-30 00:00:00+00:00,111.0,A,12409000,5.68,A
2002-12-01 00:00:00+00:00,111.0,A,12409000,5.68,A
2002-12-02 00:00:00+00:00,113.0,A,12409000,5.69,A
