datetime,00060_Mean,00060_Mean_cd,site_no
2002-10-01 00:00:00+00:00,5170.0,A,13037500
2002-10-02 00:00:00+00:00,4210.0,A,13037500
2002-10-03 00:00:00+00:00,3380.0,A,13037500
2002-10-04 00:00:00+00:00,3080.0,A,13037500
2002-10-05 00:00:00+00:00,3060.0,A,13037500
2002-10-06 00:00:00+00:00,3040.0,A,13037500
2002-10-07 00:00:00+00:00,3030.0,A,13037500
2002-10-08 00:00:00+00:00,3020.0,A,13037500
2002-10-09 00:00:00+00:00,3030.0,A,13037500
2002-10-10 00:00:00+00:00,3030.0,A,13037500
2002-10-11 00:00:00+00:00,3000.0,A,13037500
2002-10-12 00:00:00+00:00,2600.0,A,13037500
2002-10-13 00:00:00+00:00,2530.0,A,13037500
2002-10-14 00:00:00+00:00,2520.0,A,13037500
2002-10-15 00:00:00+00:00,2480.0,A,13037500
2002-10-16 00:00:00+00:00,2200.0,A,13037500
2002-10-17 00:00:00+00:00,2190.0,A,13037500
2002-10-18 00:00:00+00:00,2210.0,A,13037500
2002-10-19 00:00:00+00:00,2110.0,A,13037500
2002-10-20 00:00:00+00:00,2090.0,A,13037500
2002-10-21 00:00:00+00:00,2090.0,A,13037500
2002-10-22 00:00:00+00:00,1870.0,A,13037500
2002-10-23 00:00:00+00:00,1780.0,A,13037500
2002-10-24 00:00:00+00:00,1800.0,A,13037500
2002-10-25 00:00:00+00:00,1790.0,A,13037500
2002-10-26 00:00:00+00:00,1780.0,A,13037500
2002-10-27 00:00:00+00:00,1730.0,A,13037500
2002-10-28 00:00:00+00:00,1760.0,A,13037500
2002-10-29 00:00:00+00:00,1770.0,A,13037500
2002-10-30 00:00:00+00:00,1780.0,A,13037500
2002-10-31 00:00:00+00:00,1680.0,A,13037500
2002-11-01 00:00:00+00:00,1590.0,A,13037500
2002-11-02 00:00:00+00:00,1570.0,A,13037500
2002-11-03 00:00:00+00:00,1560.0,A,13037500
2002-11-04 00:00:00+00:00,1560.0,A,13037500
2002-11-05 00:00:00+00:00,1470.0,A,13037500
2002-11-06 00:00:00+00:00,1470.0,A,13037500
2002-11-07 00:00:00+00:00,1500.0,A,13037500
2002-11-08 00:00:00+00:00,1520.0,A,13037500
2002-11-09 00:00:00+00:00,1540.0,A,13037500
2002-11-10 00:00:00+00:00,1550.0,A,13037500
2002-11-11 00:00:00+00:00,1530.0,A,13037500
2002-11-12 00:00:00+00:00,1510.0,A,13037500
2002-11-13 00:00:00+00:00,1500.0,A,13037500
2002-11-14 00:00:00+00:00,1500.0,A,13037500
2002-11-15 00:00:00+00:00,1500.0,A,13037500
2002-11-16 00:00:00+00:00,1500.0,A,13037500
2002-11-17 00:00:00+00:00,1500.0,A,13037500
2002-11-18 00:00:00+00:00,1480.0,A,13037500
2002-11-19 00:00:00+00:00,1490.0,A,13037500
2002-11-20 00:00:00+00:00,1480.0,A,13037500
2002-11-21 00:00:00+00:00,1470.0,A,13037500
2002-11-22 00:00:00+00:00,1500.0,A,13037500
2002-11-23 00:00:00+00:00,1520.0,A,13037500
2002-11-24 00:00:00+00:00,1530.0,A,13037500
2002-11-25 00:00:00+00:00,1490.0,A,13037500
2002-11-26 00:00:00+00:00,1460.0,A,13037500
2002-11-27 00:00:00+00:00,1480.0,A,13037500
2002-11-28 00:00:00+00:00,1480.0,A,13037500
2002-11-29 00:00:00+00:00,1480.0,A,13037500
2002-11-30 00:00:00+00:00,1470.0,A,13037500
2002-12-01 00:00:00+00:00,1470.0,A,13037500
2002-12-02 00:00:00+00:00,1470.0,A,13037500
2002-12-03 00:00:00+00:00,1470.0,A,13037500
2002-12-04 00:00:00+00:00,1460.0,A,13037500
2002-12-05 00:00:00+00:00,1470.0,A,13037500
2002-12-06 00:00:00+00:00,1460.0,A,13037500
2002-12-07 00:00:00+00:00,1450.0,A,13037500
2002-12-08 00:00:00+00:00,1450.0,A,13037500
2002-12-09 00:00:00+00:00,1470.0,A,13037500
2002-12-10 00:00:00+00:00,1470.0,A,13037500
2002-12-11 00:00:00+00:00,1470.0,A,13037500
2002-12-12 00:00:00+00:00,1460.0,A,13037500
2002-12-13 00:00:00+00:00,1470.0,A,13037500
2002-12-14 00:00:00+00:00,1460.0,A,13037500
2002-12-15 00:00:00+00:00,1470.0,A,13037500
2002-12-16 00:00:00+00:00,1450.0,A,13037500
2002-12-17 00:00:00+00:00,1470.0,A,13037500
2002-12-18 00:00:00+00:00,1460.0,A,13037500
2002-12-19 00:00:00+00:00,1450.0,A,13037500
2002-12-20 00:00:00+00:00,1460.0,A,13037500
2002-12-21 00:00:00+00:00,1480.0,A,13037500
2002-12-22 00:00:00+00:00,1480.0,A,13037500
2002-12-23 00:00:00+00:00,1460.0,A,13037500
2002-12-24 00:00:00+00:00,1450.0,"A, e",13037500
2002-12-25 00:00:00+00:00,1450.0,"A, e",13037500
2002-12-26 00:00:00+00:00,1470.0,A,13037500
2002-12-27 00:00:00+00:00,1450.0,A,13037500
2002-12-28 00:00:00+00:00,1480.0,A,13037500
2002-12-29 00:00:00+00:00,1460.0,A,13037500
2002-12-30 00:00:00+00:00,1450.0,A,13037500
2002-12-31 00:00:00+00:00,1470.0,A,13037500
2003-01-01 00:00:00+00:00,1470.0,A,13037500
2003-01-02 00:00:00+00:00,1440.0,A,13037500
2003-01-03 00:00:00+00:00,1450.0,A,13037500
2003-01-04 00:00:00+00:00,1440.0,A,13037500
2003-01-05 00:00:00+00:00,1450.0,A,13037500
2003-01-06 00:00:00+00:00,1430.0,A,13037500
2003-01-07 00:00:00+00:00,1400.0,"A, e",13037500
2003-01-08 00:00:00+00:00,1400.0,"A, e",13037500
2003-01-09 00:00:00+00:00,1400.0,"A, e",13037500
2003-01-10 00:00:00+00:00,1450.0,"A, e",13037500
2003-01-11 00:00:00+00:00,1460.0,A,13037500
2003-01-12 00:00:00+00:00,1460.0,A,13037500
2003-01-13 00:00:00+00:00,1460.0,A,13037500
2003-01-14 00:00:00+00:00,1460.0,A,13037500
2003-01-15 00:00:00+00:00,1450.0,A,13037500
2003-01-16 00:00:00+00:00,1440.0,A,13037500
2003-01-17 00:00:00+00:00,1400.0,"A, e",13037500
2003-01-18 00:00:00+00:00,1400.0,"A, e",13037500
2003-01-19 00:00:00+00:00,1400.0,"A, e",13037500
2003-01-20 00:00:00+00:00,1400.0,"A, e",13037500
2003-01-21 00:00:00+00:00,1460.0,A,13037500
2003-01-22 00:00:00+00:00,1450.0,A,13037500
2003-01-23 00:00:00+00:00,1460.0,A,13037500
2003-01-24 00:00:00+00:00,1440.0,A,13037500
2003-01-25 00:00:00+00:00,1440.0,A,13037500
2003-01-26 00:00:00+00:00,1440.0,A,13037500
2003-01-27 00:00:00+00:00,1470.0,A,13037500
2003-01-28 00:00:00+00:00,1520.0,A,13037500
2003-01-29 00:00:00+00:00,1480.0,A,13037500
2003-01-30 00:00:00+00:00,1510.0,A,13037500
2003-01-31 00:00:00+00:00,1690.0,A,13037500
2003-02-01 00:00:00+00:00,1670.0,A,13037500
2003-02-02 00:00:00+00:00,1570.0,A,13037500
2003-02-03 00:00:00+00:00,1510.0,A,13037500
2003-02-04 00:00:00+00:00,1500.0,A,13037500
2003-02-05 00:00:00+00:00,1450.0,"A, e",13037500
2003-02-06 00:00:00+00:00,1400.0,"A, e",13037500
2003-02-07 00:00:00+00:00,1400.0,"A, e",13037500
2003-02-08 00:00:00+00:00,1400.0,"A, e",13037500
2003-02-09 00:00:00+00:00,1450.0,"A, e",13037500
2003-02-10 00:00:00+00:00,1450.0,A,13037500
2003-02-11 00:00:00+00:00,1430.0,A,13037500
2003-02-12 00:00:00+00:00,1430.0,A,13037500
2003-02-13 00:00:00+00:00,1460.0,A,13037500
2003-02-14 00:00:00+00:00,1480.0,A,13037500
2003-02-15 00:00:00+00:00,1470.0,A,13037500
2003-02-16 00:00:00+00:00,1480.0,A,13037500
2003-02-17 00:00:00+00:00,1460.0,A,13037500
2003-02-18 00:00:00+00:00,1450.0,A,13037500
2003-02-19 00:00:00+00:00,1450.0,A,13037500
2003-02-20 00:00:00+00:00,1440.0,A,13037500
2003-02-21 00:00:00+00:00,1440.0,A,13037500
2003-02-22 00:00:00+00:00,1460.0,A,13037500
2003-02-23 00:00:00+00:00,1400.0,"A, e",13037500
2003-02-24 00:00:00+00:00,1300.0,"A, e",13037500
2003-02-25 00:00:00+00:00,1350.0,"A, e",13037500
2003-02-26 00:00:00+00:00,1400.0,"A, e",13037500
2003-02-27 00:00:00+00:00,1430.0,A,13037500
2003-02-28 00:00:00+00:00,1430.0,A,13037500
2003-03-01 00:00:00+00:00,1420.0,A,13037500
2003-03-02 00:00:00+00:00,1420.0,A,13037500
2003-03-03 00:00:00+00:00,1450.0,A,13037500
2003-03-04 00:00:00+00:00,1450.0,A,13037500
2003-03-05 00:00:00+00:00,1430.0,A,13037500
2003-03-06 00:00:00+00:00,1420.0,A,13037500
2003-03-07 00:00:00+00:00,1420.0,A,13037500
2003-03-08 00:00:00+00:00,1430.0,A,13037500
2003-03-09 00:00:00+00:00,1430.0,A,13037500
2003-03-10 00:00:00+00:00,1500.0,A,13037500
2003-03-11 00:00:00+00:00,1540.0,A,13037500
2003-03-12 00:00:00+00:00,1540.0,A,13037500
2003-03-13 00:00:00+00:00,1570.0,A,13037500
2003-03-14 00:00:00+00:00,1590.0,A,13037500
2003-03-15 00:00:00+00:00,1530.0,A,13037500
2003-03-16 00:00:00+00:00,1530.0,A,13037500
2003-03-17 00:00:00+00:00,1510.0,A,13037500
2003-03-18 00:00:00+00:00,1500.0,A,13037500
2003-03-19 00:00:00+00:00,1470.0,A,13037500
2003-03-20 00:00:00+00:00,1470.0,A,13037500
2003-03-21 00:00:00+00:00,1460.0,A,13037500
2003-03-22 00:00:00+00:00,1490.0,A,13037500
2003-03-23 00:00:00+00:00,1520.0,A,13037500
2003-03-24 00:00:00+00:00,1530.0,A,13037500
2003-03-25 00:00:00+00:00,1500.0,A,13037500
2003-03-26 00:00:00+00:00,1530.0,A,13037500
2003-03-27 00:00:00+00:00,1520.0,A,13037500
2003-03-28 00:00:00+00:00,1490.0,A,13037500
2003-03-29 00:00:00+00:00,1480.0,A,13037500
2003-03-30 00:00:00+00:00,1480.0,A,13037500
2003-03-31 00:00:00+00:00,1480.0,A,13037500
2003-04-01 00:00:00+00:00,1520.0,A,13037500
2003-04-02 00:00:00+00:00,1540.0,A,13037500
2003-04-03 00:00:00+00:00,1520.0,A,13037500
2003-04-04 00:00:00+00:00,1510.0,A,13037500
2003-04-05 00:00:00+00:00,1500.0,A,13037500
2003-04-06 00:00:00+00:00,1510.0,A,13037500
2003-04-07 00:00:00+00:00,1520.0,A,13037500
2003-04-08 00:00:00+00:00,1490.0,A,13037500
2003-04-09 00:00:00+00:00,1490.0,A,13037500
2003-04-10 00:00:00+00:00,1540.0,A,13037500
2003-04-11 00:00:00+00:00,1710.0,A,13037500
2003-04-12 00:00:00+00:00,2090.0,A,13037500
2003-04-13 00:00:00+00:00,2600.0,A,13037500
2003-04-14 00:00:00+00:00,2710.0,A,13037500
2003-04-15 00:00:00+00:00,2770.0,A,13037500
2003-04-16 00:00:00+00:00,2630.0,A,13037500
2003-04-17 00:00:00+00:00,2540.0,A,13037500
2003-04-18 00:00:00+00:00,2530.0,A,13037500
2003-04-19 00:00:00+00:00,2940.0,A,13037500
2003-04-20 00:00:00+00:00,3450.0,A,13037500
2003-04-21 00:00:00+00:00,3530.0,A,13037500
2003-04-22 00:00:00+00:00,3620.0,A,13037500
2003-04-23 00:00:00+00:00,3690.0,A,13037500
2003-04-24 00:00:00+00:00,3640.0,A,13037500
2003-04-25 00:00:00+00:00,3710.0,A,13037500
2003-04-26 00:00:00+00:00,3760.0,A,13037500
2003-04-27 00:00:00+00:00,3910.0,A,13037500
2003-04-28 00:00:00+00:00,4120.0,A,13037500
2003-04-29 00:00:00+00:00,4060.0,A,13037500
2003-04-30 00:00:00+00:00,4050.0,A,13037500
2003-05-01 00:00:00+00:00,4250.0,A,13037500
2003-05-02 00:00:00+00:00,4680.0,A,13037500
2003-05-03 00:00:00+00:00,5100.0,A,13037500
2003-05-04 00:00:00+00:00,5280.0,A,13037500
2003-05-05 00:00:00+00:00,5340.0,A,13037500
2003-05-06 00:00:00+00:00,5260.0,A,13037500
2003-05-07 00:00:00+00:00,5230.0,A,13037500
2003-05-08 00:00:00+00:00,5200.0,A,13037500
2003-05-09 00:00:00+00:00,5280.0,A,13037500
2003-05-10 00:00:00+00:00,6180.0,A,13037500
