datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00065_Mean,00065_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,63675_Mean,63675_Mean_cd,63680_Mean,63680_Mean_cd
2006-10-01 00:00:00+00:00,15.4,A,09406000,84.6,A,8.05,A,,,8.5,A,36.3,A,,
2006-10-02 00:00:00+00:00,16.4,A,09406000,87.3,A,8.07,A,,,8.2,A,37.3,A,,
2006-10-03 00:00:00+00:00,16.2,A,09406000,127.0,A,8.27,A,,,7.9,A,,,,
2006-10-04 00:00:00+00:00,16.5,A,09406000,96.5,A,8.13,A,,,7.7,A,,,,
2006-10-05 00:00:00+00:00,16.5,A,09406000,128.0,A,8.27,A,,,7.9,A,,,,
2006-10-06 00:00:00+00:00,16.1,A,09406000,296.0,A,8.9,A,792.0,A,,,,,,
2006-10-07 00:00:00+00:00,14.0,A,09406000,289.0,A,8.89,A,606.0,A,,,,,,
2006-10-08 00:00:00+00:00,13.8,A,09406000,132.0,A,8.33,A,,,8.1,A,,,,
2006-10-09 00:00:00+00:00,14.1,A,09406000,167.0,A,8.47,A,,,7.4,A,,,,
2006-10-10 00:00:00+00:00,14.3,A,09406000,140.0,A,8.37,A,,,8.3,A,,,,
2006-10-11 00:00:00+00:00,14.1,A,09406000,127.0,A,8.31,A,,,8.3,A,,,,
2006-10-12 00:00:00+00:00,13.7,A,09406000,116.0,A,8.25,A,,,8.3,A,,,,
2006-10-13 00:00:00+00:00,13.6,A,09406000,115.0,A,8.24,A,,,8.6,A,,,,
2006-10-14 00:00:00+00:00,13.7,A,09406000,352.0,A,9.02,A,,,,,,,,
2006-10-15 00:00:00+00:00,12.9,A,09406000,212.0,A,8.66,A,,,,,,,,
2006-10-16 00:00:00+00:00,13.4,A,09406000,135.0,A,8.36,A,,,,,,,,
2006-10-17 00:00:00+00:00,12.4,A,09406000,182.0,A,8.55,A,,,,,,,,
2006-10-18 00:00:00+00:00,10.9,A,09406000,137.0,A,8.37,A,,,,,,,,
2006-10-19 00:00:00+00:00,10.8,A,09406000,124.0,A,8.3,A,,,,,210.0,A,,
2006-10-20 00:00:00+00:00,11.6,A,09406000,120.0,A,8.28,A,786.0,A,9.8,A,255.0,A,,
2006-10-21 00:00:00+00:00,11.6,A,09406000,119.0,A,8.27,A,787.0,A,9.9,A,193.0,A,,
2006-10-22 00:00:00+00:00,11.3,A,09406000,117.0,A,8.26,A,786.0,A,10.0,A,173.0,A,,
2006-10-23 00:00:00+00:00,11.5,A,09406000,116.0,A,8.25,A,787.0,A,10.0,A,146.0,A,,
2006-10-24 00:00:00+00:00,11.1,A,09406000,115.0,A,8.25,A,789.0,A,10.0,A,111.0,A,,
2006-10-25 00:00:00+00:00,11.5,A,09406000,118.0,A,8.27,A,790.0,A,9.9,A,100.0,A,,
2006-10-26 00:00:00+00:00,9.8,A,09406000,118.0,A,8.27,A,788.0,A,10.3,A,119.0,A,,
2006-10-27 00:00:00+00:00,9.8,A,09406000,114.0,A,8.24,A,797.0,A,10.4,A,,,,
2006-10-28 00:00:00+00:00,10.8,A,09406000,114.0,A,8.24,A,801.0,A,10.2,A,,,,
2006-10-29 00:00:00+00:00,,,09406000,110.0,A,,,799.0,A,,,,,,
2006-10-30 00:00:00+00:00,10.2,A,09406000,114.0,A,8.24,A,805.0,A,10.2,A,,,,
2006-10-31 00:00:00+00:00,9.4,A,09406000,113.0,A,8.23,A,806.0,A,10.3,A,,,,
2006-11-01 00:00:00+00:00,9.0,A,09406000,113.0,A,8.24,A,813.0,A,10.5,A,,,,
2006-11-02 00:00:00+00:00,9.2,A,09406000,112.0,A,8.23,A,798.0,A,,,84.0,A,,
2006-11-03 00:00:00+00:00,10.0,A,09406000,113.0,A,8.23,A,783.0,A,,,93.3,A,,
2006-11-04 00:00:00+00:00,10.4,A,09406000,114.0,A,8.24,A,785.0,A,,,88.2,A,,
2006-11-05 00:00:00+00:00,10.0,A,09406000,114.0,A,8.24,A,790.0,A,,,76.3,A,,
2006-11-06 00:00:00+00:00,10.2,A,09406000,115.0,A,8.24,A,793.0,A,,,67.8,A,,
2006-11-07 00:00:00+00:00,11.1,A,09406000,114.0,A,8.24,A,794.0,A,,,63.3,A,,
2006-11-08 00:00:00+00:00,11.4,A,09406000,115.0,A,8.25,A,798.0,A,,,81.1,A,,
2006-11-09 00:00:00+00:00,10.8,A,09406000,116.0,A,8.25,A,800.0,A,,,82.6,A,,
2006-11-10 00:00:00+00:00,8.9,A,09406000,114.0,A,8.24,A,801.0,A,,,87.9,A,,
2006-11-11 00:00:00+00:00,7.3,A,09406000,115.0,A,8.25,A,803.0,A,,,88.0,A,,
2006-11-12 00:00:00+00:00,8.3,A,09406000,118.0,A,8.27,A,798.0,A,,,91.8,A,,
2006-11-13 00:00:00+00:00,8.5,A,09406000,117.0,A,8.26,A,805.0,A,,,89.0,A,,
2006-11-14 00:00:00+00:00,9.2,A,09406000,119.0,A,8.27,A,810.0,A,,,,,,
2006-11-15 00:00:00+00:00,7.3,A,09406000,116.0,A,8.26,A,813.0,A,,,,,,
2006-11-16 00:00:00+00:00,7.0,A,09406000,116.0,A,8.25,A,825.0,A,,,,,,
2006-11-17 00:00:00+00:00,7.6,A,09406000,116.0,A,8.26,A,825.0,A,,,77.0,A,,
2006-11-18 00:00:00+00:00,7.9,A,09406000,114.0,A,8.24,A,820.0,A,10.2,A,74.6,A,,
2006-11-19 00:00:00+00:00,8.6,A,09406000,114.0,A,8.24,A,822.0,A,10.1,A,74.2,A,,
2006-11-20 00:00:00+00:00,8.5,A,09406000,116.0,A,8.25,A,822.0,A,10.1,A,76.8,A,,
2006-11-21 00:00:00+00:00,8.4,A,09406000,114.0,A,8.24,A,825.0,A,10.0,A,75.1,A,,
2006-11-22 00:00:00+00:00,8.8,A,09406000,115.0,A,8.25,A,821.0,A,9.9,A,97.7,A,,
2006-11-23 00:00:00+00:00,9.2,A,09406000,113.0,A,8.24,A,818.0,A,9.9,A,76.4,A,,
2006-11-24 00:00:00+00:00,7.7,A,09406000,112.0,A,8.23,A,825.0,A,10.1,A,73.5,A,,
2006-11-25 00:00:00+00:00,7.0,A,09406000,114.0,A,8.24,A,825.0,A,10.3,A,78.3,A,,
2006-11-26 00:00:00+00:00,6.7,A,09406000,115.0,A,8.25,A,826.0,A,10.3,A,80.2,A,,
2006-11-27 00:00:00+00:00,6.2,A,09406000,114.0,A,8.24,A,831.0,A,10.3,A,78.6,A,,
2006-11-28 00:00:00+00:00,6.9,A,09406000,120.0,A,8.28,A,828.0,A,10.1,A,83.7,A,,
2006-11-29 00:00:00+00:00,3.6,A,09406000,113.0,A,8.23,A,828.0,A,11.0,A,67.4,A,,
2006-11-30 00:00:00+00:00,,,09406000,91.1,A,8.07,A,895.0,A,11.7,A,81.7,A,,
2006-12-01 00:00:00+00:00,2.5,A,09406000,96.2,A,8.11,A,904.0,A,11.4,A,111.0,A,,
2006-12-02 00:00:00+00:00,3.0,A,09406000,108.0,A,8.2,A,857.0,A,11.3,A,103.0,A,,
2006-12-03 00:00:00+00:00,2.7,A,09406000,101.0,A,8.14,A,847.0,A,11.6,A,71.5,A,,
2006-12-04 00:00:00+00:00,2.8,A,09406000,97.3,A,8.12,A,880.0,A,11.4,A,67.9,A,,
2006-12-05 00:00:00+00:00,3.1,A,09406000,106.0,A,8.19,A,863.0,A,11.2,A,66.3,A,,
2006-12-06 00:00:00+00:00,3.8,A,09406000,114.0,A,8.24,A,850.0,A,11.1,A,62.2,A,,
2006-12-07 00:00:00+00:00,4.9,A,09406000,115.0,A,8.25,A,836.0,A,10.9,A,82.8,A,,
2006-12-08 00:00:00+00:00,6.0,A,09406000,114.0,A,8.24,A,827.0,A,10.8,A,76.0,A,,
2006-12-09 00:00:00+00:00,6.0,A,09406000,114.0,A,8.24,A,823.0,A,10.7,A,65.2,A,,
2006-12-10 00:00:00+00:00,6.1,A,09406000,121.0,A,8.29,A,823.0,A,10.6,A,74.6,A,,
