datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00065_Mean,00065_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,63680_Mean,63680_Mean_cd
2011-10-01 00:00:00+00:00,,,09406000,99.1,A,7.67,A,,,,,,
2011-10-02 00:00:00+00:00,18.5,A,09406000,100.0,A,7.68,A,723.0,A,8.1,A,,
2011-10-03 00:00:00+00:00,17.6,A,09406000,100.0,A,7.68,A,700.0,A,8.0,A,,
2011-10-04 00:00:00+00:00,16.6,A,09406000,103.0,A,7.69,A,692.0,A,8.3,A,,
2011-10-05 00:00:00+00:00,14.6,A,09406000,114.0,A,7.75,A,680.0,A,8.3,A,,
2011-10-06 00:00:00+00:00,11.3,A,09406000,920.0,A,9.6,A,,,8.5,A,1680.0,"A, >"
2011-10-07 00:00:00+00:00,10.5,A,09406000,198.0,A,,,,,9.0,A,1530.0,"A, >"
2011-10-08 00:00:00+00:00,11.7,A,09406000,157.0,A,,,769.0,A,8.9,A,399.0,A
2011-10-09 00:00:00+00:00,12.2,A,09406000,151.0,A,,,775.0,A,8.8,A,320.0,A
2011-10-10 00:00:00+00:00,12.6,A,09406000,143.0,A,,,769.0,A,8.7,A,285.0,A
2011-10-11 00:00:00+00:00,13.6,A,09406000,142.0,A,,,764.0,A,8.6,A,177.0,A
2011-10-12 00:00:00+00:00,14.1,A,09406000,136.0,A,,,766.0,A,8.5,A,119.0,A
2011-10-13 00:00:00+00:00,14.1,A,09406000,133.0,A,,,765.0,A,8.6,A,87.7,A
2011-10-14 00:00:00+00:00,14.5,A,09406000,130.0,A,,,764.0,A,8.5,A,72.3,A
2011-10-15 00:00:00+00:00,15.0,A,09406000,128.0,A,,,763.0,A,8.4,A,63.7,A
2011-10-16 00:00:00+00:00,14.8,A,09406000,126.0,A,,,762.0,A,8.5,A,59.2,A
2011-10-17 00:00:00+00:00,14.5,A,09406000,126.0,A,,,761.0,A,8.6,A,57.3,A
2011-10-18 00:00:00+00:00,13.4,A,09406000,127.0,A,,,760.0,A,8.8,A,49.1,A
2011-10-19 00:00:00+00:00,,,09406000,126.0,A,,,,,,,,
2011-10-20 00:00:00+00:00,,,09406000,124.0,A,,,,,,,,
2011-10-21 00:00:00+00:00,,,09406000,123.0,A,,,,,,,,
2011-10-22 00:00:00+00:00,,,09406000,124.0,A,,,,,,,,
2011-10-23 00:00:00+00:00,,,09406000,125.0,A,,,,,,,,
2011-10-24 00:00:00+00:00,,,09406000,126.0,A,,,,,,,,
2011-10-25 00:00:00+00:00,,,09406000,125.0,A,,,,,,,,
2011-10-26 00:00:00+00:00,,,09406000,130.0,A,,,,,,,,
2011-10-27 00:00:00+00:00,,,09406000,130.0,A,,,,,,,,
2011-10-28 00:00:00+00:00,9.7,A,09406000,129.0,A,,,762.0,A,9.4,A,,
2011-10-29 00:00:00+00:00,9.9,A,09406000,128.0,A,,,760.0,A,9.4,A,,
2011-10-30 00:00:00+00:00,10.3,A,09406000,126.0,A,,,756.0,A,9.3,A,,
2011-10-31 00:00:00+00:00,10.8,A,09406000,127.0,A,,,754.0,A,9.2,A,,
2011-11-01 00:00:00+00:00,10.3,A,09406000,126.0,A,,,741.0,A,9.2,A,,
2011-11-02 00:00:00+00:00,,,09406000,140.0,A,,,,,,,,
2011-11-03 00:00:00+00:00,7.8,A,09406000,154.0,A,,,688.0,A,10.2,A,,
2011-11-04 00:00:00+00:00,,,09406000,159.0,A,,,,,,,,
2011-11-05 00:00:00+00:00,,,09406000,162.0,A,,,,,,,,
2011-11-06 00:00:00+00:00,,,09406000,164.0,A,,,,,,,,
2011-11-07 00:00:00+00:00,,,09406000,171.0,A,,,,,,,,
2011-11-08 00:00:00+00:00,,,09406000,170.0,A,,,,,,,,
2011-11-09 00:00:00+00:00,6.3,A,09406000,174.0,A,,,,,11.2,A,68.0,A
2011-11-10 00:00:00+00:00,6.4,A,09406000,188.0,A,,,684.0,A,11.3,A,96.4,A
2011-11-11 00:00:00+00:00,7.0,A,09406000,193.0,A,,,663.0,A,11.0,A,85.5,A
2011-11-12 00:00:00+00:00,8.2,A,09406000,188.0,A,,,658.0,A,10.6,A,65.5,A
2011-11-13 00:00:00+00:00,8.2,A,09406000,186.0,A,,,659.0,A,10.6,A,59.3,A
2011-11-14 00:00:00+00:00,8.7,A,09406000,186.0,A,,,653.0,A,10.5,A,56.6,A
2011-11-15 00:00:00+00:00,8.9,A,09406000,175.0,A,,,673.0,A,10.4,A,,
2011-11-16 00:00:00+00:00,7.8,A,09406000,177.0,A,,,671.0,A,10.9,A,,
2011-11-17 00:00:00+00:00,7.0,A,09406000,164.0,A,,,694.0,A,11.1,A,,
2011-11-18 00:00:00+00:00,7.1,A,09406000,159.0,A,,,724.0,A,10.9,A,,
2011-11-19 00:00:00+00:00,7.8,A,09406000,159.0,A,,,723.0,A,10.6,A,,
2011-11-20 00:00:00+00:00,8.9,A,09406000,160.0,A,,,719.0,A,10.2,A,,
2011-11-21 00:00:00+00:00,9.4,A,09406000,169.0,A,,,728.0,A,10.0,A,,
2011-11-22 00:00:00+00:00,8.4,A,09406000,174.0,A,,,708.0,A,10.5,A,,
2011-11-23 00:00:00+00:00,8.1,A,09406000,168.0,A,,,726.0,A,10.5,A,71.6,A
2011-11-24 00:00:00+00:00,8.0,A,09406000,164.0,A,,,727.0,A,10.5,A,49.6,A
2011-11-25 00:00:00+00:00,7.4,A,09406000,164.0,A,,,731.0,A,10.7,A,45.8,A
2011-11-26 00:00:00+00:00,6.8,A,09406000,163.0,A,,,733.0,A,10.9,A,47.9,A
2011-11-27 00:00:00+00:00,6.3,A,09406000,162.0,A,,,734.0,A,11.1,A,53.9,A
2011-11-28 00:00:00+00:00,6.7,A,09406000,163.0,A,,,733.0,A,10.9,A,48.9,A
2011-11-29 00:00:00+00:00,6.8,A,09406000,163.0,A,,,726.0,A,10.9,A,,
2011-11-30 00:00:00+00:00,6.6,A,09406000,160.0,A,,,722.0,A,10.7,A,,
2011-12-01 00:00:00+00:00,6.2,A,09406000,158.0,A,,,719.0,A,10.6,A,,
2011-12-02 00:00:00+00:00,7.2,A,09406000,159.0,A,,,706.0,A,10.3,A,,
2011-12-03 00:00:00+00:00,6.2,A,09406000,162.0,A,,,691.0,A,10.5,A,,
2011-12-04 00:00:00+00:00,4.2,A,09406000,152.0,A,,,693.0,A,11.2,A,,
2011-12-05 00:00:00+00:00,3.5,A,09406000,151.0,A,,,702.0,A,11.4,A,,
2011-12-06 00:00:00+00:00,2.0,A,09406000,141.0,A,,,713.0,A,12.0,A,,
2011-12-07 00:00:00+00:00,2.4,A,09406000,149.0,A,,,745.0,A,11.9,A,,
2011-12-08 00:00:00+00:00,3.6,A,09406000,162.0,A,,,741.0,A,11.6,A,68.2,A
2011-12-09 00:00:00+00:00,,,09406000,163.0,A,,,,,,,,
2011-12-10 00:00:00+00:00,3.8,A,09406000,159.0,A,,,,,,,,
2011-12-11 00:00:00+00:00,,,09406000,160.0,A,,,,,,,,
2011-12-12 00:00:00+00:00,4.6,A,09406000,163.0,A,,,728.0,A,11.2,A,49.5,A
2011-12-13 00:00:00+00:00,,,09406000,169.0,A,,,,,,,,
2011-12-14 00:00:00+00:00,,,09406000,158.0,"A, e",,,,,,,,
2011-12-15 00:00:00+00:00,,,09406000,153.0,"A, e",,,,,,,,
2011-12-16 00:00:00+00:00,4.2,A,09406000,150.0,A,,,731.0,A,11.5,A,48.6,A
2011-12-17 00:00:00+00:00,3.8,A,09406000,149.0,A,,,731.0,A,11.5,A,51.9,A
2011-12-18 00:00:00+00:00,5.0,A,09406000,153.0,A,,,728.0,A,11.1,A,46.4,A
2011-12-19 00:00:00+00:00,5.3,A,09406000,158.0,A,,,715.0,A,11.0,A,55.5,A
2011-12-20 00:00:00+00:00,4.2,A,09406000,154.0,A,,,717.0,A,11.3,A,60.1,A
2011-12-21 00:00:00+00:00,3.6,A,09406000,150.0,A,,,729.0,A,11.4,A,56.8,A
2011-12-22 00:00:00+00:00,2.7,A,09406000,150.0,A,,,733.0,A,11.7,A,62.4,A
2011-12-23 00:00:00+00:00,1.9,A,09406000,138.0,A,,,749.0,A,12.0,A,46.5,A
2011-12-24 00:00:00+00:00,2.3,A,09406000,145.0,A,,,752.0,A,11.9,A,72.1,A
2011-12-25 00:00:00+00:00,2.6,A,09406000,148.0,A,,,738.0,A,11.8,A,64.8,A
2011-12-26 00:00:00+00:00,2.9,A,09406000,148.0,A,,,741.0,A,11.7,A,64.6,A
2011-12-27 00:00:00+00:00,2.9,A,09406000,145.0,A,,,742.0,A,11.7,A,59.5,A
2011-12-28 00:00:00+00:00,3.4,A,09406000,147.0,A,,,738.0,A,11.6,A,60.2,A
2011-12-29 00:00:00+00:00,4.5,A,09406000,150.0,A,,,726.0,A,11.2,A,50.6,A
2011-12-30 00:00:00+00:00,5.5,A,09406000,155.0,A,,,712.0,A,10.9,A,57.5,A
2011-12-31 00:00:00+00:00,5.4,A,09406000,154.0,A,,,711.0,A,10.9,A,44.8,A
2012-01-01 00:00:00+00:00,4.7,A,09406000,148.0,A,,,720.0,A,11.2,A,41.0,A
2012-01-02 00:00:00+00:00,5.3,A,09406000,146.0,A,,,729.0,A,11.1,A,44.8,A
2012-01-03 00:00:00+00:00,5.4,A,09406000,147.0,A,,,728.0,A,11.0,A,50.4,A
2012-01-04 00:00:00+00:00,5.2,A,09406000,136.0,A,,,744.0,A,11.1,A,57.0,A
2012-01-05 00:00:00+00:00,5.3,A,09406000,132.0,A,,,773.0,A,11.0,A,50.5,A
2012-01-06 00:00:00+00:00,5.2,A,09406000,131.0,A,,,776.0,A,10.9,A,47.4,A
