datetime,00010_Mean,00010_Mean_cd,site_no,00025_Mean,00025_Mean_cd,00047_Mean,00047_Mean_cd,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,62361_Mean,62361_Mean_cd
2015-10-01 00:00:00+00:00,15.0,A,14181500,733.0,A,758.0,A,1220.0,A,51.0,A,9.5,A,1.0,A
2015-10-02 00:00:00+00:00,14.6,A,14181500,737.0,A,766.0,A,1230.0,A,51.0,A,9.7,A,0.9,A
2015-10-03 00:00:00+00:00,14.3,A,14181500,731.0,A,775.0,A,1220.0,A,51.0,A,9.9,A,1.0,A
2015-10-04 00:00:00+00:00,14.4,A,14181500,728.0,A,774.0,A,1220.0,A,51.0,A,9.9,A,0.9,A
2015-10-05 00:00:00+00:00,14.5,A,14181500,729.0,A,810.0,A,1220.0,A,52.0,A,10.5,A,1.1,A
2015-10-06 00:00:00+00:00,13.8,A,14181500,733.0,A,795.0,A,1210.0,A,51.0,A,10.5,A,1.2,A
2015-10-07 00:00:00+00:00,13.9,A,14181500,736.0,A,795.0,A,1140.0,A,51.0,A,10.5,A,1.2,A
2015-10-08 00:00:00+00:00,14.2,A,14181500,735.0,A,787.0,A,1120.0,A,52.0,A,10.2,A,1.3,A
2015-10-09 00:00:00+00:00,13.8,A,14181500,733.0,A,799.0,A,1180.0,A,52.0,A,10.5,A,1.3,A
2015-10-10 00:00:00+00:00,13.2,A,14181500,731.0,A,815.0,A,1170.0,A,51.0,A,10.8,A,1.4,A
2015-10-11 00:00:00+00:00,13.1,A,14181500,735.0,A,818.0,A,1170.0,A,51.0,A,10.8,A,1.7,A
2015-10-12 00:00:00+00:00,13.1,A,14181500,735.0,A,807.0,A,1160.0,A,52.0,A,10.5,A,2.0,A
2015-10-13 00:00:00+00:00,12.4,A,14181500,736.0,A,832.0,A,1160.0,A,51.0,A,11.1,A,2.3,A
2015-10-14 00:00:00+00:00,12.1,A,14181500,734.0,A,850.0,A,1160.0,A,51.0,A,11.7,A,2.9,A
2015-10-15 00:00:00+00:00,11.7,A,14181500,732.0,A,869.0,A,1070.0,A,51.0,A,12.1,A,3.3,A
2015-10-16 00:00:00+00:00,11.4,A,14181500,730.0,A,857.0,A,1070.0,A,50.0,A,12.0,A,3.6,A
2015-10-17 00:00:00+00:00,11.3,A,14181500,730.0,A,859.0,A,1040.0,A,50.0,A,11.9,A,3.9,A
2015-10-18 00:00:00+00:00,11.4,A,14181500,732.0,A,864.0,A,1020.0,A,50.0,A,11.9,A,4.0,A
2015-10-19 00:00:00+00:00,11.3,A,14181500,733.0,A,869.0,A,1020.0,A,50.0,A,11.8,A,4.0,A
2015-10-20 00:00:00+00:00,11.2,A,14181500,737.0,A,,,1020.0,A,51.0,A,11.9,A,4.0,A
2015-10-21 00:00:00+00:00,11.3,A,14181500,736.0,A,873.0,A,1020.0,A,52.0,A,11.8,A,3.4,A
2015-10-22 00:00:00+00:00,11.0,A,14181500,737.0,A,878.0,A,1020.0,A,51.0,A,12.0,A,3.1,A
2015-10-23 00:00:00+00:00,11.1,A,14181500,734.0,A,868.0,A,1020.0,A,51.0,A,11.9,A,3.2,A
2015-10-24 00:00:00+00:00,11.2,A,14181500,730.0,A,860.0,A,1020.0,A,51.0,A,11.7,A,2.9,A
2015-10-25 00:00:00+00:00,11.1,A,14181500,728.0,A,855.0,A,1020.0,A,52.0,A,11.7,A,2.5,A
2015-10-26 00:00:00+00:00,11.0,A,14181500,733.0,A,861.0,A,1020.0,A,52.0,A,11.8,A,1.2,A
2015-10-27 00:00:00+00:00,11.2,A,14181500,732.0,A,846.0,A,1020.0,A,52.0,A,11.7,A,0.9,A
2015-10-28 00:00:00+00:00,11.1,A,14181500,732.0,A,847.0,A,1020.0,A,52.0,A,11.8,A,0.8,A
2015-10-29 00:00:00+00:00,11.3,A,14181500,735.0,A,850.0,A,1020.0,A,52.0,A,11.8,A,0.9,A
