datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2015-10-01 00:00:00+00:00,12.0,A,12362500,2580.0,A
2015-10-02 00:00:00+00:00,11.9,A,12362500,2630.0,A
2015-10-03 00:00:00+00:00,11.1,A,12362500,2650.0,A
2015-10-04 00:00:00+00:00,11.9,A,12362500,2630.0,A
2015-10-05 00:00:00+00:00,11.6,A,12362500,2640.0,A
2015-10-06 00:00:00+00:00,11.5,A,12362500,2670.0,A
2015-10-07 00:00:00+00:00,11.4,A,12362500,2690.0,A
2015-10-08 00:00:00+00:00,11.4,A,12362500,2690.0,A
2015-10-09 00:00:00+00:00,11.6,A,12362500,2680.0,A
2015-10-10 00:00:00+00:00,11.6,A,12362500,2680.0,A
2015-10-11 00:00:00+00:00,10.2,A,12362500,2670.0,A
2015-10-12 00:00:00+00:00,10.2,A,12362500,2670.0,A
2015-10-13 00:00:00+00:00,10.7,A,12362500,2660.0,A
2015-10-14 00:00:00+00:00,10.6,A,12362500,2690.0,A
2015-10-15 00:00:00+00:00,10.9,A,12362500,2720.0,A
2015-10-16 00:00:00+00:00,11.1,A,12362500,2700.0,A
2015-10-17 00:00:00+00:00,10.9,A,12362500,2730.0,A
2015-10-18 00:00:00+00:00,10.8,A,12362500,2820.0,A
2015-10-19 00:00:00+00:00,10.9,A,12362500,2810.0,A
2015-10-20 00:00:00+00:00,11.0,A,12362500,2750.0,A
2015-10-21 00:00:00+00:00,10.6,A,12362500,2760.0,A
2015-10-22 00:00:00+00:00,10.3,A,12362500,2770.0,A
2015-10-23 00:00:00+00:00,10.2,A,12362500,2800.0,A
2015-10-24 00:00:00+00:00,10.1,A,12362500,2770.0,A
2015-10-25 00:00:00+00:00,10.0,A,12362500,2790.0,A
2015-10-26 00:00:00+00:00,9.3,A,12362500,2800.0,A
2015-10-27 00:00:00+00:00,7.2,A,12362500,2810.0,A
2015-10-28 00:00:00+00:00,4.5,A,12362500,2810.0,A
2015-10-29 00:00:00+00:00,4.0,A,12362500,2820.0,A
2015-10-30 00:00:00+00:00,4.0,A,12362500,2820.0,A
2015-10-31 00:00:00+00:00,4.0,A,12362500,2830.0,A
2015-11-01 00:00:00+00:00,4.0,A,12362500,2800.0,A
2015-11-02 00:00:00+00:00,4.0,A,12362500,3130.0,A
2015-11-03 00:00:00+00:00,4.0,A,12362500,3280.0,A
2015-11-04 00:00:00+00:00,4.0,A,12362500,3300.0,A
2015-11-05 00:00:00+00:00,4.0,A,12362500,3150.0,A
2015-11-06 00:00:00+00:00,4.0,A,12362500,2740.0,A
2015-11-07 00:00:00+00:00,4.2,A,12362500,2430.0,A
2015-11-08 00:00:00+00:00,4.2,A,12362500,2360.0,A
2015-11-09 00:00:00+00:00,4.2,A,12362500,2320.0,A
2015-11-10 00:00:00+00:00,4.1,A,12362500,2330.0,A
2015-11-11 00:00:00+00:00,4.0,A,12362500,2380.0,A
2015-11-12 00:00:00+00:00,4.1,A,12362500,2440.0,A
2015-11-13 00:00:00+00:00,4.1,A,12362500,2440.0,A
2015-11-14 00:00:00+00:00,4.4,A,12362500,2280.0,A
2015-11-15 00:00:00+00:00,4.5,A,12362500,1790.0,A
2015-11-16 00:00:00+00:00,4.3,A,12362500,1500.0,A
2015-11-17 00:00:00+00:00,4.2,A,12362500,1490.0,A
2015-11-18 00:00:00+00:00,4.0,A,12362500,1340.0,A
2015-11-19 00:00:00+00:00,4.2,A,12362500,1160.0,A
2015-11-20 00:00:00+00:00,4.0,A,12362500,1480.0,A
2015-11-21 00:00:00+00:00,4.1,A,12362500,1750.0,A
2015-11-22 00:00:00+00:00,4.2,A,12362500,1910.0,A
2015-11-23 00:00:00+00:00,4.3,A,12362500,1960.0,A
2015-11-24 00:00:00+00:00,4.5,A,12362500,2010.0,A
2015-11-25 00:00:00+00:00,4.5,A,12362500,2190.0,A
2015-11-26 00:00:00+00:00,4.4,A,12362500,2480.0,A
2015-11-27 00:00:00+00:00,4.3,A,12362500,2600.0,A
2015-11-28 00:00:00+00:00,4.3,A,12362500,2700.0,"A, e"
2015-11-29 00:00:00+00:00,4.2,A,12362500,2650.0,"A, e"
2015-11-30 00:00:00+00:00,4.1,A,12362500,2600.0,"A, e"
2015-12-01 00:00:00+00:00,4.0,A,12362500,2550.0,"A, e"
2015-12-02 00:00:00+00:00,4.1,A,12362500,2500.0,"A, e"
2015-12-03 00:00:00+00:00,4.1,A,12362500,2410.0,A
2015-12-04 00:00:00+00:00,4.1,A,12362500,2260.0,A
2015-12-05 00:00:00+00:00,4.4,A,12362500,2230.0,A
2015-12-06 00:00:00+00:00,4.5,A,12362500,2310.0,A
2015-12-07 00:00:00+00:00,4.6,A,12362500,2240.0,A
2015-12-08 00:00:00+00:00,4.6,A,12362500,2150.0,A
2015-12-09 00:00:00+00:00,4.7,A,12362500,1830.0,A
2015-12-10 00:00:00+00:00,4.6,A,12362500,1250.0,A
2015-12-11 00:00:00+00:00,4.6,A,12362500,1190.0,A
2015-12-12 00:00:00+00:00,4.6,A,12362500,1310.0,A
2015-12-13 00:00:00+00:00,4.6,A,12362500,1200.0,A
2015-12-14 00:00:00+00:00,4.5,A,12362500,1140.0,A
2015-12-15 00:00:00+00:00,4.5,A,12362500,1140.0,A
2015-12-16 00:00:00+00:00,4.5,A,12362500,1120.0,A
2015-12-17 00:00:00+00:00,4.4,A,12362500,1090.0,A
2015-12-18 00:00:00+00:00,4.3,A,12362500,1150.0,A
2015-12-19 00:00:00+00:00,4.4,A,12362500,1070.0,A
2015-12-20 00:00:00+00:00,4.3,A,12362500,1110.0,A
2015-12-21 00:00:00+00:00,4.3,A,12362500,1260.0,A
2015-12-22 00:00:00+00:00,4.2,A,12362500,1300.0,A
2015-12-23 00:00:00+00:00,4.2,A,12362500,1380.0,A
2015-12-24 00:00:00+00:00,4.1,A,12362500,1430.0,A
2015-12-25 00:00:00+00:00,4.1,A,12362500,1590.0,A
2015-12-26 00:00:00+00:00,4.1,A,12362500,1830.0,A
2015-12-27 00:00:00+00:00,4.0,A,12362500,1980.0,A
2015-12-28 00:00:00+00:00,4.0,A,12362500,1990.0,A
2015-12-29 00:00:00+00:00,4.0,A,12362500,1990.0,A
2015-12-30 00:00:00+00:00,4.1,A,12362500,2050.0,A
2015-12-31 00:00:00+00:00,4.1,A,12362500,2140.0,A
2016-01-01 00:00:00+00:00,4.1,A,12362500,2140.0,A
2016-01-02 00:00:00+00:00,4.1,A,12362500,2340.0,A
2016-01-03 00:00:00+00:00,4.1,A,12362500,2800.0,A
2016-01-04 00:00:00+00:00,4.0,A,12362500,2590.0,A
2016-01-05 00:00:00+00:00,4.1,A,12362500,2370.0,A
2016-01-06 00:00:00+00:00,4.0,A,12362500,2220.0,A
2016-01-07 00:00:00+00:00,4.0,A,12362500,2200.0,A
2016-01-08 00:00:00+00:00,4.0,A,12362500,2210.0,A
2016-01-09 00:00:00+00:00,4.0,A,12362500,2270.0,A
2016-01-10 00:00:00+00:00,4.0,A,12362500,2310.0,A
2016-01-11 00:00:00+00:00,4.0,A,12362500,2350.0,A
2016-01-12 00:00:00+00:00,4.1,A,12362500,2380.0,A
2016-01-13 00:00:00+00:00,4.1,A,12362500,2340.0,A
2016-01-14 00:00:00+00:00,4.1,A,12362500,2240.0,A
2016-01-15 00:00:00+00:00,4.1,A,12362500,2240.0,A
2016-01-16 00:00:00+00:00,4.1,A,12362500,2310.0,A
2016-01-17 00:00:00+00:00,4.1,A,12362500,2340.0,A
2016-01-18 00:00:00+00:00,4.1,A,12362500,2330.0,A
2016-01-19 00:00:00+00:00,4.1,A,12362500,2290.0,A
2016-01-20 00:00:00+00:00,4.1,A,12362500,2310.0,A
2016-01-21 00:00:00+00:00,4.1,A,12362500,2330.0,A
2016-01-22 00:00:00+00:00,4.1,A,12362500,2350.0,A
2016-01-23 00:00:00+00:00,4.1,A,12362500,2340.0,A
2016-01-24 00:00:00+00:00,4.1,A,12362500,2320.0,A
2016-01-25 00:00:00+00:00,4.1,A,12362500,2400.0,A
2016-01-26 00:00:00+00:00,4.1,A,12362500,2590.0,A
2016-01-27 00:00:00+00:00,4.1,A,12362500,2670.0,A
2016-01-28 00:00:00+00:00,4.1,A,12362500,2660.0,A
2016-01-29 00:00:00+00:00,4.1,A,12362500,2430.0,A
2016-01-30 00:00:00+00:00,4.1,A,12362500,2300.0,A
2016-01-31 00:00:00+00:00,4.1,A,12362500,2360.0,A
2016-02-01 00:00:00+00:00,4.0,A,12362500,2420.0,A
2016-02-02 00:00:00+00:00,4.0,A,12362500,2530.0,A
2016-02-03 00:00:00+00:00,4.0,A,12362500,2580.0,A
