datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd
2016-10-01 00:00:00+00:00,13.0,A,09361500,533.0,A,394.0,A
2016-10-02 00:00:00+00:00,12.2,A,09361500,500.0,A,402.0,A
2016-10-03 00:00:00+00:00,11.8,A,09361500,477.0,A,418.0,A
2016-10-04 00:00:00+00:00,10.0,A,09361500,491.0,A,412.0,A
2016-10-05 00:00:00+00:00,9.3,A,09361500,450.0,A,430.0,A
2016-10-06 00:00:00+00:00,9.6,A,09361500,438.0,A,438.0,A
2016-10-07 00:00:00+00:00,9.2,A,09361500,414.0,A,444.0,A
2016-10-08 00:00:00+00:00,9.2,A,09361500,391.0,A,460.0,A
2016-10-09 00:00:00+00:00,9.4,A,09361500,398.0,A,444.0,A
2016-10-10 00:00:00+00:00,9.5,A,09361500,380.0,A,467.0,A
2016-10-11 00:00:00+00:00,10.7,A,09361500,374.0,A,475.0,A
2016-10-12 00:00:00+00:00,11.0,A,09361500,371.0,A,477.0,A
2016-10-13 00:00:00+00:00,11.3,A,09361500,358.0,A,482.0,A
2016-10-14 00:00:00+00:00,10.9,A,09361500,348.0,A,492.0,A
2016-10-15 00:00:00+00:00,10.8,A,09361500,337.0,A,502.0,A
2016-10-16 00:00:00+00:00,10.8,A,09361500,328.0,A,508.0,A
2016-10-17 00:00:00+00:00,10.8,A,09361500,317.0,A,515.0,A
2016-10-18 00:00:00+00:00,10.7,A,09361500,309.0,A,524.0,A
2016-10-19 00:00:00+00:00,10.3,A,09361500,311.0,A,528.0,A
2016-10-20 00:00:00+00:00,9.1,A,09361500,301.0,A,533.0,A
2016-10-21 00:00:00+00:00,8.8,A,09361500,296.0,A,543.0,A
2016-10-22 00:00:00+00:00,9.1,A,09361500,290.0,A,547.0,A
2016-10-23 00:00:00+00:00,9.8,A,09361500,286.0,A,546.0,A
2016-10-24 00:00:00+00:00,9.8,A,09361500,280.0,A,548.0,A
2016-10-25 00:00:00+00:00,10.4,A,09361500,277.0,A,551.0,A
2016-10-26 00:00:00+00:00,10.0,A,09361500,286.0,A,548.0,A
2016-10-27 00:00:00+00:00,10.3,A,09361500,279.0,A,544.0,A
2016-10-28 00:00:00+00:00,10.5,A,09361500,273.0,A,551.0,A
2016-10-29 00:00:00+00:00,11.0,A,09361500,269.0,A,557.0,A
2016-10-30 00:00:00+00:00,10.9,A,09361500,263.0,A,559.0,A
2016-10-31 00:00:00+00:00,10.7,A,09361500,261.0,A,564.0,A
2016-11-01 00:00:00+00:00,10.4,A,09361500,258.0,A,565.0,A
2016-11-02 00:00:00+00:00,10.1,A,09361500,253.0,A,570.0,A
2016-11-03 00:00:00+00:00,9.3,A,09361500,253.0,A,571.0,A
2016-11-04 00:00:00+00:00,8.4,A,09361500,267.0,A,550.0,A
2016-11-05 00:00:00+00:00,8.0,A,09361500,288.0,A,522.0,A
2016-11-06 00:00:00+00:00,8.9,A,09361500,283.0,A,543.0,A
2016-11-07 00:00:00+00:00,9.1,A,09361500,268.0,A,545.0,A
2016-11-08 00:00:00+00:00,8.9,A,09361500,256.0,A,559.0,A
2016-11-09 00:00:00+00:00,8.8,A,09361500,250.0,A,569.0,A
2016-11-10 00:00:00+00:00,8.4,A,09361500,249.0,A,575.0,A
2016-11-11 00:00:00+00:00,7.9,A,09361500,247.0,A,570.0,A
2016-11-12 00:00:00+00:00,7.7,A,09361500,245.0,A,576.0,A
2016-11-13 00:00:00+00:00,7.5,A,09361500,241.0,A,573.0,A
2016-11-14 00:00:00+00:00,7.1,A,09361500,235.0,A,580.0,A
2016-11-15 00:00:00+00:00,7.1,A,09361500,230.0,A,587.0,A
2016-11-16 00:00:00+00:00,7.1,A,09361500,232.0,A,586.0,A
2016-11-17 00:00:00+00:00,6.6,A,09361500,230.0,A,586.0,A
2016-11-18 00:00:00+00:00,4.7,A,09361500,223.0,A,589.0,A
2016-11-19 00:00:00+00:00,4.5,A,09361500,205.0,A,604.0,A
2016-11-20 00:00:00+00:00,5.6,A,09361500,219.0,A,622.0,A
2016-11-21 00:00:00+00:00,6.2,A,09361500,258.0,A,537.0,A
2016-11-22 00:00:00+00:00,6.2,A,09361500,251.0,A,551.0,A
2016-11-23 00:00:00+00:00,5.7,A,09361500,234.0,A,562.0,A
2016-11-24 00:00:00+00:00,5.0,A,09361500,214.0,A,583.0,A
2016-11-25 00:00:00+00:00,4.1,A,09361500,215.0,A,598.0,A
2016-11-26 00:00:00+00:00,3.6,A,09361500,197.0,A,602.0,A
2016-11-27 00:00:00+00:00,4.3,A,09361500,214.0,A,611.0,A
2016-11-28 00:00:00+00:00,3.1,A,09361500,221.0,A,596.0,A
2016-11-29 00:00:00+00:00,2.8,A,09361500,215.0,A,595.0,A
2016-11-30 00:00:00+00:00,1.7,A,09361500,205.0,A,600.0,A
2016-12-01 00:00:00+00:00,1.9,A,09361500,198.0,A,613.0,A
2016-12-02 00:00:00+00:00,2.6,A,09361500,220.0,A,622.0,A
2016-12-03 00:00:00+00:00,2.7,A,09361500,232.0,A,588.0,A
2016-12-04 00:00:00+00:00,2.2,A,09361500,205.0,A,583.0,A
2016-12-05 00:00:00+00:00,2.7,A,09361500,202.0,A,615.0,A
2016-12-06 00:00:00+00:00,2.6,A,09361500,222.0,A,595.0,A
2016-12-07 00:00:00+00:00,2.0,A,09361500,215.0,A,586.0,A
2016-12-08 00:00:00+00:00,1.0,A,09361500,193.0,A,590.0,A
2016-12-09 00:00:00+00:00,2.4,A,09361500,196.0,A,618.0,A
2016-12-10 00:00:00+00:00,2.7,A,09361500,221.0,A,588.0,A
2016-12-11 00:00:00+00:00,3.4,A,09361500,208.0,A,589.0,A
2016-12-12 00:00:00+00:00,3.6,A,09361500,206.0,A,593.0,A
2016-12-13 00:00:00+00:00,3.3,A,09361500,210.0,A,589.0,A
2016-12-14 00:00:00+00:00,4.3,A,09361500,208.0,A,582.0,A
2016-12-15 00:00:00+00:00,4.0,A,09361500,211.0,A,582.0,A
2016-12-16 00:00:00+00:00,3.6,A,09361500,235.0,"A, e",547.0,A
2016-12-17 00:00:00+00:00,3.4,A,09361500,247.0,A,569.0,A
2016-12-18 00:00:00+00:00,1.2,A,09361500,201.0,A,565.0,A
2016-12-19 00:00:00+00:00,0.6,A,09361500,184.0,"A, e",607.0,A
2016-12-20 00:00:00+00:00,1.3,A,09361500,196.0,A,628.0,A
2016-12-21 00:00:00+00:00,2.7,A,09361500,203.0,A,606.0,A
2016-12-22 00:00:00+00:00,2.6,A,09361500,233.0,A,597.0,A
2016-12-23 00:00:00+00:00,2.6,A,09361500,239.0,A,563.0,A
2016-12-24 00:00:00+00:00,3.9,A,09361500,236.0,A,552.0,A
2016-12-25 00:00:00+00:00,2.7,A,09361500,229.0,A,575.0,A
2016-12-26 00:00:00+00:00,1.4,A,09361500,204.0,A,574.0,A
2016-12-27 00:00:00+00:00,1.1,A,09361500,185.0,"A, e",602.0,A
2016-12-28 00:00:00+00:00,1.7,A,09361500,191.0,"A, e",608.0,A
2016-12-29 00:00:00+00:00,2.0,A,09361500,206.0,A,598.0,A
2016-12-30 00:00:00+00:00,2.1,A,09361500,196.0,A,587.0,A
2016-12-31 00:00:00+00:00,2.4,A,09361500,205.0,A,599.0,A
2017-01-01 00:00:00+00:00,3.1,A,09361500,208.0,A,583.0,A
2017-01-02 00:00:00+00:00,3.2,A,09361500,214.0,A,583.0,A
2017-01-03 00:00:00+00:00,2.5,A,09361500,218.0,A,588.0,A
2017-01-04 00:00:00+00:00,2.7,A,09361500,211.0,A,570.0,A
2017-01-05 00:00:00+00:00,3.4,A,09361500,220.0,A,559.0,A
2017-01-06 00:00:00+00:00,2.5,A,09361500,214.0,A,562.0,A
2017-01-07 00:00:00+00:00,1.1,A,09361500,187.0,A,573.0,A
2017-01-08 00:00:00+00:00,2.0,A,09361500,182.0,A,611.0,A
2017-01-09 00:00:00+00:00,2.8,A,09361500,244.0,A,593.0,A
2017-01-10 00:00:00+00:00,3.1,A,09361500,254.0,A,535.0,A
2017-01-11 00:00:00+00:00,4.0,A,09361500,237.0,A,545.0,A
2017-01-12 00:00:00+00:00,3.5,A,09361500,232.0,A,554.0,A
2017-01-13 00:00:00+00:00,3.8,A,09361500,226.0,A,562.0,A
2017-01-14 00:00:00+00:00,4.9,A,09361500,229.0,A,563.0,A
2017-01-15 00:00:00+00:00,5.2,A,09361500,223.0,A,558.0,A
2017-01-16 00:00:00+00:00,5.1,A,09361500,223.0,A,575.0,A
2017-01-17 00:00:00+00:00,5.0,A,09361500,230.0,A,570.0,A
2017-01-18 00:00:00+00:00,4.7,A,09361500,224.0,A,576.0,A
2017-01-19 00:00:00+00:00,3.7,A,09361500,208.0,A,588.0,A
2017-01-20 00:00:00+00:00,3.1,A,09361500,215.0,A,619.0,A
2017-01-21 00:00:00+00:00,2.0,A,09361500,229.0,A,577.0,A
2017-01-22 00:00:00+00:00,1.1,A,09361500,209.0,A,592.0,A
