datetime,00010_Mean,00010_Mean_cd,site_no,00025_Mean,00025_Mean_cd,00047_Mean,00047_Mean_cd,00060_Mean,00060_Mean_cd
2017-10-01 00:00:00+00:00,9.9,A,14181500,736.0,A,731.0,A,2180.0,A
2017-10-02 00:00:00+00:00,9.9,A,14181500,735.0,A,727.0,A,2300.0,A
2017-10-03 00:00:00+00:00,9.9,A,14181500,736.0,A,727.0,A,2670.0,A
2017-10-04 00:00:00+00:00,10.2,A,14181500,735.0,A,775.0,A,2740.0,A
2017-10-05 00:00:00+00:00,10.4,A,14181500,736.0,A,727.0,A,2710.0,A
2017-10-06 00:00:00+00:00,10.3,A,14181500,735.0,A,728.0,A,2990.0,A
2017-10-07 00:00:00+00:00,10.5,A,14181500,734.0,A,725.0,A,3030.0,A
2017-10-08 00:00:00+00:00,10.9,A,14181500,738.0,A,726.0,A,3040.0,A
2017-10-09 00:00:00+00:00,10.9,A,14181500,736.0,A,726.0,A,3040.0,A
2017-10-10 00:00:00+00:00,10.9,A,14181500,731.0,A,724.0,"A, [4]",3020.0,A
2017-10-11 00:00:00+00:00,11.2,A,14181500,734.0,A,725.0,A,3020.0,A
2017-10-12 00:00:00+00:00,11.2,A,14181500,736.0,A,726.0,A,3030.0,A
2017-10-13 00:00:00+00:00,11.3,A,14181500,739.0,A,728.0,A,3040.0,A
2017-10-14 00:00:00+00:00,11.6,A,14181500,743.0,A,905.0,A,3030.0,A
2017-10-15 00:00:00+00:00,11.5,A,14181500,739.0,A,894.0,A,2980.0,A
2017-10-16 00:00:00+00:00,11.6,A,14181500,737.0,A,886.0,A,2930.0,A
2017-10-17 00:00:00+00:00,11.8,A,14181500,736.0,A,893.0,A,3100.0,A
2017-10-18 00:00:00+00:00,11.9,A,14181500,731.0,A,899.0,A,3090.0,A
2017-10-19 00:00:00+00:00,11.9,A,14181500,724.0,A,894.0,A,3250.0,A
2017-10-20 00:00:00+00:00,11.6,A,14181500,730.0,A,901.0,A,3390.0,A
2017-10-21 00:00:00+00:00,11.4,A,14181500,731.0,A,909.0,A,3640.0,A
2017-10-22 00:00:00+00:00,11.0,A,14181500,739.0,A,927.0,A,4010.0,A
2017-10-23 00:00:00+00:00,10.8,A,14181500,746.0,A,919.0,A,3380.0,A
2017-10-24 00:00:00+00:00,10.4,A,14181500,740.0,A,926.0,A,4150.0,A
2017-10-25 00:00:00+00:00,9.9,A,14181500,736.0,A,879.0,A,5560.0,A
2017-10-26 00:00:00+00:00,10.1,A,14181500,735.0,A,841.0,A,5460.0,A
2017-10-27 00:00:00+00:00,10.4,A,14181500,735.0,A,808.0,A,5130.0,A
2017-10-28 00:00:00+00:00,10.4,A,14181500,733.0,A,805.0,A,5090.0,A
2017-10-29 00:00:00+00:00,10.5,A,14181500,732.0,A,804.0,A,5080.0,A
2017-10-30 00:00:00+00:00,11.2,A,14181500,733.0,A,801.0,A,5110.0,A
2017-10-31 00:00:00+00:00,10.9,A,14181500,733.0,A,800.0,A,5120.0,A
2017-11-01 00:00:00+00:00,10.6,A,14181500,730.0,A,800.0,A,5120.0,A
2017-11-02 00:00:00+00:00,10.6,A,14181500,728.0,A,829.0,A,5620.0,A
2017-11-03 00:00:00+00:00,10.4,A,14181500,731.0,A,867.0,A,5980.0,A
2017-11-04 00:00:00+00:00,10.5,A,14181500,732.0,A,867.0,A,5950.0,A
2017-11-05 00:00:00+00:00,10.4,A,14181500,730.0,A,864.0,A,5960.0,A
2017-11-06 00:00:00+00:00,10.4,A,14181500,737.0,A,870.0,A,5960.0,A
2017-11-07 00:00:00+00:00,10.5,A,14181500,735.0,A,867.0,A,5950.0,A
2017-11-08 00:00:00+00:00,10.5,A,14181500,727.0,A,861.0,A,5950.0,A
2017-11-09 00:00:00+00:00,10.4,A,14181500,727.0,A,859.0,A,5960.0,A
2017-11-10 00:00:00+00:00,10.2,A,14181500,730.0,A,859.0,A,5970.0,A
2017-11-11 00:00:00+00:00,10.1,A,14181500,733.0,A,860.0,A,5960.0,A
2017-11-12 00:00:00+00:00,10.0,A,14181500,731.0,A,857.0,A,5950.0,A
2017-11-13 00:00:00+00:00,9.9,A,14181500,731.0,A,854.0,A,5970.0,A
2017-11-14 00:00:00+00:00,9.6,A,14181500,734.0,A,859.0,A,5130.0,A
2017-11-15 00:00:00+00:00,9.8,A,14181500,725.0,A,837.0,A,4530.0,A
2017-11-16 00:00:00+00:00,9.4,A,14181500,726.0,A,801.0,A,4880.0,A
2017-11-17 00:00:00+00:00,9.3,A,14181500,737.0,A,804.0,A,4880.0,A
2017-11-18 00:00:00+00:00,9.1,A,14181500,738.0,A,781.0,A,4460.0,A
2017-11-19 00:00:00+00:00,9.1,A,14181500,732.0,A,776.0,A,4440.0,A
2017-11-20 00:00:00+00:00,9.0,A,14181500,728.0,A,776.0,A,4500.0,A
2017-11-21 00:00:00+00:00,8.6,A,14181500,733.0,A,788.0,A,4580.0,A
2017-11-22 00:00:00+00:00,8.7,A,14181500,734.0,A,786.0,A,4590.0,A
2017-11-23 00:00:00+00:00,8.4,A,14181500,732.0,A,795.0,A,4810.0,A
2017-11-24 00:00:00+00:00,8.0,A,14181500,736.0,A,810.0,A,4930.0,A
2017-11-25 00:00:00+00:00,8.3,A,14181500,730.0,A,794.0,A,4590.0,A
2017-11-26 00:00:00+00:00,8.2,A,14181500,725.0,A,789.0,A,4590.0,A
2017-11-27 00:00:00+00:00,7.7,A,14181500,735.0,A,801.0,A,4760.0,A
2017-11-28 00:00:00+00:00,7.8,A,14181500,736.0,A,798.0,A,4720.0,A
2017-11-29 00:00:00+00:00,7.8,A,14181500,741.0,A,803.0,A,4680.0,A
2017-11-30 00:00:00+00:00,7.7,A,14181500,737.0,A,800.0,A,4720.0,A
2017-12-01 00:00:00+00:00,7.7,A,14181500,735.0,A,798.0,A,4750.0,A
2017-12-02 00:00:00+00:00,7.5,A,14181500,731.0,A,795.0,A,4730.0,A
2017-12-03 00:00:00+00:00,7.3,A,14181500,737.0,A,797.0,A,4730.0,A
2017-12-04 00:00:00+00:00,7.2,A,14181500,744.0,A,805.0,A,4740.0,A
2017-12-05 00:00:00+00:00,7.3,A,14181500,744.0,A,802.0,A,4710.0,A
2017-12-06 00:00:00+00:00,7.3,A,14181500,744.0,A,794.0,A,4290.0,A
2017-12-07 00:00:00+00:00,7.1,A,14181500,745.0,A,794.0,A,4250.0,A
2017-12-08 00:00:00+00:00,7.0,A,14181500,744.0,A,795.0,A,4220.0,A
2017-12-09 00:00:00+00:00,6.9,A,14181500,743.0,A,794.0,A,4220.0,A
2017-12-10 00:00:00+00:00,6.7,A,14181500,741.0,A,793.0,A,4220.0,A
2017-12-11 00:00:00+00:00,6.6,A,14181500,742.0,A,794.0,A,4230.0,A
2017-12-12 00:00:00+00:00,6.5,A,14181500,742.0,A,796.0,A,4230.0,A
2017-12-13 00:00:00+00:00,6.4,A,14181500,740.0,A,794.0,A,4260.0,A
2017-12-14 00:00:00+00:00,6.3,A,14181500,739.0,A,786.0,A,4160.0,A
2017-12-15 00:00:00+00:00,6.2,A,14181500,739.0,A,784.0,A,4110.0,A
2017-12-16 00:00:00+00:00,6.1,A,14181500,740.0,A,784.0,A,4100.0,A
2017-12-17 00:00:00+00:00,6.0,A,14181500,737.0,A,783.0,A,4080.0,A
2017-12-18 00:00:00+00:00,6.1,A,14181500,736.0,A,771.0,A,3860.0,A
2017-12-19 00:00:00+00:00,6.0,A,14181500,728.0,A,750.0,A,3090.0,A
2017-12-20 00:00:00+00:00,5.8,A,14181500,736.0,A,738.0,A,2620.0,A
2017-12-21 00:00:00+00:00,5.5,A,14181500,741.0,A,741.0,A,2700.0,A
2017-12-22 00:00:00+00:00,5.6,A,14181500,738.0,A,737.0,A,2730.0,A
2017-12-23 00:00:00+00:00,5.6,A,14181500,740.0,A,737.0,A,2400.0,A
2017-12-24 00:00:00+00:00,5.4,A,14181500,737.0,A,726.0,A,2180.0,A
2017-12-25 00:00:00+00:00,5.5,A,14181500,738.0,A,725.0,A,2220.0,A
2017-12-26 00:00:00+00:00,5.5,A,14181500,738.0,A,726.0,A,2340.0,A
2017-12-27 00:00:00+00:00,5.5,A,14181500,739.0,A,726.0,A,2140.0,A
2017-12-28 00:00:00+00:00,5.4,A,14181500,737.0,A,728.0,A,2180.0,A
2017-12-29 00:00:00+00:00,5.6,A,14181500,733.0,A,731.0,A,1770.0,A
2017-12-30 00:00:00+00:00,5.8,A,14181500,738.0,A,733.0,A,1740.0,A
2017-12-31 00:00:00+00:00,5.4,A,14181500,736.0,A,729.0,A,1700.0,A
2018-01-01 00:00:00+00:00,5.1,A,14181500,740.0,A,727.0,A,1720.0,A
