datetime,00010_Mean,00010_Mean_cd,site_no,00025_Mean,00025_Mean_cd,00047_Mean,00047_Mean_cd,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd
2018-10-01 00:00:00+00:00,12.8,A,14181500,729.0,A,725.0,A,2190.0,A,,,,
2018-10-02 00:00:00+00:00,13.0,A,14181500,729.0,A,753.0,A,2220.0,A,,,,
2018-10-03 00:00:00+00:00,11.9,A,14181500,730.0,A,808.0,A,2210.0,A,,,,
2018-10-04 00:00:00+00:00,10.7,A,14181500,733.0,A,813.0,A,2200.0,A,,,,
2018-10-05 00:00:00+00:00,10.8,A,14181500,733.0,A,898.0,A,2200.0,A,,,,
2018-10-06 00:00:00+00:00,10.8,A,14181500,734.0,A,900.0,A,2200.0,A,,,,
2018-10-07 00:00:00+00:00,11.1,A,14181500,737.0,A,903.0,A,2200.0,A,,,,
2018-10-08 00:00:00+00:00,11.3,A,14181500,733.0,A,899.0,A,2200.0,A,,,,
2018-10-09 00:00:00+00:00,11.5,A,14181500,731.0,A,865.0,A,2230.0,A,,,,
2018-10-10 00:00:00+00:00,11.5,A,14181500,732.0,A,821.0,"A, [4]",2250.0,A,,,,
2018-10-11 00:00:00+00:00,11.5,A,14181500,734.0,A,826.0,A,2250.0,A,,,,
2018-10-12 00:00:00+00:00,11.7,A,14181500,734.0,A,825.0,A,2260.0,A,,,,
2018-10-13 00:00:00+00:00,11.8,A,14181500,735.0,A,827.0,A,2250.0,A,,,,
2018-10-14 00:00:00+00:00,11.8,A,14181500,738.0,A,835.0,A,2220.0,A,,,,
2018-10-15 00:00:00+00:00,11.9,A,14181500,739.0,A,836.0,A,2220.0,A,,,,
2018-10-16 00:00:00+00:00,11.8,A,14181500,738.0,A,820.0,A,2240.0,A,,,,
2018-10-17 00:00:00+00:00,12.1,A,14181500,736.0,A,801.0,A,2250.0,A,,,,
2018-10-18 00:00:00+00:00,12.1,A,14181500,737.0,A,800.0,A,2250.0,A,,,,
2018-10-19 00:00:00+00:00,13.0,A,14181500,738.0,A,770.0,A,2210.0,A,,,,
2018-10-20 00:00:00+00:00,14.0,A,14181500,734.0,A,739.0,A,2200.0,A,,,,
2018-10-21 00:00:00+00:00,14.0,A,14181500,732.0,A,734.0,A,2200.0,A,,,,
2018-10-22 00:00:00+00:00,14.0,A,14181500,730.0,A,733.0,A,2190.0,A,,,,
2018-10-23 00:00:00+00:00,14.0,A,14181500,732.0,A,732.0,A,2210.0,A,,,,
2018-10-24 00:00:00+00:00,13.9,A,14181500,734.0,A,736.0,A,2190.0,A,,,,
2018-10-25 00:00:00+00:00,14.0,A,14181500,735.0,A,734.0,A,2220.0,A,,,,
2018-10-26 00:00:00+00:00,13.3,A,14181500,735.0,A,764.0,A,1970.0,A,,,,
2018-10-27 00:00:00+00:00,12.9,A,14181500,732.0,A,787.0,A,1650.0,A,,,,
2018-10-28 00:00:00+00:00,12.8,A,14181500,733.0,A,792.0,A,1380.0,A,,,,
2018-10-29 00:00:00+00:00,12.6,A,14181500,738.0,A,787.0,A,1370.0,A,,,,
2018-10-30 00:00:00+00:00,12.5,A,14181500,740.0,A,780.0,A,1380.0,A,,,,
2018-10-31 00:00:00+00:00,12.4,A,14181500,738.0,A,786.0,A,1380.0,A,,,,
2018-11-01 00:00:00+00:00,12.3,A,14181500,738.0,A,783.0,A,1370.0,A,,,,
2018-11-02 00:00:00+00:00,12.3,A,14181500,739.0,A,784.0,A,1330.0,A,,,,
2018-11-03 00:00:00+00:00,12.3,A,14181500,739.0,A,772.0,A,1320.0,A,,,,
2018-11-04 00:00:00+00:00,12.3,A,14181500,735.0,A,783.0,A,1320.0,A,,,,
2018-11-05 00:00:00+00:00,12.2,A,14181500,736.0,A,780.0,A,1320.0,A,,,,
2018-11-06 00:00:00+00:00,12.0,A,14181500,738.0,A,773.0,A,1320.0,A,,,,
2018-11-07 00:00:00+00:00,11.9,A,14181500,741.0,A,772.0,A,1320.0,A,,,,
2018-11-08 00:00:00+00:00,11.8,A,14181500,743.0,A,768.0,A,1330.0,A,,,,
2018-11-09 00:00:00+00:00,11.7,A,14181500,739.0,A,765.0,A,1380.0,A,,,,
2018-11-10 00:00:00+00:00,12.0,A,14181500,739.0,A,752.0,A,1370.0,A,,,,
2018-11-11 00:00:00+00:00,12.0,A,14181500,740.0,A,744.0,A,1380.0,A,,,,
2018-11-12 00:00:00+00:00,11.9,A,14181500,741.0,A,739.0,A,1380.0,A,,,,
2018-11-13 00:00:00+00:00,11.8,A,14181500,742.0,A,739.0,A,1370.0,A,,,,
2018-11-14 00:00:00+00:00,11.7,A,14181500,742.0,A,742.0,A,1350.0,A,,,,
2018-11-15 00:00:00+00:00,11.7,A,14181500,739.0,A,744.0,A,1370.0,A,,,,
2018-11-16 00:00:00+00:00,11.6,A,14181500,736.0,A,738.0,A,1360.0,A,,,,
2018-11-17 00:00:00+00:00,11.5,A,14181500,736.0,A,740.0,A,1360.0,A,,,,
2018-11-18 00:00:00+00:00,11.2,A,14181500,736.0,A,742.0,A,1360.0,A,,,,
2018-11-19 00:00:00+00:00,11.1,A,14181500,735.0,A,742.0,A,1360.0,A,,,,
2018-11-20 00:00:00+00:00,10.9,A,14181500,731.0,A,738.0,A,1360.0,A,,,,
2018-11-21 00:00:00+00:00,10.9,A,14181500,728.0,A,751.0,A,1370.0,A,,,,
2018-11-22 00:00:00+00:00,11.0,A,14181500,726.0,A,737.0,A,1370.0,A,,,,
2018-11-23 00:00:00+00:00,10.8,A,14181500,727.0,A,736.0,A,1370.0,A,,,,
2018-11-24 00:00:00+00:00,10.5,A,14181500,735.0,A,740.0,A,1850.0,A,,,,
2018-11-25 00:00:00+00:00,10.3,A,14181500,736.0,A,724.0,A,1970.0,A,,,,
2018-11-26 00:00:00+00:00,10.4,A,14181500,733.0,A,719.0,A,2000.0,A,,,,
2018-11-27 00:00:00+00:00,10.3,A,14181500,728.0,A,723.0,A,2050.0,A,,,,
2018-11-28 00:00:00+00:00,10.0,A,14181500,726.0,A,716.0,A,2270.0,A,,,,
2018-11-29 00:00:00+00:00,9.9,A,14181500,722.0,A,714.0,A,2290.0,A,,,,
2018-11-30 00:00:00+00:00,9.8,A,14181500,728.0,A,712.0,A,2730.0,A,,,,
2018-12-01 00:00:00+00:00,9.4,A,14181500,729.0,A,714.0,A,3090.0,A,,,,
2018-12-02 00:00:00+00:00,9.5,A,14181500,735.0,A,715.0,A,3280.0,A,,,,
2018-12-03 00:00:00+00:00,9.2,A,14181500,738.0,A,716.0,A,3370.0,A,,,,
2018-12-04 00:00:00+00:00,9.3,A,14181500,736.0,A,716.0,A,3350.0,A,,,,
2018-12-05 00:00:00+00:00,9.0,A,14181500,734.0,A,713.0,A,3210.0,A,,,,
2018-12-06 00:00:00+00:00,8.7,A,14181500,734.0,A,712.0,A,3240.0,A,,,,
2018-12-07 00:00:00+00:00,8.5,A,14181500,736.0,A,712.0,A,3240.0,A,,,,
2018-12-08 00:00:00+00:00,8.4,A,14181500,739.0,A,713.0,A,3230.0,A,,,,
2018-12-09 00:00:00+00:00,8.3,A,14181500,737.0,A,712.0,A,3280.0,A,,,,
2018-12-10 00:00:00+00:00,8.2,A,14181500,739.0,A,712.0,A,3260.0,A,,,,
2018-12-11 00:00:00+00:00,8.1,A,14181500,733.0,A,711.0,A,2890.0,A,,,,
2018-12-12 00:00:00+00:00,7.9,A,14181500,740.0,A,714.0,A,2450.0,A,,,,
2018-12-13 00:00:00+00:00,7.6,A,14181500,736.0,A,710.0,A,2150.0,A,,,,
2018-12-14 00:00:00+00:00,7.6,A,14181500,728.0,A,712.0,A,1860.0,A,,,,
2018-12-15 00:00:00+00:00,7.6,A,14181500,732.0,A,713.0,A,1840.0,A,,,,
2018-12-16 00:00:00+00:00,7.5,A,14181500,727.0,A,713.0,A,1800.0,A,,,,
2018-12-17 00:00:00+00:00,7.6,A,14181500,732.0,A,715.0,A,1850.0,A,,,,
2018-12-18 00:00:00+00:00,7.5,A,14181500,731.0,A,718.0,A,2330.0,A,,,,
2018-12-19 00:00:00+00:00,7.5,A,14181500,737.0,A,725.0,A,2480.0,A,,,,
2018-12-20 00:00:00+00:00,7.3,A,14181500,731.0,A,721.0,A,2560.0,A,,,,
2018-12-21 00:00:00+00:00,7.3,A,14181500,737.0,A,742.0,A,3990.0,A,,,,
2018-12-22 00:00:00+00:00,7.0,A,14181500,735.0,A,761.0,A,4550.0,A,,,,
2018-12-23 00:00:00+00:00,7.1,A,14181500,734.0,A,760.0,A,4560.0,A,,,,
2018-12-24 00:00:00+00:00,7.0,A,14181500,731.0,A,767.0,A,4950.0,A,,,,
2018-12-25 00:00:00+00:00,6.9,A,14181500,736.0,A,770.0,A,4960.0,A,,,,
2018-12-26 00:00:00+00:00,6.6,A,14181500,736.0,A,761.0,A,4850.0,A,,,,
2018-12-27 00:00:00+00:00,6.6,A,14181500,740.0,A,768.0,A,4380.0,A,,,,
2018-12-28 00:00:00+00:00,6.5,A,14181500,742.0,A,747.0,A,3540.0,A,,,,
2018-12-29 00:00:00+00:00,6.6,A,14181500,739.0,A,730.0,A,2930.0,A,,,,
2018-12-30 00:00:00+00:00,6.5,A,14181500,738.0,A,732.0,A,2810.0,A,,,,
2018-12-31 00:00:00+00:00,6.1,A,14181500,741.0,A,734.0,A,2920.0,A,,,,
2019-01-01 00:00:00+00:00,6.0,A,14181500,741.0,A,731.0,A,2860.0,A,,,,
2019-01-02 00:00:00+00:00,6.0,A,14181500,737.0,A,730.0,A,2750.0,A,,,,
2019-01-03 00:00:00+00:00,6.1,A,14181500,733.0,A,730.0,A,2980.0,A,,,,
2019-01-04 00:00:00+00:00,6.1,A,14181500,729.0,A,729.0,A,3230.0,A,,,,
2019-01-05 00:00:00+00:00,6.1,A,14181500,719.0,A,727.0,A,3070.0,A,,,,
2019-01-06 00:00:00+00:00,6.1,A,14181500,724.0,A,726.0,A,3140.0,A,,,,
2019-01-07 00:00:00+00:00,5.8,A,14181500,734.0,A,729.0,A,3170.0,A,,,,
2019-01-08 00:00:00+00:00,5.8,A,14181500,729.0,A,729.0,A,3170.0,A,,,,
2019-01-09 00:00:00+00:00,5.9,A,14181500,727.0,A,728.0,A,3200.0,A,,,,
2019-01-10 00:00:00+00:00,6.0,A,14181500,734.0,A,730.0,A,3190.0,A,,,,
2019-01-11 00:00:00+00:00,5.9,A,14181500,731.0,A,730.0,A,3140.0,A,,,,
2019-01-12 00:00:00+00:00,5.8,A,14181500,732.0,A,728.0,A,2850.0,A,,,,
2019-01-13 00:00:00+00:00,5.7,A,14181500,735.0,A,729.0,A,2390.0,A,,,,
2019-01-14 00:00:00+00:00,5.6,A,14181500,732.0,A,727.0,A,2300.0,A,,,,
2019-01-15 00:00:00+00:00,5.5,A,14181500,728.0,A,726.0,A,2330.0,A,,,,
2019-01-16 00:00:00+00:00,5.5,A,14181500,724.0,A,725.0,A,2210.0,A,,,,
2019-01-17 00:00:00+00:00,5.6,A,14181500,724.0,A,726.0,A,2150.0,A,,,,
2019-01-18 00:00:00+00:00,5.6,A,14181500,734.0,A,728.0,A,2730.0,A,,,,
2019-01-19 00:00:00+00:00,5.7,A,14181500,735.0,A,731.0,A,3230.0,A,,,,
2019-01-20 00:00:00+00:00,5.6,A,14181500,730.0,A,733.0,A,2760.0,A,,,,
2019-01-21 00:00:00+00:00,5.4,A,14181500,739.0,A,732.0,A,2750.0,A,,,,
