datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd
2018-10-01 00:00:00+00:00,12.9,A,11251000,411.0,A,35.0,A
2018-10-02 00:00:00+00:00,12.9,A,11251000,411.0,A,31.0,A
2018-10-03 00:00:00+00:00,12.9,A,11251000,414.0,A,31.0,A
2018-10-04 00:00:00+00:00,13.0,A,11251000,414.0,A,31.0,A
2018-10-05 00:00:00+00:00,13.0,A,11251000,414.0,A,32.0,A
2018-10-06 00:00:00+00:00,13.0,A,11251000,414.0,A,34.0,A
2018-10-07 00:00:00+00:00,13.0,A,11251000,403.0,A,31.0,A
2018-10-08 00:00:00+00:00,13.0,A,11251000,397.0,A,33.0,A
2018-10-09 00:00:00+00:00,13.0,A,11251000,400.0,A,36.0,A
2018-10-10 00:00:00+00:00,13.1,A,11251000,400.0,A,34.0,A
2018-10-11 00:00:00+00:00,13.1,A,11251000,401.0,A,34.0,A
2018-10-12 00:00:00+00:00,13.2,A,11251000,414.0,A,36.0,A
2018-10-13 00:00:00+00:00,13.2,A,11251000,423.0,A,36.0,A
2018-10-14 00:00:00+00:00,13.2,A,11251000,423.0,A,35.0,A
2018-10-15 00:00:00+00:00,13.2,A,11251000,422.0,A,31.0,A
2018-10-16 00:00:00+00:00,13.2,A,11251000,423.0,A,34.0,A
2018-10-17 00:00:00+00:00,13.2,A,11251000,423.0,A,31.0,A
2018-10-18 00:00:00+00:00,13.3,A,11251000,423.0,A,30.0,A
2018-10-19 00:00:00+00:00,13.3,A,11251000,423.0,A,30.0,A
2018-10-20 00:00:00+00:00,13.4,A,11251000,423.0,A,30.0,A
2018-10-21 00:00:00+00:00,13.4,A,11251000,423.0,A,31.0,A
2018-10-22 00:00:00+00:00,13.4,A,11251000,423.0,A,31.0,A
2018-10-23 00:00:00+00:00,13.5,A,11251000,421.0,A,30.0,A
2018-10-24 00:00:00+00:00,13.5,A,11251000,413.0,A,32.0,A
2018-10-25 00:00:00+00:00,13.6,A,11251000,399.0,A,31.0,A
2018-10-26 00:00:00+00:00,13.7,A,11251000,397.0,A,31.0,A
2018-10-27 00:00:00+00:00,13.7,A,11251000,398.0,A,31.0,A
2018-10-28 00:00:00+00:00,13.7,A,11251000,400.0,A,30.0,A
2018-10-29 00:00:00+00:00,13.7,A,11251000,401.0,A,29.0,A
2018-10-30 00:00:00+00:00,13.7,A,11251000,427.0,A,34.0,A
2018-10-31 00:00:00+00:00,13.7,A,11251000,440.0,A,32.0,A
2018-11-01 00:00:00+00:00,13.8,A,11251000,440.0,A,31.0,A
2018-11-02 00:00:00+00:00,13.9,A,11251000,440.0,A,30.0,A
2018-11-03 00:00:00+00:00,14.0,A,11251000,440.0,A,29.0,A
2018-11-04 00:00:00+00:00,14.1,A,11251000,439.0,A,30.0,A
2018-11-05 00:00:00+00:00,14.2,A,11251000,407.0,A,31.0,A
2018-11-06 00:00:00+00:00,14.1,A,11251000,372.0,A,32.0,A
2018-11-07 00:00:00+00:00,14.2,A,11251000,371.0,A,32.0,A
2018-11-08 00:00:00+00:00,14.1,A,11251000,384.0,A,37.0,A
2018-11-09 00:00:00+00:00,14.1,A,11251000,399.0,A,46.0,A
2018-11-10 00:00:00+00:00,14.1,A,11251000,399.0,A,42.0,A
2018-11-11 00:00:00+00:00,14.2,A,11251000,399.0,A,30.0,A
2018-11-12 00:00:00+00:00,14.2,A,11251000,399.0,A,30.0,A
2018-11-13 00:00:00+00:00,14.3,A,11251000,405.0,A,33.0,A
2018-11-14 00:00:00+00:00,14.3,A,11251000,418.0,A,30.0,A
2018-11-15 00:00:00+00:00,14.2,A,11251000,418.0,A,30.0,A
2018-11-16 00:00:00+00:00,14.2,A,11251000,409.0,A,31.0,A
2018-11-17 00:00:00+00:00,14.2,A,11251000,399.0,A,32.0,A
2018-11-18 00:00:00+00:00,14.1,A,11251000,399.0,A,33.0,A
