datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,63680_Mean,63680_Mean_cd
2019-10-01 00:00:00+00:00,14.0,A,09406000,87.5,A,760.0,A,9.2,A,4.7,A
2019-10-02 00:00:00+00:00,13.7,A,09406000,88.4,A,761.0,A,9.3,A,5.8,A
2019-10-03 00:00:00+00:00,13.8,A,09406000,88.0,A,764.0,A,9.3,A,9.2,A
2019-10-04 00:00:00+00:00,14.5,A,09406000,85.5,A,766.0,A,9.1,A,5.2,A
2019-10-05 00:00:00+00:00,13.9,A,09406000,83.7,A,768.0,A,9.3,A,3.0,A
2019-10-06 00:00:00+00:00,13.8,A,09406000,84.6,A,771.0,A,9.3,A,3.4,A
2019-10-07 00:00:00+00:00,13.8,A,09406000,85.4,A,775.0,A,9.2,A,3.9,A
2019-10-08 00:00:00+00:00,14.2,A,09406000,84.6,A,770.0,A,9.1,A,4.4,A
2019-10-09 00:00:00+00:00,13.9,A,09406000,85.3,A,769.0,A,9.1,A,3.7,A
2019-10-10 00:00:00+00:00,11.5,A,09406000,86.7,A,770.0,A,9.6,A,3.9,A
2019-10-11 00:00:00+00:00,10.3,A,09406000,89.0,A,778.0,A,9.9,A,3.3,A
2019-10-12 00:00:00+00:00,10.5,A,09406000,93.8,A,774.0,A,9.9,A,3.8,A
2019-10-13 00:00:00+00:00,10.9,A,09406000,95.6,A,764.0,A,9.8,A,4.3,A
2019-10-14 00:00:00+00:00,11.7,A,09406000,95.8,A,759.0,A,9.6,A,4.3,A
2019-10-15 00:00:00+00:00,12.3,A,09406000,95.0,A,756.0,A,9.5,A,4.3,A
2019-10-16 00:00:00+00:00,12.7,A,09406000,93.3,A,774.0,A,9.4,A,4.6,A
2019-10-17 00:00:00+00:00,13.0,A,09406000,91.0,A,781.0,A,9.2,A,5.9,A
2019-10-18 00:00:00+00:00,13.1,A,09406000,93.8,A,770.0,A,9.2,A,5.5,A
2019-10-19 00:00:00+00:00,11.8,A,09406000,96.4,A,776.0,A,9.5,A,5.2,A
2019-10-20 00:00:00+00:00,11.1,A,09406000,99.9,A,776.0,A,9.6,A,5.2,A
2019-10-21 00:00:00+00:00,10.4,A,09406000,103.0,A,777.0,A,9.8,A,5.2,A
2019-10-22 00:00:00+00:00,11.1,A,09406000,105.0,A,771.0,A,9.7,A,5.6,A
2019-10-23 00:00:00+00:00,11.5,A,09406000,106.0,A,767.0,A,9.6,A,6.8,A
2019-10-24 00:00:00+00:00,11.0,A,09406000,108.0,A,763.0,A,9.7,A,5.9,A
2019-10-25 00:00:00+00:00,10.6,A,09406000,111.0,A,767.0,A,9.8,A,6.2,A
2019-10-26 00:00:00+00:00,11.1,A,09406000,106.0,A,768.0,A,9.6,A,6.0,A
2019-10-27 00:00:00+00:00,10.0,A,09406000,108.0,A,770.0,A,9.7,A,5.8,A
2019-10-28 00:00:00+00:00,7.9,A,09406000,109.0,A,774.0,A,10.3,A,4.8,A
2019-10-29 00:00:00+00:00,6.5,A,09406000,113.0,A,773.0,A,10.6,A,4.8,A
2019-10-30 00:00:00+00:00,5.3,A,09406000,116.0,A,786.0,A,11.1,A,10.2,A
2019-10-31 00:00:00+00:00,5.3,A,09406000,116.0,A,796.0,A,11.1,A,6.6,A
2019-11-01 00:00:00+00:00,6.1,A,09406000,122.0,A,788.0,A,10.8,A,7.6,A
2019-11-02 00:00:00+00:00,7.3,A,09406000,122.0,A,778.0,A,10.5,A,6.7,A
2019-11-03 00:00:00+00:00,8.1,A,09406000,121.0,A,772.0,A,10.3,A,6.4,A
2019-11-04 00:00:00+00:00,8.3,A,09406000,123.0,A,770.0,A,10.2,A,5.4,A
2019-11-05 00:00:00+00:00,8.9,A,09406000,117.0,A,774.0,A,10.1,A,5.0,A
2019-11-06 00:00:00+00:00,9.3,A,09406000,113.0,A,781.0,A,10.0,A,4.6,A
2019-11-07 00:00:00+00:00,9.2,A,09406000,115.0,A,781.0,A,10.0,A,4.6,A
2019-11-08 00:00:00+00:00,9.1,A,09406000,117.0,A,775.0,A,10.1,A,4.6,A
2019-11-09 00:00:00+00:00,8.9,A,09406000,118.0,A,780.0,A,10.1,A,4.2,A
2019-11-10 00:00:00+00:00,8.6,A,09406000,118.0,A,776.0,A,10.1,A,4.3,A
2019-11-11 00:00:00+00:00,8.7,A,09406000,120.0,A,776.0,A,10.1,A,4.6,A
2019-11-12 00:00:00+00:00,9.0,A,09406000,120.0,A,777.0,A,10.0,A,4.4,A
2019-11-13 00:00:00+00:00,8.8,A,09406000,120.0,A,773.0,A,10.0,A,4.5,A
2019-11-14 00:00:00+00:00,8.8,A,09406000,123.0,A,771.0,A,10.1,A,6.4,A
2019-11-15 00:00:00+00:00,9.7,A,09406000,145.0,A,726.0,A,9.9,A,9.7,A
2019-11-16 00:00:00+00:00,9.3,A,09406000,139.0,A,689.0,A,9.9,A,7.8,A
2019-11-17 00:00:00+00:00,8.7,A,09406000,121.0,A,725.0,A,10.1,A,7.8,A
2019-11-18 00:00:00+00:00,8.9,A,09406000,122.0,A,743.0,A,10.0,A,7.7,A
2019-11-19 00:00:00+00:00,9.0,A,09406000,122.0,A,734.0,A,9.9,A,16.8,A
2019-11-20 00:00:00+00:00,10.3,A,09406000,392.0,A,,,9.2,A,,
2019-11-21 00:00:00+00:00,8.6,A,09406000,317.0,A,,,9.8,A,,
2019-11-22 00:00:00+00:00,9.3,A,09406000,148.0,A,,,9.8,A,180.0,A
2019-11-23 00:00:00+00:00,8.2,A,09406000,127.0,A,,,10.2,A,,
