datetime,00010_Mean,00010_Mean_cd,site_no,00025_Mean,00025_Mean_cd,00047_Mean,00047_Mean_cd,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,32295_Mean,32295_Mean_cd,32316_Mean,32316_Mean_cd,32319_Mean,32319_Mean_cd
2021-10-01 00:00:00+00:00,12.7,A,14181500,737.0,A,802.0,A,3160.0,A,45.0,A,10.5,A,6.2,P,0.44,P,0.08,P
2021-10-02 00:00:00+00:00,11.9,A,14181500,736.0,A,819.0,A,3350.0,A,45.0,A,11.2,A,6.4,P,0.44,P,0.08,P
2021-10-03 00:00:00+00:00,12.7,A,14181500,734.0,A,811.0,A,3330.0,A,45.0,A,10.9,A,6.2,P,0.52,P,0.07,P
2021-10-04 00:00:00+00:00,12.9,A,14181500,730.0,A,807.0,A,3390.0,A,46.0,A,10.8,A,6.2,P,0.56,P,0.08,P
2021-10-05 00:00:00+00:00,12.9,A,14181500,731.0,A,810.0,A,3400.0,A,45.0,A,11.0,A,6.2,P,0.6,P,0.11,P
2021-10-06 00:00:00+00:00,12.9,A,14181500,735.0,A,826.0,A,3430.0,A,45.0,A,11.3,A,6.2,P,0.58,P,0.12,P
2021-10-07 00:00:00+00:00,13.1,A,14181500,733.0,A,823.0,A,3430.0,A,45.0,A,11.2,A,6.2,P,0.55,P,0.12,P
2021-10-08 00:00:00+00:00,13.3,A,14181500,733.0,A,831.0,A,3450.0,A,46.0,A,11.3,A,6.3,P,0.43,P,0.1,P
2021-10-09 00:00:00+00:00,13.2,A,14181500,738.0,A,840.0,A,3450.0,A,46.0,A,11.5,A,6.4,P,0.36,P,0.09,P
2021-10-10 00:00:00+00:00,13.6,A,14181500,737.0,A,842.0,A,3440.0,A,46.0,A,11.4,A,6.3,P,0.36,P,0.08,P
2021-10-11 00:00:00+00:00,13.9,A,14181500,738.0,A,840.0,A,3450.0,A,47.0,A,11.3,A,6.1,P,0.4,P,0.09,P
2021-10-12 00:00:00+00:00,14.0,A,14181500,735.0,A,837.0,A,3440.0,A,47.0,A,11.3,A,5.7,P,0.61,P,0.1,P
2021-10-13 00:00:00+00:00,14.3,A,14181500,735.0,A,838.0,A,3440.0,A,47.0,A,11.2,A,5.3,P,0.76,P,0.11,P
2021-10-14 00:00:00+00:00,12.8,A,14181500,738.0,A,856.0,A,3400.0,A,46.0,A,11.9,A,5.7,P,0.64,P,0.11,P
2021-10-15 00:00:00+00:00,12.4,A,14181500,736.0,A,857.0,A,2890.0,A,46.0,A,12.1,A,5.8,P,0.66,P,0.12,P
2021-10-16 00:00:00+00:00,11.3,A,14181500,732.0,A,872.0,A,2290.0,A,45.0,A,12.6,A,6.2,P,0.65,P,0.15,P
2021-10-17 00:00:00+00:00,12.2,A,14181500,725.0,A,836.0,A,1810.0,A,46.0,A,11.8,A,5.7,P,0.69,P,0.13,P
2021-10-18 00:00:00+00:00,12.0,A,14181500,731.0,A,831.0,A,1430.0,A,46.0,A,11.8,A,5.9,P,0.59,P,0.14,P
2021-10-19 00:00:00+00:00,11.5,A,14181500,727.0,A,825.0,A,1310.0,A,46.0,A,11.8,A,6.1,P,0.52,P,0.13,P
2021-10-20 00:00:00+00:00,10.7,A,14181500,730.0,A,850.0,A,1300.0,A,46.0,A,12.4,A,6.8,P,0.41,P,0.14,P
2021-10-21 00:00:00+00:00,10.9,A,14181500,728.0,A,,,1300.0,A,46.0,A,12.5,A,6.9,P,0.38,P,0.14,P
2021-10-22 00:00:00+00:00,11.9,A,14181500,728.0,A,853.0,A,1310.0,A,47.0,A,12.1,A,6.5,P,0.46,P,0.14,P
2021-10-23 00:00:00+00:00,12.4,A,14181500,724.0,A,854.0,A,1320.0,A,47.0,A,12.0,A,6.2,P,0.5,P,0.13,P
2021-10-24 00:00:00+00:00,12.7,A,14181500,714.0,A,850.0,A,1320.0,A,48.0,A,11.8,A,6.0,P,0.6,P,0.12,P
2021-10-25 00:00:00+00:00,12.9,A,14181500,722.0,A,850.0,A,1320.0,A,48.0,A,11.7,A,5.9,P,0.83,P,0.13,P
2021-10-26 00:00:00+00:00,13.0,A,14181500,729.0,A,847.0,A,1330.0,A,48.0,A,11.6,A,6.1,P,1.0,P,0.14,P
2021-10-27 00:00:00+00:00,12.9,A,14181500,738.0,A,829.0,A,1350.0,A,47.0,A,11.3,A,6.6,P,0.91,P,0.13,P
2021-10-28 00:00:00+00:00,12.8,A,14181500,735.0,A,824.0,A,1330.0,A,47.0,A,11.3,A,6.7,P,0.99,P,0.14,P
2021-10-29 00:00:00+00:00,12.8,A,14181500,733.0,A,818.0,A,1340.0,A,46.0,A,11.2,A,7.2,P,0.96,P,0.14,P
2021-10-30 00:00:00+00:00,12.4,A,14181500,731.0,A,813.0,A,1330.0,A,46.0,A,11.2,A,7.0,P,1.04,P,0.15,P
2021-10-31 00:00:00+00:00,12.5,A,14181500,731.0,A,815.0,A,1320.0,A,47.0,A,11.3,A,6.3,P,1.19,P,0.16,P
2021-11-01 00:00:00+00:00,12.4,A,14181500,731.0,A,813.0,A,1320.0,A,47.0,A,11.2,A,6.1,P,1.43,P,0.17,P
2021-11-02 00:00:00+00:00,12.3,A,14181500,736.0,A,823.0,A,1330.0,A,48.0,A,11.4,A,6.7,P,1.23,P,0.16,P
2021-11-03 00:00:00+00:00,12.2,A,14181500,731.0,A,829.0,A,1330.0,A,48.0,A,11.5,A,7.3,P,1.15,P,0.17,P
2021-11-04 00:00:00+00:00,12.2,A,14181500,729.0,A,830.0,A,1340.0,A,48.0,A,11.6,A,7.7,P,1.0,P,0.16,P
2021-11-05 00:00:00+00:00,11.8,A,14181500,731.0,A,824.0,A,1340.0,A,47.0,A,11.5,A,8.1,P,0.87,P,0.15,P
2021-11-06 00:00:00+00:00,11.6,A,14181500,733.0,A,807.0,A,1330.0,A,47.0,A,11.2,A,8.0,P,0.83,P,0.15,P
2021-11-07 00:00:00+00:00,11.4,A,14181500,736.0,A,788.0,A,1320.0,A,46.0,A,10.9,A,7.8,P,0.85,P,0.15,P
2021-11-08 00:00:00+00:00,11.3,A,14181500,729.0,A,781.0,A,1320.0,A,47.0,A,10.9,A,7.5,P,0.87,P,0.15,P
2021-11-09 00:00:00+00:00,11.1,A,14181500,731.0,A,777.0,A,1310.0,A,46.0,A,10.9,A,7.8,P,1.01,P,0.17,P
2021-11-10 00:00:00+00:00,11.0,A,14181500,738.0,A,770.0,A,1400.0,A,46.0,A,10.8,A,7.8,P,1.35,P,0.19,P
2021-11-11 00:00:00+00:00,10.6,A,14181500,737.0,A,778.0,A,1770.0,A,43.0,A,11.0,A,9.8,P,1.14,P,0.2,P
2021-11-12 00:00:00+00:00,10.6,A,14181500,738.0,A,786.0,A,2260.0,A,42.0,A,11.2,A,10.3,P,0.95,P,0.19,P
2021-11-13 00:00:00+00:00,10.6,A,14181500,738.0,A,808.0,A,2710.0,A,44.0,A,11.6,A,10.4,P,0.99,P,0.19,P
2021-11-14 00:00:00+00:00,10.5,A,14181500,735.0,A,814.0,A,3060.0,A,46.0,A,11.7,A,11.0,P,1.04,P,0.18,P
2021-11-15 00:00:00+00:00,10.4,A,14181500,732.0,A,794.0,A,3080.0,A,47.0,A,11.4,A,11.2,P,1.08,P,0.2,P
2021-11-16 00:00:00+00:00,10.2,A,14181500,741.0,A,798.0,A,3830.0,A,46.0,A,11.5,A,11.9,P,1.06,P,0.19,P
2021-11-17 00:00:00+00:00,10.3,A,14181500,736.0,A,840.0,A,5480.0,A,45.0,A,12.2,"A, [4]",10.5,"P, [4]",1.21,"P, [4]",0.2,"P, [4]"
2021-11-18 00:00:00+00:00,10.3,A,14181500,730.0,A,841.0,A,6110.0,A,44.0,A,12.2,A,11.3,P,1.34,P,0.2,P
2021-11-19 00:00:00+00:00,10.0,A,14181500,736.0,A,843.0,A,6050.0,A,44.0,A,12.3,A,11.7,P,1.25,P,0.2,P
2021-11-20 00:00:00+00:00,9.9,A,14181500,743.0,A,850.0,A,6080.0,A,43.0,A,12.5,A,11.7,P,1.09,P,0.2,P
2021-11-21 00:00:00+00:00,9.9,A,14181500,740.0,A,847.0,A,6070.0,A,44.0,A,12.4,A,10.4,P,1.34,P,0.21,P
2021-11-22 00:00:00+00:00,9.7,A,14181500,734.0,A,846.0,A,5990.0,A,44.0,A,12.5,A,10.3,P,1.24,P,0.21,P
2021-11-23 00:00:00+00:00,9.5,A,14181500,735.0,A,844.0,A,5440.0,A,44.0,A,12.5,A,10.0,"P, [4]",1.24,P,0.2,"P, [4]"
2021-11-24 00:00:00+00:00,9.4,A,14181500,741.0,A,852.0,A,4880.0,A,44.0,A,12.6,A,9.9,P,1.24,P,0.2,P
2021-11-25 00:00:00+00:00,9.4,A,14181500,739.0,A,842.0,A,4320.0,A,44.0,A,12.5,A,9.9,P,1.52,P,0.21,P
2021-11-26 00:00:00+00:00,9.3,A,14181500,738.0,A,839.0,A,4200.0,A,44.0,A,12.5,A,9.7,P,1.41,P,0.21,P
2021-11-27 00:00:00+00:00,9.2,A,14181500,736.0,A,837.0,A,4180.0,A,44.0,A,12.5,A,9.7,P,1.37,P,0.2,P
2021-11-28 00:00:00+00:00,9.2,A,14181500,737.0,A,836.0,A,4200.0,A,44.0,A,12.5,A,9.8,P,1.34,P,0.2,P
2021-11-29 00:00:00+00:00,9.1,A,14181500,739.0,A,838.0,A,4190.0,A,44.0,A,12.5,A,9.6,P,1.22,P,0.19,P
2021-11-30 00:00:00+00:00,9.1,A,14181500,740.0,A,839.0,A,3670.0,A,44.0,A,12.5,A,9.7,P,1.26,P,0.18,P
2021-12-01 00:00:00+00:00,9.1,A,14181500,738.0,A,835.0,A,3230.0,A,44.0,A,12.5,A,9.6,P,1.35,P,0.19,P
2021-12-02 00:00:00+00:00,9.0,A,14181500,738.0,A,824.0,A,2720.0,A,44.0,A,12.3,A,9.6,P,1.39,P,0.21,P
2021-12-03 00:00:00+00:00,8.8,A,14181500,736.0,A,817.0,A,2440.0,A,44.0,A,12.2,A,9.7,P,1.13,P,0.18,P
2021-12-04 00:00:00+00:00,8.9,A,14181500,736.0,A,817.0,A,2440.0,A,44.0,A,12.2,A,9.7,P,1.64,P,0.2,P
2021-12-05 00:00:00+00:00,8.9,A,14181500,742.0,A,820.0,A,2440.0,A,44.0,A,12.3,A,9.7,P,1.58,P,0.21,P
2021-12-06 00:00:00+00:00,8.6,A,14181500,734.0,A,821.0,A,2410.0,A,44.0,A,12.3,A,10.0,P,1.09,P,0.18,P
2021-12-07 00:00:00+00:00,8.8,A,14181500,732.0,A,812.0,A,2040.0,A,43.0,A,12.1,A,9.8,P,1.53,P,0.2,P
2021-12-08 00:00:00+00:00,8.8,A,14181500,732.0,A,794.0,A,1610.0,A,43.0,A,11.8,A,9.7,P,1.84,P,0.22,P
2021-12-09 00:00:00+00:00,8.4,A,14181500,732.0,A,784.0,A,1470.0,A,43.0,A,11.7,A,9.7,P,1.47,P,0.2,P
2021-12-10 00:00:00+00:00,8.1,A,14181500,735.0,A,783.0,A,1530.0,A,44.0,A,11.7,A,9.5,P,1.4,P,0.19,P
2021-12-11 00:00:00+00:00,8.2,A,14181500,726.0,A,794.0,A,1960.0,A,43.0,A,11.9,A,9.5,P,1.44,P,0.19,P
2021-12-12 00:00:00+00:00,8.1,A,14181500,724.0,A,800.0,A,2480.0,A,42.0,A,12.1,A,9.8,P,1.38,P,0.19,P
2021-12-13 00:00:00+00:00,7.9,A,14181500,719.0,A,805.0,A,2800.0,A,43.0,A,12.3,A,9.3,P,1.5,P,0.2,P
2021-12-14 00:00:00+00:00,7.7,A,14181500,727.0,A,808.0,A,2920.0,A,43.0,A,12.4,A,9.5,P,1.52,P,0.2,P
2021-12-15 00:00:00+00:00,7.5,A,14181500,726.0,A,808.0,A,2930.0,A,43.0,A,12.5,A,9.7,P,1.54,P,0.2,P
2021-12-16 00:00:00+00:00,7.6,A,14181500,732.0,A,811.0,A,2910.0,A,43.0,A,12.5,A,9.6,P,1.53,P,0.19,P
2021-12-17 00:00:00+00:00,7.4,A,14181500,738.0,A,817.0,A,2590.0,A,43.0,A,12.7,A,9.8,P,1.44,P,0.18,P
2021-12-18 00:00:00+00:00,7.3,A,14181500,733.0,A,802.0,A,2140.0,A,43.0,A,12.4,A,9.6,P,1.51,P,0.2,P
2021-12-19 00:00:00+00:00,7.3,A,14181500,729.0,A,786.0,A,2010.0,A,42.0,A,12.2,A,9.7,P,1.58,P,0.21,P
2021-12-20 00:00:00+00:00,7.1,A,14181500,732.0,A,773.0,A,2110.0,A,39.0,A,12.1,A,10.1,P,1.41,P,0.19,P
2021-12-21 00:00:00+00:00,7.1,A,14181500,733.0,A,781.0,A,2500.0,A,38.0,A,12.2,A,9.9,P,1.35,P,0.18,P
2021-12-22 00:00:00+00:00,7.1,A,14181500,726.0,A,804.0,A,3070.0,A,41.0,A,12.6,A,9.4,P,1.41,P,0.19,P
2021-12-23 00:00:00+00:00,6.8,A,14181500,721.0,A,799.0,A,3880.0,A,42.0,A,12.6,A,9.7,P,1.28,P,0.21,P
2021-12-24 00:00:00+00:00,6.6,A,14181500,718.0,A,832.0,A,4560.0,A,41.0,A,13.2,A,11.1,P,1.24,P,0.21,P
2021-12-25 00:00:00+00:00,6.5,A,14181500,720.0,A,838.0,A,5090.0,A,41.0,A,13.5,A,11.7,P,1.23,P,0.21,P
2021-12-26 00:00:00+00:00,6.3,A,14181500,720.0,A,846.0,A,5190.0,A,41.0,A,13.6,A,11.7,P,1.2,P,0.22,P
2021-12-27 00:00:00+00:00,6.2,A,14181500,725.0,A,853.0,A,5180.0,A,41.0,A,13.8,A,11.2,P,1.16,P,0.21,P
