datetime,00060_Mean,00060_Mean_cd,site_no
2021-10-01 00:00:00+00:00,53.7,A,10128500
2021-10-02 00:00:00+00:00,53.3,A,10128500
2021-10-03 00:00:00+00:00,52.9,A,10128500
2021-10-04 00:00:00+00:00,52.7,A,10128500
2021-10-05 00:00:00+00:00,52.9,A,10128500
2021-10-06 00:00:00+00:00,56.2,A,10128500
2021-10-07 00:00:00+00:00,68.4,A,10128500
2021-10-08 00:00:00+00:00,67.3,A,10128500
2021-10-09 00:00:00+00:00,86.4,A,10128500
2021-10-10 00:00:00+00:00,74.8,A,10128500
2021-10-11 00:00:00+00:00,70.0,A,10128500
2021-10-12 00:00:00+00:00,75.4,A,10128500
2021-10-13 00:00:00+00:00,72.4,A,10128500
2021-10-14 00:00:00+00:00,71.3,A,10128500
2021-10-15 00:00:00+00:00,68.0,A,10128500
2021-10-16 00:00:00+00:00,70.7,A,10128500
2021-10-17 00:00:00+00:00,73.8,A,10128500
2021-10-18 00:00:00+00:00,76.0,A,10128500
2021-10-19 00:00:00+00:00,80.2,A,10128500
2021-10-20 00:00:00+00:00,77.6,A,10128500
2021-10-21 00:00:00+00:00,79.2,A,10128500
2021-10-22 00:00:00+00:00,79.3,A,10128500
2021-10-23 00:00:00+00:00,78.2,A,10128500
2021-10-24 00:00:00+00:00,78.2,A,10128500
2021-10-25 00:00:00+00:00,83.2,A,10128500
2021-10-26 00:00:00+00:00,124.0,A,10128500
2021-10-27 00:00:00+00:00,106.0,A,10128500
2021-10-28 00:00:00+00:00,101.0,A,10128500
2021-10-29 00:00:00+00:00,98.3,A,10128500
2021-10-30 00:00:00+00:00,95.5,A,10128500
2021-10-31 00:00:00+00:00,92.0,A,10128500
2021-11-01 00:00:00+00:00,90.5,A,10128500
2021-11-02 00:00:00+00:00,97.9,A,10128500
2021-11-03 00:00:00+00:00,96.8,A,10128500
2021-11-04 00:00:00+00:00,91.2,A,10128500
2021-11-05 00:00:00+00:00,89.7,A,10128500
2021-11-06 00:00:00+00:00,87.7,A,10128500
2021-11-07 00:00:00+00:00,85.5,A,10128500
2021-11-08 00:00:00+00:00,83.2,A,10128500
2021-11-09 00:00:00+00:00,83.6,A,10128500
2021-11-10 00:00:00+00:00,87.4,A,10128500
2021-11-11 00:00:00+00:00,82.5,A,10128500
2021-11-12 00:00:00+00:00,81.5,A,10128500
2021-11-13 00:00:00+00:00,81.2,A,10128500
2021-11-14 00:00:00+00:00,79.1,A,10128500
2021-11-15 00:00:00+00:00,78.2,A,10128500
2021-11-16 00:00:00+00:00,78.0,A,10128500
2021-11-17 00:00:00+00:00,72.4,A,10128500
2021-11-18 00:00:00+00:00,73.3,A,10128500
2021-11-19 00:00:00+00:00,76.0,A,10128500
2021-11-20 00:00:00+00:00,75.8,A,10128500
2021-11-21 00:00:00+00:00,68.8,A,10128500
2021-11-22 00:00:00+00:00,71.3,A,10128500
2021-11-23 00:00:00+00:00,73.8,A,10128500
2021-11-24 00:00:00+00:00,69.1,A,10128500
2021-11-25 00:00:00+00:00,62.9,"A, e",10128500
2021-11-26 00:00:00+00:00,69.1,"A, e",10128500
2021-11-27 00:00:00+00:00,67.2,"A, e",10128500
2021-11-28 00:00:00+00:00,65.6,A,10128500
2021-11-29 00:00:00+00:00,64.3,A,10128500
2021-11-30 00:00:00+00:00,63.2,A,10128500
2021-12-01 00:00:00+00:00,63.5,A,10128500
2021-12-02 00:00:00+00:00,62.9,A,10128500
2021-12-03 00:00:00+00:00,61.9,A,10128500
2021-12-04 00:00:00+00:00,60.8,A,10128500
2021-12-05 00:00:00+00:00,60.5,A,10128500
2021-12-06 00:00:00+00:00,59.1,A,10128500
2021-12-07 00:00:00+00:00,61.5,A,10128500
2021-12-08 00:00:00+00:00,58.6,A,10128500
2021-12-09 00:00:00+00:00,64.0,A,10128500
2021-12-10 00:00:00+00:00,59.6,"A, e",10128500
2021-12-11 00:00:00+00:00,61.2,"A, e",10128500
2021-12-12 00:00:00+00:00,59.9,"A, e",10128500
2021-12-13 00:00:00+00:00,61.3,"A, e",10128500
2021-12-14 00:00:00+00:00,63.5,"A, e",10128500
2021-12-15 00:00:00+00:00,61.1,A,10128500
2021-12-16 00:00:00+00:00,52.8,"A, e",10128500
2021-12-17 00:00:00+00:00,62.0,"A, e",10128500
2021-12-18 00:00:00+00:00,47.9,"A, e",10128500
2021-12-19 00:00:00+00:00,55.0,"A, e",10128500
2021-12-20 00:00:00+00:00,58.4,"A, e",10128500
2021-12-21 00:00:00+00:00,56.2,"A, e",10128500
2021-12-22 00:00:00+00:00,54.8,"A, e",10128500
2021-12-23 00:00:00+00:00,58.5,"A, e",10128500
2021-12-24 00:00:00+00:00,61.9,"A, e",10128500
2021-12-25 00:00:00+00:00,65.6,"A, e",10128500
2021-12-26 00:00:00+00:00,63.6,"A, e",10128500
2021-12-27 00:00:00+00:00,61.9,"A, e",10128500
2021-12-28 00:00:00+00:00,64.7,"A, e",10128500
2021-12-29 00:00:00+00:00,69.0,"A, e",10128500
2021-12-30 00:00:00+00:00,70.6,"A, e",10128500
2021-12-31 00:00:00+00:00,69.1,"A, e",10128500
2022-01-01 00:00:00+00:00,60.6,"A, e",10128500
2022-01-02 00:00:00+00:00,56.1,"A, e",10128500
2022-01-03 00:00:00+00:00,61.4,"A, e",10128500
2022-01-04 00:00:00+00:00,63.6,"A, e",10128500
2022-01-05 00:00:00+00:00,63.6,"A, e",10128500
2022-01-06 00:00:00+00:00,64.0,"A, e",10128500
2022-01-07 00:00:00+00:00,66.8,"A, e",10128500
2022-01-08 00:00:00+00:00,64.7,"A, e",10128500
2022-01-09 00:00:00+00:00,61.0,"A, e",10128500
2022-01-10 00:00:00+00:00,66.2,"A, e",10128500
2022-01-11 00:00:00+00:00,101.0,"A, e",10128500
2022-01-12 00:00:00+00:00,144.0,"A, e",10128500
