datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,63680_Mean,63680_Mean_cd
2022-10-01 00:00:00+00:00,11.1,A,12301933,4910.0,A,226.0,A,8.7,A,0.8,A
2022-10-02 00:00:00+00:00,11.2,A,12301933,4190.0,A,225.0,A,8.6,A,0.7,A
2022-10-03 00:00:00+00:00,11.0,A,12301933,4130.0,A,225.0,A,8.7,A,0.7,A
2022-10-04 00:00:00+00:00,11.4,A,12301933,4130.0,A,225.0,A,8.6,A,0.7,A
2022-10-05 00:00:00+00:00,11.2,A,12301933,4130.0,A,224.0,A,8.6,A,0.6,A
2022-10-06 00:00:00+00:00,11.2,A,12301933,4110.0,A,224.0,A,8.6,A,0.6,A
2022-10-07 00:00:00+00:00,11.5,A,12301933,4110.0,A,224.0,A,8.6,A,0.6,A
2022-10-08 00:00:00+00:00,11.4,A,12301933,4090.0,A,226.0,A,8.6,A,0.6,A
2022-10-09 00:00:00+00:00,11.4,A,12301933,4080.0,A,226.0,A,8.6,A,0.6,A
2022-10-10 00:00:00+00:00,11.2,A,12301933,4080.0,A,226.0,A,8.6,A,0.6,A
2022-10-11 00:00:00+00:00,10.7,A,12301933,4070.0,A,225.0,A,8.6,A,0.6,A
2022-10-12 00:00:00+00:00,10.7,A,12301933,4060.0,A,224.0,A,8.6,A,0.6,A
2022-10-13 00:00:00+00:00,10.8,A,12301933,4060.0,A,226.0,A,8.6,A,0.6,A
2022-10-14 00:00:00+00:00,11.1,A,12301933,4060.0,A,224.0,A,8.6,A,0.6,A
2022-10-15 00:00:00+00:00,11.6,A,12301933,4070.0,A,224.0,A,8.6,A,0.5,A
2022-10-16 00:00:00+00:00,12.0,A,12301933,4060.0,A,225.0,A,8.6,A,0.5,A
2022-10-17 00:00:00+00:00,12.0,A,12301933,4050.0,A,226.0,A,8.6,A,0.5,A
2022-10-18 00:00:00+00:00,11.8,A,12301933,4070.0,A,225.0,A,8.6,A,0.5,A
2022-10-19 00:00:00+00:00,11.6,A,12301933,4070.0,A,225.0,A,8.6,A,0.5,A
2022-10-20 00:00:00+00:00,11.0,A,12301933,4070.0,A,225.0,A,8.5,A,0.5,A
2022-10-21 00:00:00+00:00,10.6,A,12301933,4070.0,A,226.0,A,8.4,A,0.6,A
2022-10-22 00:00:00+00:00,10.4,A,12301933,4070.0,A,225.0,A,8.5,A,0.6,A
2022-10-23 00:00:00+00:00,10.6,A,12301933,4070.0,A,224.0,A,8.5,A,0.5,A
2022-10-24 00:00:00+00:00,10.9,A,12301933,4080.0,A,223.0,A,8.4,A,0.5,A
2022-10-25 00:00:00+00:00,10.6,A,12301933,4080.0,A,224.0,A,8.5,A,0.6,A
2022-10-26 00:00:00+00:00,10.6,A,12301933,4090.0,A,222.0,A,8.5,A,0.5,A
2022-10-27 00:00:00+00:00,10.3,A,12301933,4090.0,A,224.0,A,8.5,A,0.5,A
2022-10-28 00:00:00+00:00,10.6,A,12301933,4080.0,A,223.0,A,8.5,A,0.5,A
2022-10-29 00:00:00+00:00,10.3,A,12301933,4080.0,A,224.0,A,8.5,A,0.5,A
2022-10-30 00:00:00+00:00,10.4,A,12301933,4080.0,A,222.0,A,8.4,A,0.5,A
2022-10-31 00:00:00+00:00,10.3,A,12301933,4090.0,A,222.0,A,8.4,A,0.5,A
2022-11-01 00:00:00+00:00,10.8,A,12301933,7860.0,A,221.0,A,8.4,A,0.4,A
2022-11-02 00:00:00+00:00,11.4,A,12301933,13300.0,A,221.0,A,8.6,A,0.4,A
2022-11-03 00:00:00+00:00,11.5,A,12301933,14600.0,A,223.0,A,8.8,A,0.4,A
2022-11-04 00:00:00+00:00,11.3,A,12301933,9770.0,A,223.0,A,8.8,A,0.3,A
2022-11-05 00:00:00+00:00,11.1,A,12301933,9490.0,A,223.0,A,8.8,A,0.3,A
